dataset,HNs,HEs,pins,avgHEsize,sdHEsize,sd/avg,minHEsize,maxHEsize,avgHNdegree,sdHNdegree,minHnDegree,maxHnDegree,best_matching_pattern,best_merging_pattern,best_construction_pattern
sat_L200_p,670867,3513333,10259569,2.92018,0.737634,0.252598812,1,11,15.293,366.829,2,115023,P1,P1,P3
sat_L80_d,1183233,250567,3415429,13.6308,240.104,17.61481351,2,45903,2.88652,0.801023,1,11,P3,P3,P3
sat_L80,501134,1183233,3415429,2.88652,0.801023,0.277504746,1,11,6.8154,126.16,1,30597,P3,P1,P3
sat_L80_p,250567,1183233,3415429,2.88652,0.801023,0.277504746,1,11,13.6308,240.104,2,45903,P3,P1,P3
sat_k100_1d,6356704,1621762,15957567,9.83965,22.2311,2.259338493,1,587,2.51035,1.42063,1,23,P3,P1,P3
sat_k100_1,3195850,6356704,15957567,2.51035,1.42063,0.565909136,1,23,4.99322,11.313,1,302,P3,P1,P3
sat_k100_1p,1621762,6356704,15957567,2.51035,1.42063,0.565909136,1,23,9.83965,22.2311,1,587,P1,P1,P3
sat_k100_2d,6356692,1621756,15957543,9.83967,22.2312,2.259344063,1,587,2.51035,1.42064,1,23,P3,P1,P3
sat_k100_2,3195838,6356692,15957543,2.51035,1.42064,0.56591312,1,23,4.99323,11.313,1,302,P3,P1,P3
sat_k100_2p,1621756,6356692,15957543,2.51035,1.42064,0.56591312,1,23,9.83967,22.2312,1,587,P3,P1,P3
sat_k70_d,4433524,1131652,11129247,9.83451,22.1906,2.256401183,1,587,2.51025,1.4206,1,23,P3,P1,P3
sat_k70,2229790,4433524,11129247,2.51025,1.4206,0.565919729,1,23,4.99116,11.2931,1,302,P3,P1,P2
sat_k70_p,1131652,4433524,11129247,2.51025,1.4206,0.565919729,1,23,9.83451,22.1906,1,587,P1,P1,P3
sat_k75_d,4754042,1213331,11933943,9.83569,22.1997,2.257055682,1,587,2.51027,1.42062,1,23,P3,P1,P3
sat_k75,2390788,4754042,11933943,2.51027,1.42062,0.565923188,1,23,4.99164,11.2976,1,302,P1,P1,P3
sat_k75_p,1213331,4754042,11933943,2.51027,1.42062,0.565923188,1,23,9.83569,22.1997,1,587,P1,P1,P3
sat_k80_d,5074584,1295022,12738687,9.83666,22.2075,2.257626064,1,587,2.51029,1.42062,1,23,P3,P1,P3
sat_k80,2551810,5074584,12738687,2.51029,1.42062,0.565918679,1,23,4.99202,11.3014,1,302,P1,P1,P3
sat_k80_p,1295022,5074584,12738687,2.51029,1.42062,0.565918679,1,23,9.83666,22.2075,1,587,P1,P1,P3
sat_k85_2d,5395102,1376701,13543383,9.83756,22.2145,2.258131081,1,587,2.51031,1.42063,1,23,P3,P1,P3
sat_k85_2,2712808,5395102,13543383,2.51031,1.42063,0.565918154,1,23,4.99239,11.3049,1,302,P1,P1,P3
sat_k85_2p,1376701,5395102,13543383,2.51031,1.42063,0.565918154,1,23,9.83756,22.2145,1,587,P3,P1,P3
sat_k85_3d,5395102,1376701,13543383,9.83756,22.2145,2.258131081,1,587,2.51031,1.42063,1,23,P3,P1,P3
sat_k85_3,2712808,5395102,13543383,2.51031,1.42063,0.565918154,1,23,4.99239,11.3049,1,302,P1,P1,P3
sat_k85_3p,1376701,5395102,13543383,2.51031,1.42063,0.565918154,1,23,9.83756,22.2145,1,587,P1,P1,P3
sat_k90_d,5715644,1458392,14348127,9.83832,22.2207,2.258586832,1,587,2.51033,1.42063,1,23,P3,P1,P3
sat_k90,2873830,5715644,14348127,2.51033,1.42063,0.565913645,1,23,4.99268,11.3079,1,302,P3,P1,P3
sat_k90_p,1458392,5715644,14348127,2.51033,1.42063,0.565913645,1,23,9.83832,22.2207,1,587,P3,P1,P3
sat_k95_d,6036162,1540071,15152823,9.83904,22.2262,2.258980551,1,587,2.51034,1.42064,1,23,P3,P1,P3
sat_k95,3034828,6036162,15152823,2.51034,1.42064,0.565915374,1,23,4.99298,11.3106,1,302,P1,P1,P3
sat_k95_p,1540071,6036162,15152823,2.51034,1.42064,0.565915374,1,23,9.83904,22.2262,1,587,P1,P1,P3
sat_slp_d,302862,94998,740744,7.79747,20.1839,2.588519097,4,3474,2.44581,6.36625,1,3473,P3,P3,P3
sat_slp,189996,302862,740744,2.44581,6.36625,2.602920914,1,3473,3.89873,11.5841,2,3472,P3,P1,P3
sat_slp_p,94998,302862,740744,2.44581,6.36625,2.602920914,1,3473,7.79747,20.1839,4,3474,P3,P3,P3
sat_030_d,1934720,361750,4605620,12.7315,48.2798,3.792153321,2,1508,2.38051,9.57711,1,502,P3,P3,P3
sat_030,705500,1934720,4605620,2.38051,9.57711,4.023133698,1,502,6.52816,25.7938,1,1002,P3,P1,P3
sat_030_p,361750,1934720,4605620,2.38051,9.57711,4.023133698,1,502,12.7315,48.2798,2,1508,P1,P1,P3
sat_050_d,3224280,602670,7675780,12.7363,48.4353,3.802933348,2,1508,2.38062,9.57748,1,502,P3,P3,P3
sat_050,1175340,3224280,7675780,2.38062,9.57748,4.023103225,1,502,6.53069,25.8656,1,1002,P3,P1,P3
sat_050_p,602670,3224280,7675780,2.38062,9.57748,4.023103225,1,502,12.7363,48.4353,2,1508,P3,P1,P3
sat_UCG-10p0_d,1005834,199304,2392967,12.0066,11.1091,0.925249446,4,64,2.37909,1.00501,1,10,P3,P1,P3
sat_UCG-10p0,398608,1005834,2392967,2.37909,1.00501,0.422434628,1,10,6.00331,6.12128,1,44,P3,P1,P2
sat_UCG-10p0_p,199304,1005834,2392967,2.37909,1.00501,0.422434628,1,10,12.0066,11.1091,4,64,P3,P1,P3
sat_UCG-10p1_d,1019221,200003,2431032,12.155,11.3222,0.931484986,4,64,2.38519,1.00065,1,10,P3,P1,P3
sat_UCG-10p1,400006,1019221,2431032,2.38519,1.00065,0.419526327,1,10,6.07749,6.21621,1,44,P3,P1,P3
sat_UCG-10p1_p,200003,1019221,2431032,2.38519,1.00065,0.419526327,1,10,12.155,11.3222,4,64,P3,P1,P3
sat_UCG-5p0_d,1190673,224587,2868616,12.7728,12.3496,0.966867093,4,64,2.40924,0.984951,1,10,P1,P1,P2
sat_UCG-5p0,449174,1190673,2868616,2.40924,0.984951,0.408822284,1,10,6.38642,6.68337,1,44,P3,P1,P3
sat_UCG-5p0_p,224587,1190673,2868616,2.40924,0.984951,0.408822284,1,10,12.7728,12.3496,4,64,P1,P1,P3
sat_UR-15_d,1019200,199996,2430990,12.1552,11.3222,0.931469659,4,62,2.38519,1.00066,1,10,P3,P1,P3
sat_UR-15,399992,1019200,2430990,2.38519,1.00066,0.41953052,1,10,6.0776,6.21623,1,43,P3,P1,P2
sat_UR-15_p,199996,1019200,2430990,2.38519,1.00066,0.41953052,1,10,12.1552,11.3222,4,62,P3,P1,P3
sat_UR-20_d,1190619,224569,2868508,12.7734,12.3528,0.967072197,4,62,2.40926,0.98497,1,10,P3,P1,P3
sat_UR-20,449138,1190619,2868508,2.40926,0.98497,0.408826777,1,10,6.3867,6.68489,1,43,P3,P1,P2
sat_UR-20_p,224569,1190619,2868508,2.40926,0.98497,0.408826777,1,10,12.7734,12.3528,4,62,P1,P1,P3
sat_UTI_d,1391257,260342,3358569,12.9006,12.5537,0.973109778,4,62,2.41405,0.980276,1,10,P3,P1,P3
sat_UTI,520684,1391257,3358569,2.41405,0.980276,0.406071125,1,10,6.4503,6.77454,1,43,P3,P1,P3
sat_UTI_p,260342,1391257,3358569,2.41405,0.980276,0.406071125,1,10,12.9006,12.5537,4,62,P1,P1,P3
sat_2.0_d,2465731,151669,7141423,47.0856,357.163,7.585397659,2,45096,2.89627,6.03433,1,150,P3,P3,P2b
sat_2.0,303338,2465731,7141423,2.89627,6.03433,2.083483239,1,150,23.5428,179.005,1,22550,P3,P1,P3
sat_2.0_p,151669,2465731,7141423,2.89627,6.03433,2.083483239,1,150,47.0856,357.163,2,45096,P1,P1,P3
sat_4.0-9_d,1814189,96177,5280501,54.904,402.39,7.32897421,2,35496,2.91067,5.83762,1,2216,P3,P3,P2b
sat_4.0-9,192354,1814189,5280501,2.91067,5.83762,2.005593214,1,2216,27.452,201.821,1,17751,P3,P1,P3
sat_4.0-9_p,96177,1814189,5280501,2.91067,5.83762,2.005593214,1,2216,54.904,402.39,2,35496,P1,P1,P3
192bit,13682,13691,154303,11.2704,1.34917,0.11970915,7,16,11.2778,107.484,0,6893,P3,P1,P3
2cubes,101492,101492,1647264,16.2305,2.6537,0.163500816,5,31,16.2305,2.6537,5,31,P3,P1,P3
2D,54019,54019,996414,18.4456,6.92217,0.375274862,6,1426,18.4456,3.10906,6,164,P3,P1,P3
3D,292008,292008,7307376,25.0246,11.8003,0.471547997,1,60,25.0246,11.8003,1,60,P3,P1,P3
ABACUS,23412,23412,218484,9.33214,1.30866,0.140231501,6,15,9.33214,1.30866,6,15,P3,P1,P3
af23560,23560,23560,484256,20.5542,1.27075,0.061824347,11,21,20.5542,1.46326,10,21,P2,P1,P3
af_shell,504855,504855,17588875,34.8395,1.27522,0.036602707,20,40,34.8395,1.27522,20,40,P3,P1,P3
airfoil,14214,14214,259688,18.2699,3.94821,0.216104631,1,23,18.2699,2.92314,4,23,P1,P3,P3
Andrews,60000,60000,760154,12.6692,3.41445,0.269507941,9,36,12.6692,3.41445,9,36,P3,P1,P2
appu,14000,14000,1853104,132.365,36.4945,0.275711102,12,294,132.365,36.4945,12,294,P3,P3,P2b
as-22,22963,22963,96872,4.21861,32.9424,7.808828026,1,2390,4.21861,32.9424,1,2390,P3,P3,P3
as-caida,31379,26475,106762,4.03256,33.3742,8.27618188,1,2628,3.40234,30.6905,0,2628,P3,P3,P2
astro,16706,16046,242502,15.1129,21.2247,1.404409478,1,360,14.5159,21.0085,0,360,P3,P3,P3
atmos,1270432,1270432,8814880,6.93849,0.244858,0.035289811,4,7,6.93849,0.244858,4,7,P3,P1,P2
av41092,41092,41092,1683902,40.9788,167.038,4.076205257,2,2135,40.9788,96.9371,2,664,P3,P3,P2b
barrier,113076,113076,3805068,33.6505,24.9358,0.741023165,10,7031,33.6505,24.9358,10,7031,P3,P3,P3
Baumann,112211,112211,760631,6.77858,0.433105,0.063893175,4,7,6.77858,0.433105,4,7,P1,P1,P2
bayer04,20545,20545,159082,7.7431,8.16467,1.054444602,1,34,7.7431,10.9333,1,43,P1,P1,P3
bbmat,38744,38744,1771722,45.7289,38.3953,0.839628769,6,126,45.7289,39.1061,8,132,P3,P3,P2b
bcsstk,13992,13992,619488,44.2744,15.641,0.353274127,5,71,44.2744,15.641,5,71,P2,P1,P2b
Ben,245874,245874,13150496,53.4847,2.99507,0.055998631,1,54,53.4847,2.99507,1,54,P3,P3,P2
bibd,18424,1176,55272,47.0,0.0,0.0,47,47,3.0,0.0,3,3,P3,P3,P2
bips,15066,15066,62198,4.12837,2.99388,0.725196627,1,27,4.12837,3.39608,1,191,P2,P1,P3
bloweya,30004,30004,150009,4.99963,57.7629,11.55343495,2,10001,4.99963,57.7629,2,10001,P3,P3,P2b
bundle,10581,10581,770901,72.8571,198.797,2.72858788,17,1711,72.8571,198.797,17,1711,P3,P3,P2b
c-55,32780,32780,403450,12.3078,24.4989,1.990518208,2,2920,12.3078,24.4989,2,2920,P3,P3,P2b
c-61,43618,43618,310016,7.10752,16.7598,2.358037684,2,2830,7.10752,16.7598,2,2830,P3,P2,P2b
c-64,51035,51035,717841,14.0657,153.473,10.91115266,2,9474,14.0657,153.473,2,9474,P3,P3,P3
CondMat,23133,23133,186936,8.08092,10.636,1.316186771,1,280,8.08092,10.636,1,280,P3,P1,P3
cage10,11397,11397,150645,13.218,3.9837,0.301384476,5,25,13.218,3.9837,5,25,P2,P1,P3
ccc,49152,49152,147456,3.0,0.0,0.0,3,3,3.0,0.0,3,3,P3,P1,P2
cfd,70656,70656,1828364,25.877,2.97203,0.114852185,12,33,25.877,2.97203,12,33,P3,P1,P2
Chem97Zt,31022,2541,62044,24.4172,69.6373,2.851977295,1,969,2.0,0.0,2,2,P3,P3,P3
circuit,12127,12127,48137,3.96941,21.0469,5.302274141,1,2305,3.96941,51.6456,1,5682,P3,P3,P3
ckt,49702,49702,333029,6.70052,23.2205,3.465477306,1,2921,6.70052,23.5294,1,2921,P3,P3,P3
cnr,325557,247501,3216152,12.9945,22.6785,1.74523837,1,2716,9.87892,218.496,1,18235,P3,P3,P3
conf5_4,49152,49152,1916928,39.0,0.0,0.0,39,39,39.0,0.0,39,39,P3,P1,P2
copter,17222,17222,211064,12.2555,5.74965,0.469148546,4,19,12.2555,5.74965,4,19,P1,P1,P3
coupled,11341,11341,98523,8.68733,30.0919,3.46388361,1,3090,8.68733,30.0919,1,3090,P3,P3,P3
crash,160000,160000,1750416,10.9401,0.420847,0.038468296,6,11,10.9401,6.96557,4,18,P3,P1,P2
cryg,10000,10000,49699,4.9699,0.172609,0.03473088,3,5,4.9699,0.223146,3,6,P1,P1,P2
crystk,13965,13965,968583,69.3579,14.8306,0.21382712,24,81,69.3579,14.8306,24,81,P2,P2,P2b
d_pretok,182730,182730,1641672,8.98414,2.74946,0.306034857,2,11,8.98414,2.74946,2,11,P1,P1,P2
dac11,952507,935731,3069269,3.28008,10.5186,3.206812029,1,3602,3.22231,6.91501,1,1983,P3,P3,P3
dac14,630802,619815,2048903,3.30567,16.171,4.89189786,1,8871,3.24809,4.65887,1,1023,P3,P3,P3
dac16,698339,697458,2280417,3.26961,9.05188,2.768489208,1,2367,3.26549,6.05887,1,1016,P3,P1,P3
dac2,1010321,990899,3227167,3.25681,10.7765,3.308912709,1,2048,3.1942,5.54658,1,1317,P3,P3,P3
dac3,917944,898001,3109446,3.46263,15.2848,4.414216939,1,2527,3.3874,5.24321,1,2245,P3,P3,P3
dac6,1011662,1006629,3387521,3.36521,14.0921,4.187584133,1,7601,3.34847,4.06186,1,1689,P3,P3,P3
dac7,1360217,1340418,4931418,3.67902,16.7619,4.556077434,1,5310,3.62546,3.09851,1,849,P3,P3,P3
delta,21961,68600,247424,3.60676,5.86925,1.62729153,3,83,11.2665,10.0681,3,39,P3,P1,P3
denormal,89400,89400,1156224,12.9332,0.473841,0.036637568,6,13,12.9332,0.473841,6,13,P3,P1,P2
dict,52652,39327,178076,4.52809,4.64943,1.026797171,1,38,3.38213,4.47461,0,38,P2,P2,P3
diel,607232,607232,25309272,41.6797,17.553,0.421140267,8,158,41.6797,17.553,8,158,P3,P3,P2b
cova2,65025,65025,1030225,15.8435,5.76218,0.363693628,4,25,15.8435,5.76218,4,25,P3,P1,P3
ecl32,51993,51993,380415,7.31666,3.35036,0.45790839,1,23,7.31666,3.38317,1,22,P3,P1,P2
Emilia,923136,923136,41005206,44.4195,3.72074,0.083763662,15,57,44.4195,3.72074,15,57,P3,P3,P3
epb1,14734,14734,95053,6.45127,0.577655,0.089541284,3,7,6.45127,2.47708,3,9,P3,P1,P3
ESOC,37830,327062,6019939,18.4061,0.782719,0.042524978,8,19,159.131,1093.14,0,12090,P3,P1,P2
Eternity,150638,7362,782087,106.233,129.116,1.215403876,1,780,5.19183,0.638964,1,6,P3,P3,P2b
ex19,12005,12005,259879,21.6476,12.2864,0.567564072,1,50,21.6476,12.2864,1,50,P3,P1,P3
F2,71505,71505,5294285,74.0408,37.5485,0.507132554,22,345,74.0408,37.5485,22,345,P3,P3,P2b
fd18,16428,16428,63406,3.85963,1.42601,0.369468058,1,6,3.85963,1.09112,1,8,P3,P1,P2
fem,74062,74062,1731206,23.3751,66.3067,2.836638132,5,565,23.3751,66.3067,5,565,P3,P1,P3
finan,74752,74752,596992,7.9863,6.2778,0.786071147,3,55,7.9863,6.2778,3,55,P1,P1,P3
flower,67593,27693,202218,7.30213,2.19078,0.300019309,1,15,2.9917,0.0907237,2,3,P3,P1,P2
foldoc,13356,13356,120238,9.00255,3.77526,0.419354516,3,102,9.00255,14.391,0,720,P3,P2,P3
Franz,30144,47104,329728,7.0,0.0,0.0,7,7,10.9384,4.78435,8,20,P3,P1,P2
G2,150102,150102,726674,4.8412,0.639641,0.132124473,2,6,4.8412,0.639641,2,6,P1,P1,P3
g7jac,11790,11790,114671,9.72612,14.5927,1.500361912,2,120,9.72612,13.5228,2,99,P3,P1,P3
garon,13535,13535,390607,28.859,10.8196,0.374912506,5,45,28.859,10.8196,5,45,P1,P3,P2b
gearbox,153746,153746,9080404,59.0611,15.4095,0.260907772,6,99,59.0611,15.4095,6,99,P3,P3,P2b
gemat,10595,4929,47369,9.61027,70.1629,7.300825055,4,4928,4.47088,3.22068,1,28,P3,P3,P2b
graphics,11822,29493,117954,3.99939,0.024697,0.006175192,3,4,9.9775,9.90043,3,87,P1,P1,P2
gyro,17361,17361,1021159,58.8191,32.0506,0.544901231,12,360,58.8191,32.0506,12,360,P3,P3,P2b
H2O,67024,67024,2216736,33.0738,4.80106,0.145162032,14,37,33.0738,4.80106,14,37,P3,P1,P2
HEP,27240,24541,342437,13.9537,16.1256,1.155650473,1,562,12.5711,39.3974,0,2357,P3,P2,P3
HTC,226340,226340,883422,3.90308,31.8842,8.168984494,1,7394,3.90308,31.8842,1,7394,P3,P3,P3
hvdc1,24842,24842,159981,6.43994,3.61747,0.561724178,2,181,6.43994,2.93599,2,40,P1,P3,P3
IG5,27944,30162,1035008,34.315,30.8102,0.897863908,1,120,37.0386,85.0057,0,1216,P3,P1,P2b
Ill,20896,20896,191368,9.15812,1.6444,0.179556503,3,12,9.15812,1.56235,3,12,P3,P1,P3
interp,120000,232485,711683,3.0612,1.99648,0.652188684,1,5,5.93069,0.254469,4,6,P1,P1,P2
IMDB,896308,303617,3782463,12.458,16.8285,1.350818751,1,1334,4.22005,13.0363,0,1590,P3,P1,P3
ibm01,12752,14111,50566,3.58345,3.3426,0.932788235,2,42,3.96534,2.32884,1,39,P3,P2,P2
ibm02,19601,19584,81199,4.14619,5.45215,1.31497833,2,134,4.14259,2.29155,1,69,P2,P1,P3
ibm03,23136,27401,93573,3.41495,3.10681,0.909767347,2,55,4.04448,3.44833,1,100,P3,P2,P3
ibm04,27507,31970,105859,3.3112,2.92331,0.882855158,2,46,3.84844,4.65442,1,526,P3,P1,P3
ibm05,29347,28446,126308,4.44027,4.29145,0.96648402,2,17,4.30395,2.3538,1,9,P3,P1,P3
ibm06,32498,34826,128182,3.68064,3.27775,0.890538059,2,35,3.9443,1.84184,1,91,P3,P1,P3
ibm07,45926,48117,175639,3.65025,3.04942,0.835400315,2,25,3.82439,2.41458,1,98,P3,P1,P3
ibm08,51309,50513,204890,4.05618,5.00773,1.234592646,2,75,3.99326,6.18049,1,1165,P2,P1,P3
ibm09,53395,60902,222088,3.64665,3.13265,0.859048716,2,39,4.15934,3.22331,1,173,P1,P1,P2
ibm10,69429,75196,297567,3.95722,3.55991,0.899598708,2,41,4.28592,3.21805,1,137,P1,P1,P2
ibm11,70558,81454,280786,3.44717,2.59879,0.753890873,2,24,3.97951,3.17323,1,174,P1,P1,P3
ibm12,71076,77240,317760,4.11393,3.71913,0.90403337,2,28,4.47071,4.67735,1,473,P1,P1,P3
ibm13,84199,99666,357075,3.58272,3.00807,0.839605105,2,24,4.24085,3.34181,1,180,P3,P1,P2
ibm14,147605,152772,546816,3.57929,2.94341,0.822344655,2,33,3.70459,3.18172,1,270,P3,P1,P3
ibm15,161570,186608,715823,3.83597,3.50971,0.914947197,2,36,4.43042,3.28564,1,306,P1,P1,P3
ibm16,183484,190048,778823,4.09803,3.6136,0.881789543,2,40,4.24464,2.76933,1,177,P3,P1,P3
kim1,38415,38415,933195,24.2925,3.46155,0.142494597,4,25,24.2925,2.58594,5,25,P1,P1,P3
kkt,2063494,2063494,14612663,7.08151,7.40036,1.045025708,1,96,7.08151,7.40036,1,96,P3,P1,P3
duct3D,67173,67173,3833077,57.0628,37.8956,0.664103409,1,89,57.0628,29.6275,3,89,P1,P1,P2b
lhr14,14270,14270,307858,21.5738,26.2689,1.217629718,1,63,21.5738,15.9833,1,36,P3,P3,P3
li,22695,22695,1350309,59.4981,29.2054,0.490862733,11,108,59.4981,29.2054,11,108,P3,P1,P2b
tissue,29282,29282,406084,13.868,2.73294,0.19706807,6,18,13.868,2.73294,6,18,P1,P1,P3
Lin,256000,256000,1766400,6.9,0.310242,0.044962609,4,7,6.9,0.310242,4,7,P3,P1,P2
lp_nug,72600,15240,304800,20.0,0.0,0.0,20,20,4.19835,2.6648,4,40,P3,P1,P2
lp_pds,108175,33798,232647,6.88345,6.16153,0.895122359,1,96,2.15065,0.416172,1,3,P3,P2,P2
lung,109460,109460,492564,4.49995,1.93909,0.430913677,2,8,4.49995,1.93909,2,8,P3,P1,P3
m14b,214765,214765,3358036,15.6359,3.13118,0.200255822,4,40,15.6359,3.13118,4,40,P1,P1,P3
mac,206500,206500,1273389,6.16653,4.43587,0.719346213,1,44,6.16653,6.10639,1,47,P3,P1,P3
Maragal,10152,21251,537694,25.3021,202.891,8.018741527,1,5941,52.9643,54.5739,0,685,P3,P3,P2b
mc2depi,525825,525825,2100225,3.99415,0.0763228,0.019108646,2,4,3.99415,0.0763228,2,4,P3,P1,P2
mixtank,29957,29957,1995041,66.5968,38.335,0.575628258,11,154,66.5968,38.335,11,154,P3,P3,P2b
mono,169410,169410,5036288,29.7284,17.9049,0.602282666,10,719,29.7284,17.9049,10,719,P3,P3,P2b
mri1,147456,65536,589824,9.0,0.0,0.0,9,9,4.0,3.13846,0,240,P3,P1,P2
msc,10848,10848,1229778,113.364,48.0939,0.424243146,45,723,113.364,48.0939,45,723,P3,P3,P2b
msdoor,415863,415863,20240935,48.6721,11.71,0.240589578,28,77,48.6721,11.71,28,77,P3,P3,P2b
mult_dcop,25187,25187,193276,7.67364,143.814,18.74130139,1,22767,7.67364,144.207,1,22774,P2,P3,P3
nasasrb,54870,54870,2677324,48.7939,8.53064,0.17483005,12,276,48.7939,8.53064,12,276,P3,P3,P2b
nd12k,36000,36000,14220946,395.026,83.1939,0.210603606,126,519,395.026,83.1939,126,519,P2,P3,P2b
net100,29920,29920,2033200,67.9545,57.8201,0.850864917,3,181,67.9545,57.8201,3,181,P3,P3,P2b
nopoly,10774,10774,70842,6.57527,1.09932,0.167190093,3,11,6.57527,1.09932,3,11,P1,P1,P3
actors,127823,383640,1470404,3.83277,10.4242,2.719756208,1,646,11.5034,11.7577,1,294,P3,P1,P3
www,325729,137941,929849,6.74092,6.8703,1.019193226,1,60,2.85467,35.7093,0,10717,P3,P1,P2
obstclae,40000,40000,197608,4.9402,0.41979,0.084974293,1,5,4.9402,0.41979,1,5,P3,P1,P3
olafu,16146,16146,1015156,62.8735,12.4094,0.197370911,24,89,62.8735,12.4094,24,89,P3,P3,P2b
opt1,15449,15449,1930655,124.97,42.4948,0.34004001,44,243,124.97,42.4948,44,243,P3,P3,P2b
Oregon,11492,11174,46818,4.18991,33.0948,7.898689948,1,2389,4.07396,32.6409,0,2389,P3,P2,P3
p2p,22687,6221,54705,8.7936,3.30244,0.3755504,1,64,2.41129,2.28746,0,36,P3,P2,P2
para,153226,153226,5326228,34.7606,19.886,0.572084486,10,5776,34.7606,19.886,10,5776,P3,P3,P2b
parabolic,525825,525825,3674625,6.9883,0.152633,0.02184122,3,7,6.9883,0.152633,3,7,P3,P1,P2
Pd,12406,4371,6323,1.44658,0.940494,0.650150009,1,14,0.509673,0.850995,0,30,P1,P1,P3
pdb,36417,36417,4344765,119.306,31.8604,0.26704776,18,204,119.306,31.8604,18,204,P3,P3,P2b
pds,475448,142596,1014136,7.11195,7.15307,1.005781818,1,96,2.13301,0.39018,1,3,P3,P1,P3
pesa,11738,11738,79566,6.7785,0.885317,0.130606624,3,10,6.7785,0.885317,3,10,P3,P2,P3
PGP,10680,10680,48632,4.55356,8.07721,1.773823119,1,205,4.55356,8.07721,1,205,P3,P1,P3
pkustk,87804,87804,5217912,59.4268,25.0322,0.42122746,18,132,59.4268,25.0322,18,132,P3,P1,P2
poisson3D,85623,85623,2374949,27.7373,14.7121,0.530408511,6,145,27.7373,14.7121,6,145,P3,P3,P2
poli3,16955,16955,37849,2.23232,6.2828,2.814471044,1,336,2.23232,0.991318,1,41,P3,P2,P3
powersim,15838,15838,67562,4.26582,2.70058,0.633074063,2,40,4.26582,3.42057,1,41,P1,P1,P3
pre2,659033,659033,5959282,9.04246,22.1217,2.446424977,1,628,9.04246,27.2444,1,745,P3,P1,P3
Pres,14822,14822,715804,48.2933,5.11656,0.105947616,18,50,48.2933,5.11656,18,50,P3,P3,P2b
psse2,11028,28634,115262,4.02535,1.16705,0.2899251,1,28,10.4518,6.71306,2,76,P1,P3,P3
qa8fk,66127,66127,1660579,25.112,4.18252,0.166554635,8,27,25.112,4.18252,8,27,P3,P3,P2b
rajat,51032,51032,249302,4.88521,22.7604,4.659042293,1,3401,4.88521,22.4036,1,3269,P3,P3,P2b
Reuters,13332,13314,296076,22.2379,66.7811,3.003030862,1,2265,22.2079,66.741,0,2265,P3,P3,P2b
RFdevice,74104,74104,365580,4.93334,1.78166,0.361146809,2,271,4.93334,0.415814,1,9,P3,P1,P3
rgg,262144,262141,3094566,11.805,3.44834,0.292108429,1,31,11.8048,3.44855,0,31,P3,P1,P3
rim,22560,22560,1014951,44.989,26.5756,0.590713285,1,112,44.989,25.9789,11,112,P3,P1,P2b
rma,46835,46835,2374001,50.6886,27.7806,0.548064062,4,145,50.6886,27.7806,4,145,P3,P1,P2b
Rucci,109900,1977885,7791168,3.93914,0.343717,0.087256863,1,4,70.8932,11.3881,30,108,P3,P1,P3
s4dkt,90449,90449,3753461,41.4981,2.6822,0.064634284,7,42,41.4981,2.6822,7,42,P3,P1,P2
scfxm,65943,37980,221388,5.82907,5.60486,0.961535888,1,57,3.35726,8.75597,1,516,P3,P2,P3
scircuit,170998,170998,958936,5.60788,4.39216,0.783212194,1,353,5.60788,4.39219,1,353,P3,P1,P2
shallow,81920,81920,327680,4.0,0.0,0.0,4,4,4.0,0.0,4,4,P3,P1,P2
sherman,18510,18510,145149,7.84165,99.9495,12.74597821,1,10405,7.84165,99.3773,1,10405,P3,P3,P3
ship,34920,34920,4644230,132.996,55.1994,0.415045565,18,438,132.996,55.1994,18,438,P3,P1,P2b
shock,36476,36476,142580,3.90887,0.309635,0.07921343,2,4,3.90887,0.309635,2,4,P3,P1,P3
shyy,76480,76480,329762,4.31174,1.25315,0.290636727,1,6,4.31174,1.25482,1,6,P1,P1,P2
skirt,12598,12598,196520,15.5993,6.30962,0.40448097,1,33,15.5993,6.30962,1,33,P3,P1,P3
sme3D,29067,29067,2081063,71.5954,37.0664,0.517720412,24,345,71.5954,37.0674,24,345,P3,P1,P2b
soc-sign,131828,95318,841372,8.827,38.4668,4.357856576,1,2070,6.38235,34.7455,0,3478,P2,P3,P3
sparsine,50000,50000,1548988,30.9798,11.1545,0.360057199,6,56,30.9798,11.1545,6,56,P3,P3,P2b
spmsrtls,29995,29995,229947,7.66618,0.472707,0.061661349,4,8,7.66618,0.472707,4,8,P1,P3,P3
std1_Jac3,21982,21982,1455848,66.2291,169.296,2.556217735,1,1030,66.2291,129.752,1,1036,P3,P3,P2b
stokes,49666,49666,558594,11.247,2.3866,0.212198809,5,13,11.247,2.3866,5,13,P1,P1,P3
ted_A,10605,10605,424587,40.0365,37.1958,0.929047244,1,147,40.0365,22.7824,12,147,P1,P3,P2b
TF16,19321,15437,216173,14.0036,6.62167,0.472854837,2,63,11.1885,2.14733,0,15,P2,P1,P3
thermal,82654,82654,574458,6.95015,0.876773,0.126151666,1,11,6.95015,0.876773,1,11,P3,P1,P2
therm,102158,102158,711558,6.96527,0.71524,0.102686615,4,10,6.96527,0.71524,4,10,P1,P1,P2
tmt,917825,917825,4584801,4.99529,0.0863249,0.017281259,3,5,4.99529,0.0863249,3,5,P1,P1,P3
tomogra,59498,45908,647495,14.1042,15.0239,1.065207527,1,155,10.8826,1.69342,0,15,P3,P1,P3
