id,dataset,hedges,ghypart_k2,ghypart_k3,ghypart_k4,bipart_k1,bipart_k2,bipart_k3,mtkahypar_k2,mtkahypar_k3,mtkahypar_k4,hmetis_k2,hmetis_k3,hmetis_k4
194,sat_non_p30,1643601,5381.0,9764.0,27232.0,5379.0,8940.0,19337.0,3334.0,7141.0,10136.0,3225,6452,9675
195,sat_non_p30_p,1643601,4284.0,26003.0,17238.0,4284.0,26003.0,17238.0,4279.0,8566.0,14562.0,4271,8542,12813
196,sat_post_d,276895,821.0,1029.0,1955.0,821.0,1423.0,1962.0,388.0,503.0,804.0,3072,2740,3072
197,sat_post,1607567,5235.0,5657.0,9382.0,5236.0,6493.0,14107.0,1270.0,1479.0,1927.0,1303,1651,2139
198,sat_post_p,1607567,1983.0,7849.0,10492.0,1983.0,7466.0,4886.0,1322.0,2057.0,2446.0,1547,1802,1515
199,sat_post-ee_d,266199,349.0,724.0,1084.0,349.0,724.0,1084.0,306.0,411.0,717.0,3048,2672,3072
200,sat_post-ee,1575975,4820.0,4577.0,6462.0,4820.0,4723.0,6462.0,879.0,1475.0,1582.0,1028,1314,1295
201,sat_post-ee_p,1575975,2470.0,2900.0,5491.0,2470.0,2900.0,4730.0,1339.0,2352.0,3779.0,2707,1508,3351
202,sat_L100_d,315617,500.0,2286.0,2791.0,513.0,2286.0,2908.0,369.0,1372.0,1843.0,2062,2317,2502
203,sat_L100,1522583,63207.0,156916.0,254924.0,63207.0,156916.0,263510.0,85271.0,126735.0,144357.0,60488,127384,157496
204,sat_L100_p,1522583,76911.0,162373.0,181528.0,76911.0,155502.0,181716.0,80937.0,143670.0,162120.0,60494,144919,195456
205,sat_L150_d,486992,2142.0,2888.0,4947.0,2142.0,2888.0,4947.0,375.0,2638.0,2762.0,3372,2313,3519
206,sat_L150,2456708,121874.0,222885.0,291730.0,121741.0,189453.0,256302.0,140734.0,201810.0,245962.0,94463,257309,242474
207,sat_L150_p,2456708,148523.0,281789.0,352429.0,182673.0,258778.0,316389.0,152668.0,190245.0,266040.0,94469,315035,292162
208,sat_L200_d,670867,625.0,3954.0,4574.0,608.0,3954.0,4544.0,335.0,3521.0,3542.0,292162,292162,292162
209,sat_L200,3513333,231057.0,308544.0,400511.0,166731.0,315631.0,394223.0,196767.0,277485.0,328841.0,130938,430323,
210,sat_L200_p,3513333,145077.0,318292.0,414424.0,145077.0,318292.0,414424.0,158353.0,293906.0,332929.0,176279,418381,297240
211,sat_L80_d,250567,465.0,2018.0,2407.0,465.0,2018.0,2407.0,399.0,1002.0,1557.0,1695,1903,1945
212,sat_L80,1183233,84188.0,108946.0,162996.0,84188.0,108954.0,162996.0,68854.0,101318.0,115684.0,47598,101371,111366
213,sat_L80_p,1183233,61474.0,124833.0,143099.0,61474.0,124830.0,142953.0,81447.0,123950.0,127756.0,47608,171826,154075
214,sat_k100_1d,1621762,675.0,2413.0,8480.0,674.0,2511.0,4521.0,593.0,1182.0,1785.0,680,1266,1981
215,sat_k100_1,6356704,4274.0,4908.0,10524.0,1365.0,5577.0,7598.0,1186.0,2365.0,3544.0,1165,2338,3499
216,sat_k100_1p,6356704,2390.0,4806.0,4788.0,1202.0,3604.0,9403.0,1164.0,2394.0,3506.0,1173,2350,3537
217,sat_k100_2d,1621756,725.0,3241.0,4004.0,1264.0,2391.0,2863.0,588.0,1198.0,1769.0,665,1422,2019
218,sat_k100_2,6356692,3663.0,9557.0,14020.0,2391.0,9673.0,10791.0,1187.0,2354.0,3547.0,1168,2328,3496
219,sat_k100_2p,6356692,2003.0,9007.0,14435.0,2004.0,4324.0,13082.0,1172.0,2386.0,3557.0,1167,2340,3562
220,sat_k70_d,1131652,753.0,2327.0,4711.0,701.0,2035.0,3096.0,594.0,1185.0,1773.0,701,1304,1921
221,sat_k70,4433524,5316.0,9738.0,13687.0,4573.0,7593.0,9172.0,1177.0,2359.0,3539.0,1164,2328,3498
222,sat_k70_p,4433524,1238.0,4777.0,5976.0,1192.0,8180.0,3585.0,1164.0,2346.0,3541.0,1176,2404,3571
223,sat_k75_d,1213331,1289.0,2166.0,3119.0,1285.0,2166.0,2896.0,601.0,1184.0,1796.0,631,1245,1938
224,sat_k75,4754042,2013.0,6658.0,8054.0,3945.0,8227.0,11515.0,1180.0,2353.0,3545.0,1164,2335,3500
225,sat_k75_p,4754042,1755.0,7916.0,16022.0,1755.0,7919.0,16022.0,1164.0,2358.0,3520.0,1171,2341,3888
226,sat_k80_d,1295022,736.0,3923.0,2581.0,730.0,3866.0,2764.0,599.0,1208.0,1821.0,622,1336,1944
227,sat_k80,5074584,3137.0,5584.0,8426.0,2479.0,9579.0,19835.0,1180.0,2416.0,3568.0,1164,2331,3496
228,sat_k80_p,5074584,1186.0,3584.0,7022.0,1170.0,2454.0,4810.0,1170.0,2379.0,3528.0,1170,2707,3563
229,sat_k85_2d,1376701,1461.0,4313.0,4171.0,1066.0,2822.0,5441.0,592.0,1204.0,1770.0,631,1266,2056
230,sat_k85_2,5395102,3421.0,7102.0,21290.0,4061.0,7826.0,15909.0,1185.0,2363.0,3552.0,1167,2328,3492
231,sat_k85_2p,5395102,1182.0,2385.0,4733.0,1182.0,4742.0,3597.0,1164.0,2435.0,3509.0,1173,2353,3607
232,sat_k85_3d,1376701,1063.0,5476.0,6029.0,1066.0,2833.0,5432.0,592.0,1217.0,1803.0,627,1264,1891
233,sat_k85_3,5395102,3421.0,7106.0,21290.0,4061.0,7826.0,15909.0,1167.0,2365.0,3549.0,1171,2332,3499
234,sat_k85_3p,5395102,1182.0,2385.0,4733.0,1182.0,4742.0,3597.0,1167.0,2407.0,3515.0,1170,2402,3525
235,sat_k90_d,1458392,669.0,3184.0,6614.0,669.0,3182.0,7747.0,591.0,1227.0,1786.0,822,1357,1958
236,sat_k90,5715644,1548.0,3739.0,15431.0,1472.0,4918.0,8814.0,1179.0,2362.0,3540.0,1164,2332,3496
237,sat_k90_p,5715644,1205.0,3557.0,4835.0,1266.0,2390.0,3641.0,1181.0,2373.0,3542.0,1164,2349,3641
238,sat_k95_d,1540071,708.0,2857.0,5451.0,854.0,3051.0,4683.0,588.0,1221.0,1784.0,685,1234,1920
239,sat_k95,6036162,3956.0,4418.0,15760.0,3956.0,4823.0,15626.0,1173.0,2368.0,3533.0,1167,2332,3496
240,sat_k95_p,6036162,1240.0,3549.0,3624.0,1240.0,2361.0,3602.0,1164.0,2342.0,3549.0,1173,2389,3633
241,sat_slp_d,94998,1211.0,3595.0,4284.0,1125.0,3709.0,4178.0,2000.0,3110.0,3925.0,1008,1891,2379
242,sat_slp,302862,3912.0,9631.0,18074.0,3912.0,9631.0,18074.0,2614.0,8550.0,12014.0,2477,3313,10528
243,sat_slp_p,302862,3736.0,10672.0,17518.0,3736.0,10672.0,17518.0,3691.0,9740.0,13627.0,2830,3512,10846
244,sat_030_d,361750,370.0,1029.0,1876.0,370.0,1029.0,1876.0,370.0,740.0,2073.0,4554,1680,5528
245,sat_030,1934720,14025.0,27727.0,46071.0,14025.0,27733.0,45007.0,15224.0,31596.0,48015.0,13016,26032,39048
246,sat_030_p,1934720,14340.0,52198.0,49097.0,15113.0,51804.0,72794.0,15661.0,36415.0,49003.0,13016,26032,39048
247,sat_050_d,602670,740.0,2099.0,1726.0,740.0,2099.0,1726.0,370.0,740.0,1110.0,7037,7096,7081
248,sat_050,3224280,13197.0,53825.0,55293.0,13197.0,53825.0,55289.0,14970.0,30072.0,45377.0,13016,26032,39048
249,sat_050_p,3224280,13684.0,51061.0,61631.0,13685.0,52623.0,84012.0,13016.0,30872.0,47757.0,13016,26032,39048
250,sat_UCG-10p0_d,199304,1257.0,5259.0,4862.0,1257.0,5259.0,4862.0,1218.0,2582.0,2811.0,600,1406,1630
251,sat_UCG-10p0,1005834,4146.0,10767.0,17767.0,4146.0,10767.0,17767.0,4760.0,11002.0,13052.0,3316,8314,10712
252,sat_UCG-10p0_p,1005834,9318.0,16145.0,22203.0,9318.0,16145.0,22203.0,5053.0,11139.0,13854.0,3712,8685,10853
253,sat_UCG-10p1_d,200003,1880.0,6905.0,7129.0,1880.0,4097.0,5426.0,1188.0,2525.0,2833.0,603,1310,1593
254,sat_UCG-10p1,1019221,4923.0,22109.0,21307.0,4821.0,12662.0,30463.0,5544.0,11185.0,13786.0,3636,9006,11674
255,sat_UCG-10p1_p,1019221,7742.0,21305.0,21658.0,7742.0,21305.0,21658.0,5075.0,11857.0,14354.0,4052,9590,11668
256,sat_UCG-5p0_d,224587,2314.0,5974.0,6611.0,2314.0,5974.0,6611.0,1675.0,3026.0,4411.0,1161,1785,2369
257,sat_UCG-5p0,1190673,10114.0,19242.0,22210.0,10114.0,19242.0,21825.0,8240.0,13781.0,16766.0,6799,13328,16108
258,sat_UCG-5p0_p,1190673,9083.0,20459.0,23681.0,9083.0,20459.0,23681.0,8107.0,13703.0,18340.0,7012,12024,16658
259,sat_UR-15_d,199996,2968.0,5415.0,6987.0,2995.0,5415.0,6876.0,2978.0,4228.0,4776.0,1552,3450,4124
260,sat_UR-15,1019200,11446.0,18380.0,22830.0,11446.0,18380.0,22830.0,9156.0,14699.0,16473.0,8581,12821,15850
261,sat_UR-15_p,1019200,11461.0,22871.0,25838.0,11461.0,22871.0,25838.0,10096.0,14608.0,18313.0,8605,14582,17570
262,sat_UR-20_d,224569,3364.0,5180.0,8261.0,3364.0,5180.0,8256.0,3205.0,4568.0,5243.0,2044,3345,4980
263,sat_UR-20,1190619,13568.0,23275.0,27836.0,13568.0,23275.0,27836.0,12207.0,16512.0,17662.0,10798,15522,19282
264,sat_UR-20_p,1190619,15164.0,31724.0,34304.0,15164.0,31724.0,34304.0,12115.0,16543.0,18098.0,11642,18280,19672
265,sat_UTI_d,260342,360.0,1078.0,1903.0,297.0,602.0,812.0,230.0,542.0,710.0,149,316,773
266,sat_UTI,1391257,974.0,3693.0,5888.0,1519.0,6182.0,7639.0,648.0,1297.0,2116.0,642,1281,1914
267,sat_UTI_p,1391257,1935.0,3155.0,5082.0,935.0,3155.0,6160.0,907.0,1654.0,2724.0,827,1654,2481
268,sat_2.0_d,151669,2376.0,3705.0,6121.0,2376.0,3344.0,5325.0,1588.0,1734.0,1973.0,14400,4786,8831
269,sat_2.0,2465731,81775.0,279655.0,322033.0,86725.0,270039.0,321533.0,79035.0,155119.0,171863.0,69266,147796,159061
270,sat_2.0_p,2465731,107679.0,302520.0,342687.0,107679.0,302520.0,342689.0,121891.0,235084.0,274486.0,103900,210240,248356
271,sat_4.0-9_d,96177,1544.0,2386.0,7050.0,1544.0,2383.0,7562.0,635.0,2185.0,3748.0,11060,10864,9122
272,sat_4.0-9,1814189,99027.0,218991.0,219712.0,120037.0,218795.0,227823.0,76155.0,132903.0,175517.0,67248,110395,128907
273,sat_4.0-9_p,1814189,89605.0,284477.0,315023.0,106003.0,243074.0,346006.0,74810.0,211503.0,286969.0,69702,138452,274366
274,192bit,13691,10184.0,21686.0,27783.0,10049.0,21310.0,27942.0,11915.0,12578.0,12634.0,7379,10457,11902
275,2cubes,101492,4200.0,12484.0,14402.0,4200.0,12484.0,14387.0,4272.0,8713.0,11623.0,3652,8112,10473
276,2D,54019,1025.0,2235.0,2316.0,1025.0,2235.0,2330.0,524.0,916.0,1291.0,463,860,1226
277,3D,292008,7099.0,24031.0,24941.0,7099.0,24031.0,24941.0,8393.0,14079.0,21558.0,6348,12696,19044
278,ABACUS,23412,328.0,791.0,1069.0,673.0,697.0,1066.0,262.0,558.0,788.0,208,430,628
279,af23560,23560,822.0,1360.0,2103.0,822.0,1360.0,3331.0,608.0,1216.0,1824.0,608,1216,1824
280,af_shell,504855,4065.0,6550.0,8445.0,5060.0,6240.0,9200.0,2285.0,4780.0,5285.0,1765,3640,4345
281,airfoil,14214,407.0,833.0,1210.0,407.0,721.0,1454.0,367.0,655.0,808.0,320,523,665
282,Andrews,60000,5971.0,12773.0,13631.0,5610.0,12138.0,12856.0,4051.0,6812.0,8703.0,4025,5704,7616
283,appu,14000,13869.0,27898.0,42.0,13869.0,27898.0,41632.0,13989.0,13988.0,13989.0,13957,13985,13999
284,as-22,22963,920.0,1286.0,2628.0,797.0,1483.0,2248.0,1027.0,1136.0,1374.0,1719,983,2167
285,astro,16046,4174.0,8817.0,11735.0,4174.0,8678.0,11735.0,3901.0,5299.0,5642.0,3703,4785,5393
286,atmos,1270432,19927.0,43428.0,59732.0,19927.0,49536.0,59732.0,17701.0,29399.0,34560.0,17168,22599,31883
287,av41092,41092,1820.0,2238.0,4182.0,1182.0,3370.0,3060.0,724.0,1342.0,1564.0,778,1044,1554
288,barrier,113076,8979.0,17490.0,22545.0,8979.0,17490.0,22938.0,8195.0,12495.0,14780.0,6974,10671,12587
289,Baumann,112211,2744.0,4318.0,6890.0,2744.0,4318.0,6890.0,2230.0,3715.0,4444.0,2222,2982,4137
290,bayer04,20545,127.0,209.0,263.0,85.0,203.0,284.0,96.0,97.0,161.0,53,106,157
291,bbmat,38744,1185.0,2242.0,4400.0,1196.0,2950.0,4251.0,1184.0,2112.0,3040.0,1140,2068,2996
292,bcsstk,13992,540.0,1083.0,1823.0,540.0,1083.0,1823.0,462.0,900.0,1278.0,360,726,1080
293,Ben,245874,2010.0,3648.0,6840.0,2010.0,3648.0,5502.0,1770.0,3294.0,4983.0,153228,34830,69171
294,bibd,1176,1003.0,1825.0,2596.0,1003.0,1825.0,2596.0,1109.0,1047.0,1112.0,1111,1144,1157
295,bips,15066,75.0,388.0,326.0,75.0,388.0,326.0,62.0,120.0,126.0,58,87,113
296,bloweya,30004,5038.0,8016.0,8742.0,5038.0,8044.0,8742.0,4958.0,6570.0,7544.0,4504,6066,6984
297,bundle,10581,1253.0,2766.0,4598.0,1253.0,2766.0,4598.0,1528.0,1779.0,3641.0,1327,1554,3192
298,c-55,32780,4465.0,8387.0,9438.0,4465.0,8387.0,9276.0,3917.0,5229.0,6408.0,3363,4951,5859
299,c-61,43618,2754.0,5022.0,5384.0,2754.0,5022.0,5440.0,2528.0,3561.0,3862.0,2175,2845,3428
300,c-64,51035,1194.0,7859.0,12347.0,1194.0,7859.0,12347.0,1384.0,7686.0,9368.0,860,6181,7509
301,CondMat,23133,5157.0,10105.0,12714.0,5669.0,10082.0,13516.0,4370.0,6179.0,6538.0,3868,5503,6518
302,cage10,11397,2491.0,5405.0,6838.0,2491.0,5396.0,6767.0,2432.0,4322.0,4502.0,2200,3421,4793
303,ccc,49152,109.0,3192.0,7479.0,75.0,4275.0,7625.0,0.0,7236.0,6678.0,0,4681,4096
304,cfd,70656,2316.0,4340.0,7067.0,2316.0,4340.0,7709.0,2126.0,2982.0,5165.0,1524,2256,3520
305,Chem97Zt,2541,35.0,72.0,75.0,35.0,72.0,75.0,0.0,0.0,0.0,122,34,84
306,circuit,12127,1349.0,2522.0,4290.0,1347.0,2487.0,4548.0,1394.0,1999.0,2626.0,1478,2872,3173
307,ckt,49702,186.0,623.0,987.0,176.0,2616.0,2459.0,203.0,687.0,749.0,116,219,582
308,cnr,247501,51.0,229.0,1391.0,51.0,229.0,1114.0,72.0,370.0,574.0,1899,855,2297
309,conf5_4,49152,0.0,9987.0,16110.0,0.0,9441.0,16110.0,0.0,13353.0,12288.0,0,12288,12288
310,copter,17222,1100.0,4151.0,2984.0,1100.0,4162.0,3548.0,1060.0,2064.0,2243.0,930,1652,1982
311,coupled,11341,2105.0,3926.0,4710.0,2105.0,3969.0,4710.0,1830.0,2564.0,3008.0,1715,2312,2906
312,crash,160000,2634.0,4770.0,8300.0,2634.0,4758.0,7526.0,2182.0,3652.0,4282.0,1704,2640,3184
313,cryg,10000,224.0,492.0,870.0,224.0,492.0,751.0,208.0,334.0,400.0,200,269,370
314,crystk,13965,1139.0,2567.0,4148.0,1121.0,2330.0,3818.0,1254.0,2301.0,3330.0,798,1596,2310
315,d_pretok,182730,3206.0,11488.0,13140.0,3206.0,11548.0,12430.0,2711.0,4762.0,6395.0,2074,4034,5506
316,dac11,935731,2237.0,6221.0,7249.0,2237.0,6221.0,7249.0,1528.0,3379.0,4572.0,1187,2179,3307
317,dac14,619815,6315.0,11068.0,19344.0,16190.0,11078.0,20857.0,4385.0,7202.0,8398.0,3953,5461,7589
318,dac16,697458,11067.0,17525.0,20960.0,11067.0,17525.0,20071.0,9133.0,13235.0,13594.0,7002,9393,12013
319,dac2,990899,6328.0,15570.0,16780.0,6328.0,15570.0,16780.0,4531.0,5602.0,8013.0,3296,4572,6113
320,dac3,898001,3372.0,11683.0,18277.0,3372.0,11683.0,14780.0,1517.0,6176.0,8881.0,3058,4727,7809
321,dac6,1006629,5739.0,8176.0,18772.0,5739.0,8176.0,18772.0,3760.0,7625.0,8138.0,2787,5567,7008
322,dac7,1340418,2665.0,5407.0,12140.0,2631.0,6639.0,10755.0,2265.0,4506.0,6262.0,1803,3877,5992
323,delta,68600,675.0,6575.0,5622.0,675.0,6575.0,5622.0,686.0,5203.0,5089.0,615,4782,4846
324,denormal,89400,1272.0,2874.0,3499.0,1272.0,2874.0,3690.0,1216.0,2000.0,2366.0,1192,1608,2166
325,dict,39327,0.0,962.0,3192.0,0.0,817.0,2951.0,0.0,953.0,2107.0,2169,2288,3825
326,diel,607232,13224.0,8766.0,34662.0,5174.0,21870.0,25186.0,3122.0,7736.0,17424.0,2512,5510,12034
327,cova2,65025,1171.0,3272.0,3549.0,1171.0,3272.0,3549.0,1009.0,1684.0,1967.0,765,1236,1521
328,ecl32,51993,1953.0,4502.0,6238.0,2493.0,4886.0,6522.0,1837.0,3467.0,4529.0,1831,3309,4187
329,Emilia,923136,27009.0,69285.0,84297.0,27009.0,69285.0,84297.0,28884.0,53394.0,68664.0,20286,41313,49956
330,epb1,14734,231.0,546.0,719.0,231.0,546.0,869.0,223.0,457.0,565.0,209,413,521
331,ESOC,327062,168815.0,315574.0,417563.0,176807.0,296018.0,422085.0,191750.0,235660.0,236455.0,153352,202528,232822
332,Eternity,7362,1058.0,1866.0,3145.0,1058.0,1866.0,4043.0,780.0,1116.0,1252.0,5176,3168,2404
333,ex19,12005,0.0,243.0,360.0,0.0,593.0,360.0,0.0,195.0,141.0,0,171,117
334,F2,71505,1116.0,7652.0,5804.0,2982.0,7652.0,7985.0,1545.0,2640.0,3429.0,888,2805,3213
335,fd18,16428,165.0,451.0,797.0,165.0,422.0,797.0,165.0,336.0,507.0,140,290,430
336,fem,74062,3698.0,7783.0,12291.0,3744.0,6961.0,9323.0,3319.0,3941.0,6480.0,2822,3552,5723
337,finan,74752,156.0,508.0,708.0,156.0,447.0,407.0,152.0,324.0,311.0,147,220,293
338,flower,27693,4799.0,9782.0,11898.0,5118.0,9005.0,13238.0,5096.0,7759.0,8133.0,4334,6175,7192
339,foldoc,13356,7038.0,12976.0,16761.0,7005.0,13113.0,16760.0,6746.0,8380.0,8532.0,6107,7685,8095
340,Franz,47104,23895.0,52930.0,54393.0,23943.0,50199.0,54864.0,24333.0,29987.0,30392.0,19000,27240,32690
341,G2,150102,791.0,1517.0,2252.0,791.0,1517.0,2252.0,763.0,1432.0,1647.0,780,1196,1404
342,g7jac,11790,824.0,2105.0,2409.0,856.0,1772.0,2478.0,964.0,1288.0,1527.0,720,1031,1293
343,garon,13535,812.0,1297.0,2270.0,812.0,1262.0,2672.0,577.0,938.0,1289.0,542,849,1258
344,gearbox,153746,1723.0,5998.0,7957.0,1723.0,5998.0,8514.0,280.0,2850.0,4236.0,272,2332,2432
345,gemat,4929,71.0,224.0,365.0,71.0,224.0,365.0,37.0,79.0,79.0,35,51,69
346,graphics,29493,558.0,1566.0,1518.0,558.0,1464.0,1518.0,438.0,633.0,927.0,414,570,774
347,gyro,17361,321.0,426.0,1032.0,321.0,1095.0,1032.0,129.0,381.0,693.0,117,378,537
348,H2O,67024,13952.0,31117.0,41698.0,13952.0,31399.0,41836.0,14405.0,21979.0,27854.0,11438,17786,21319
349,HEP,24541,4704.0,11993.0,15298.0,4411.0,13602.0,15340.0,4114.0,8068.0,9103.0,4906,8444,9293
350,HTC,226340,1983.0,8542.0,16291.0,1983.0,8955.0,16291.0,1698.0,3444.0,5461.0,1550,2832,5106
351,hvdc1,24842,113.0,285.0,477.0,113.0,285.0,504.0,65.0,109.0,113.0,62,80,106
352,IG5,30162,0.0,15302.0,14674.0,0.0,16423.0,17755.0,0.0,9791.0,13344.0,10621,16283,20947
353,Ill,20896,1312.0,2424.0,3316.0,1312.0,2424.0,3126.0,1310.0,1895.0,2520.0,1148,1572,2256
354,interp,232485,946.0,2264.0,2807.0,946.0,2264.0,2691.0,878.0,1658.0,1985.0,800,1555,1915
355,IMDB,303617,28488.0,73677.0,71961.0,25333.0,81631.0,79112.0,26161.0,48720.0,50365.0,23393,36985,40699
356,ibm01,14111,317.0,643.0,987.0,317.0,841.0,987.0,224.0,395.0,619.0,181,368,497
357,ibm02,19584,401.0,960.0,1652.0,401.0,960.0,1566.0,384.0,389.0,998.0,262,340,622
358,ibm03,27401,1430.0,2269.0,3561.0,1430.0,2269.0,3561.0,1098.0,1939.0,1931.0,969,1507,1704
359,ibm04,31970,597.0,1458.0,2418.0,597.0,1458.0,2418.0,635.0,1446.0,1826.0,536,1182,1761
360,ibm05,28446,2397.0,6629.0,6001.0,2397.0,6193.0,6001.0,1874.0,3277.0,3504.0,1756,2654,3115
361,ibm06,34826,1133.0,1678.0,2550.0,1104.0,2631.0,2759.0,1027.0,1400.0,1818.0,907,1257,1710
362,ibm07,48117,1098.0,2738.0,4344.0,1817.0,3059.0,3778.0,987.0,2178.0,2292.0,914,1782,2364
363,ibm08,50513,1303.0,2590.0,3664.0,1303.0,2590.0,3664.0,1297.0,2328.0,2741.0,1143,2275,2434
364,ibm09,60902,1136.0,2101.0,3740.0,1128.0,2770.0,3139.0,679.0,1546.0,1812.0,638,1368,1748
365,ibm10,75196,2436.0,4722.0,5384.0,2004.0,4130.0,5297.0,1723.0,2360.0,2884.0,1289,1962,2440
366,ibm11,81454,1267.0,2530.0,4341.0,1267.0,2530.0,4341.0,1195.0,2116.0,2929.0,960,1826,2387
367,ibm12,77240,2389.0,4772.0,5959.0,2389.0,4772.0,5959.0,2233.0,3104.0,4821.0,2088,2925,3893
368,ibm13,99666,1451.0,3676.0,3826.0,1444.0,3676.0,3514.0,961.0,1884.0,2160.0,868,1232,1776
369,ibm14,152772,2960.0,5639.0,6476.0,3457.0,5639.0,7322.0,2531.0,3128.0,4182.0,1906,2870,3314
370,ibm15,186608,3981.0,10255.0,8365.0,3981.0,10250.0,8367.0,2976.0,5407.0,5714.0,2657,4225,5335
371,ibm16,190048,3167.0,5735.0,7387.0,3167.0,5735.0,7655.0,2043.0,3909.0,4871.0,1758,3802,3906
372,kim1,38415,1254.0,2440.0,2707.0,1254.0,2568.0,2734.0,964.0,1634.0,1930.0,772,1248,1536
373,kkt,2063494,15505.0,41826.0,39353.0,15505.0,56341.0,39907.0,29389.0,25444.0,20701.0,12066,14316,22358
374,duct3D,67173,3505.0,7693.0,12806.0,3505.0,7693.0,12806.0,2768.0,6049.0,7405.0,1866,3732,4948
375,lhr14,14270,174.0,570.0,485.0,174.0,570.0,372.0,127.0,253.0,316.0,97,162,254
376,li,22695,3463.0,9113.0,13207.0,3463.0,8936.0,13569.0,3033.0,5733.0,6566.0,1978,4004,6318
377,tissue,29282,626.0,944.0,1354.0,626.0,1190.0,1388.0,556.0,876.0,1066.0,484,798,954
378,Lin,256000,6960.0,12465.0,15767.0,6960.0,12394.0,16583.0,6430.0,10406.0,12682.0,6400,8294,12314
379,lp_nug,15240,12825.0,24958.0,33175.0,12825.0,24958.0,33175.0,11536.0,12780.0,11536.0,5911,9438,11650
380,lp_pds,33798,1096.0,2505.0,4012.0,1113.0,2893.0,4387.0,700.0,1878.0,2256.0,700,1509,2120
381,lung,109460,28.0,120.0,124.0,28.0,120.0,124.0,4.0,22.0,30.0,4,12,16
382,m14b,214765,2039.0,6295.0,9654.0,2039.0,6335.0,9771.0,2080.0,4373.0,7203.0,1821,3820,6100
383,mac,206500,402.0,1333.0,1616.0,402.0,1333.0,1616.0,315.0,636.0,959.0,306,612,918
384,Maragal,21251,2510.0,4543.0,6410.0,2510.0,4544.0,6410.0,2535.0,2226.0,3194.0,2090,2090,2124
385,mc2depi,525825,1003.0,2239.0,4633.0,1820.0,3012.0,4336.0,962.0,1978.0,2943.0,769,1538,2307
386,mixtank,29957,3869.0,8200.0,14588.0,4108.0,14506.0,13149.0,3685.0,6389.0,7603.0,2943,4362,5303
387,mono,169410,11031.0,24923.0,31284.0,11031.0,24923.0,31284.0,8498.0,13256.0,16965.0,7569,11839,14981
388,mri1,65536,561.0,1248.0,1300.0,561.0,1248.0,1300.0,505.0,845.0,1020.0,487,745,924
389,msc,10848,1785.0,3729.0,4413.0,1785.0,3729.0,5133.0,1236.0,2010.0,2679.0,10683,6321,5853
390,msdoor,415863,2128.0,4739.0,6006.0,2128.0,4739.0,6006.0,2114.0,3941.0,4851.0,1645,3129,4130
391,mult_dcop,25187,11399.0,18814.0,24959.0,11865.0,19655.0,25103.0,11215.0,14837.0,16818.0,10021,13618,15678
392,nasasrb,54870,934.0,1955.0,4432.0,934.0,3176.0,5381.0,730.0,1449.0,2183.0,540,1080,1620
393,nd12k,36000,12667.0,27219.0,38423.0,12667.0,26531.0,38423.0,12385.0,17044.0,19522.0,36000,15820,36000
394,net100,29920,10294.0,33546.0,32267.0,10294.0,33496.0,32082.0,15002.0,16417.0,17114.0,13018,18999,19956
395,nopoly,10774,74.0,243.0,236.0,72.0,229.0,210.0,62.0,117.0,150.0,50,102,118
396,actors,383640,12372.0,26511.0,28113.0,12372.0,26343.0,28826.0,12077.0,17930.0,21054.0,12715,16034,18993
397,www,137941,13.0,1160.0,732.0,13.0,796.0,732.0,3.0,511.0,1855.0,562,762,2542
398,obstclae,40000,420.0,1191.0,1382.0,420.0,1229.0,1382.0,408.0,650.0,778.0,396,540,771
399,olafu,16146,947.0,2461.0,3467.0,947.0,2461.0,3467.0,816.0,1084.0,1512.0,768,1020,1224
400,opt1,15449,2193.0,5114.0,6385.0,1980.0,5568.0,5828.0,1672.0,2948.0,3554.0,15291,8850,8952
401,Oregon,11174,482.0,835.0,1561.0,482.0,835.0,1561.0,412.0,613.0,783.0,718,889,859
402,p2p,6221,3679.0,7039.0,9250.0,3664.0,6898.0,9142.0,3737.0,3984.0,3716.0,2829,3713,4090
403,para,153226,10120.0,21504.0,22307.0,11045.0,17812.0,25524.0,7717.0,12442.0,14930.0,6053,10021,13199
404,parabolic,525825,1330.0,3664.0,4830.0,1374.0,3320.0,5684.0,1112.0,2246.0,3458.0,1026,2052,2972
405,Pd,4371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
406,pdb,36417,2940.0,5795.0,6977.0,2940.0,5243.0,7004.0,2406.0,3363.0,4653.0,13526,15834,11277
407,pds,142596,1192.0,4420.0,5110.0,1192.0,4420.0,5110.0,1633.0,3543.0,5011.0,2962,3672,4064
408,pesa,11738,109.0,367.0,322.0,109.0,404.0,322.0,79.0,146.0,191.0,70,111,166
409,PGP,10680,449.0,1154.0,1228.0,440.0,1208.0,1206.0,384.0,588.0,607.0,353,496,643
410,pkustk,87804,3114.0,6780.0,13812.0,3114.0,6780.0,13812.0,3264.0,5508.0,6732.0,2904,5094,5508
411,poisson3D,85623,5245.0,11716.0,15986.0,5245.0,11716.0,16729.0,4746.0,7949.0,9727.0,4365,6651,8668
412,poli3,16955,108.0,321.0,462.0,108.0,321.0,462.0,109.0,140.0,164.0,115,126,181
413,powersim,15838,56.0,197.0,320.0,56.0,197.0,320.0,9.0,17.0,53.0,9,15,39
414,pre2,659033,4721.0,9389.0,15645.0,4721.0,9389.0,15645.0,3542.0,6582.0,10650.0,3120,5628,8112
