id,dataset,hedges,ghypart_k2,ghypart_k3,ghypart_k4,bipart_k1,bipart_k2,bipart_k3,mtkahypar_k2,mtkahypar_k3,mtkahypar_k4,hmetis_k2,hmetis_k3,hmetis_k4
41,sat_9dlx_p,968295,57266.0,167774.0,192548.0,57266.0,167774.0,192548.0,55428.0,99094.0,118161.0,53428,107830,110472
42,sat_bug7,13378010,367093.0,836271.0,1309366.0,367093.0,367093.0,367093.0,357185.0,869093.0,925920.0,segfault,segfault,segfault
43,sat_bug8_d,521179,3553.0,20334.0,21321.0,3553.0,20334.0,21410.0,4090.0,8577.0,16247.0,110472,110472,110472
44,sat_bug8,13378617,354839.0,695726.0,1091739.0,354839.0,354839.0,354839.0,351861.0,854946.0,916384.0,segfault,segfault,segfault
45,sat_bug8_p,13378617,370110.0,1544126.0,1954653.0,,,,349047.0,1271930.0,1679647.0,segfault,segfault,segfault
46,sat_aaai_d,53919,1451.0,3612.0,4173.0,1451.0,3612.0,4173.0,801.0,1341.0,1657.0,971,1234,1544
47,sat_aaai,308235,3180.0,5194.0,6895.0,3180.0,5194.0,6895.0,2311.0,3436.0,3889.0,2377,3261,4089
48,sat_aaai_p,308235,2392.0,4065.0,6337.0,2392.0,3915.0,6313.0,2568.0,4309.0,4771.0,2313,3707,3977
49,sat_ACG_10p_d,381708,2242.0,7129.0,6776.0,2242.0,7129.0,6845.0,1852.0,1896.0,3465.0,1407,1219,2697
50,sat_ACG_10p,1632906,5716.0,12630.0,16477.0,5768.0,8121.0,14232.0,3774.0,4648.0,10416.0,3962,3839,8167
51,sat_ACG_10p_p,1632906,5484.0,22346.0,16201.0,10620.0,15845.0,20120.0,4170.0,5006.0,10679.0,4470,4218,8543
52,sat_ACG_5p0_d,324716,2111.0,3489.0,5378.0,2111.0,3300.0,4997.0,1667.0,2334.0,3383.0,1201,2219,4953
53,sat_ACG_5p0,1390931,6231.0,12413.0,14893.0,6486.0,10978.0,16951.0,3866.0,7502.0,9511.0,3087,5434,7411
54,sat_ACG_5p0_p,1390931,7706.0,14907.0,14266.0,9347.0,15219.0,19497.0,4272.0,7017.0,9829.0,3365,5116,8248
55,sat_ACG_5p1_d,331196,2190.0,7377.0,6906.0,2190.0,7341.0,6915.0,1412.0,2290.0,3454.0,1077,1650,2709
56,sat_ACG_5p1,1416850,6088.0,13308.0,19000.0,5506.0,11846.0,15941.0,4077.0,7123.0,10303.0,3230,5565,8371
57,sat_ACG_5p1_p,1416850,7080.0,12599.0,18504.0,7080.0,13822.0,18698.0,4223.0,7290.0,10529.0,3396,5536,8360
58,sat_01_d,7502,300.0,747.0,1045.0,300.0,747.0,1045.0,244.0,537.0,611.0,240,442,570
59,sat_01,28770,1109.0,2835.0,3426.0,1105.0,2886.0,3246.0,1098.0,2114.0,2552.0,988,1733,2193
60,sat_01_p,28770,1051.0,2301.0,3343.0,1276.0,3341.0,3926.0,1125.0,1992.0,2648.0,1062,1748,2303
61,sat_27_d,7729,211.0,376.0,658.0,211.0,376.0,658.0,127.0,199.0,202.0,104,163,187
62,sat_27,29194,2852.0,5126.0,5606.0,2852.0,5126.0,5606.0,2814.0,4114.0,4485.0,2383,3487,4101
63,sat_27_p,29194,3226.0,4874.0,5643.0,3201.0,4902.0,5468.0,3367.0,4868.0,5406.0,2424,3524,4169
64,sat_enc1_opt1_05_d,59517,828.0,1368.0,2014.0,828.0,1368.0,2014.0,720.0,1055.0,1211.0,6411,4830,6462
65,sat_enc1_opt1_05,561784,3645.0,6393.0,8362.0,3645.0,6393.0,8202.0,1039.0,1579.0,1755.0,1143,1676,1521
66,sat_enc1_opt1_05_p,561784,2918.0,4815.0,5081.0,2918.0,4815.0,5081.0,1595.0,2284.0,2718.0,2116,3132,4027
67,sat_enc1_opt1_10_d,46993,451.0,803.0,1149.0,451.0,803.0,1149.0,587.0,796.0,908.0,2283,1665,2424
68,sat_enc1_opt1_10,270831,1854.0,3189.0,3150.0,1854.0,3189.0,3148.0,795.0,1129.0,1328.0,902,1351,1563
69,sat_enc1_opt1_10_p,270831,2326.0,5024.0,4422.0,3114.0,5514.0,4677.0,1278.0,1766.0,2097.0,1497,2760,3247
70,sat_enc1_opt1_15_d,61642,730.0,1402.0,1578.0,724.0,1411.0,1530.0,792.0,1146.0,1222.0,8309,6910,8367
71,sat_enc1_opt1_15,644099,2235.0,4033.0,3554.0,2235.0,4033.0,3554.0,969.0,1259.0,1564.0,918,1567,1836
72,sat_enc1_opt1_15_p,644099,2927.0,3700.0,4840.0,2927.0,3700.0,4840.0,1746.0,2429.0,2771.0,2142,2940,3434
73,sat_enc1_opt2_4_d,14636,548.0,1072.0,1726.0,548.0,1072.0,1718.0,552.0,805.0,858.0,5767,4039,4826
74,sat_enc1_opt2_4,386163,357.0,774.0,978.0,357.0,773.0,950.0,281.0,389.0,415.0,270,318,393
75,sat_enc1_opt2_4_p,386163,495.0,1252.0,1498.0,495.0,1363.0,1498.0,474.0,835.0,819.0,482,604,684
76,sat_enc1_opt2_12_d,9495,370.0,802.0,1261.0,370.0,946.0,1261.0,412.0,583.0,691.0,1883,1457,1903
77,sat_enc1_opt2_12,147853,382.0,729.0,817.0,382.0,729.0,785.0,543.0,686.0,845.0,307,441,493
78,sat_enc1_opt2_12_p,147853,789.0,1698.0,3127.0,789.0,1646.0,3120.0,744.0,1074.0,1176.0,673,889,1073
79,sat_enc1_opt2_16_d,9643,398.0,899.0,1415.0,398.0,899.0,1353.0,431.0,590.0,732.0,2012,1465,2084
80,sat_enc1_opt2_16,152744,424.0,801.0,770.0,424.0,801.0,770.0,351.0,740.0,519.0,307,371,497
81,sat_enc1_opt2_16_p,152744,706.0,1181.0,1741.0,727.0,1266.0,1586.0,786.0,1054.0,1042.0,765,971,803
82,sat_enc2_opt1_05_d,56533,705.0,1321.0,1720.0,705.0,1321.0,1720.0,672.0,972.0,1165.0,6324,5459,6380
83,sat_enc2_opt1_05,526872,1440.0,2880.0,4143.0,1440.0,2880.0,4145.0,970.0,1522.0,1677.0,871,1251,1522
84,sat_enc2_opt1_05_p,526872,2037.0,4270.0,7318.0,1980.0,4274.0,6142.0,1595.0,2353.0,2669.0,1440,2492,2724
85,sat_enc2_opt1_15_d,58752,674.0,1215.0,1581.0,674.0,1215.0,1545.0,711.0,948.0,1114.0,7482,4324,7849
86,sat_enc2_opt1_15,580963,1488.0,2980.0,5491.0,1488.0,2979.0,5391.0,972.0,1345.0,1702.0,913,1312,1568
87,sat_enc2_opt1_15_p,580963,2208.0,3818.0,6603.0,2064.0,4298.0,6023.0,1669.0,2315.0,2707.0,1488,2197,2818
88,sat_enc3_opt1_50_d,1613160,3958.0,6375.0,7744.0,3958.0,6613.0,7965.0,2903.0,3924.0,4458.0,2700,3423,4327
89,sat_enc3_opt1_50,6429816,17953.0,54965.0,54888.0,17953.0,54965.0,54888.0,2700.0,4824.0,6701.0,1740,2579,3943
90,sat_enc3_opt1_50_p,6429816,1740.0,4085.0,12289.0,1980.0,5452.0,8650.0,1740.0,3449.0,4659.0,1980,2092,3557
91,sat_enc3_opt2_21_d,1484061,3230.0,3573.0,6588.0,3230.0,3573.0,6588.0,2602.0,3415.0,4361.0,644,1049,2014
92,sat_enc3_opt2_21,5933456,908.0,2684.0,6226.0,903.0,1867.0,6293.0,760.0,2671.0,4016.0,390,1586,3313
93,sat_enc3_opt2_21_p,5933456,4304.0,5249.0,18197.0,4304.0,2529.0,14102.0,343.0,3432.0,3436.0,462,1542,3271
94,sat_enc3_opt2_12_d,1236271,2428.0,4042.0,4815.0,2428.0,4042.0,4815.0,1676.0,2910.0,2992.0,406,572,1471
95,sat_enc3_opt2_12,4932603,1425.0,4409.0,4806.0,1449.0,5052.0,6459.0,705.0,3619.0,3742.0,558,1528,3034
96,sat_enc3_opt2_12_p,4932603,4867.0,11972.0,12913.0,12096.0,13064.0,20152.0,813.0,4207.0,4080.0,417,1368,3617
97,sat_enc3_opt2_14_d,1240678,3491.0,4129.0,6585.0,3491.0,4129.0,6585.0,1672.0,2575.0,2869.0,411,715,1517
98,sat_enc3_opt2_14,4950217,1884.0,7393.0,7469.0,1362.0,4267.0,4983.0,836.0,3662.0,3757.0,614,1676,3291
99,sat_enc3_opt2_14_p,4950217,7359.0,10940.0,10849.0,7359.0,10940.0,16263.0,684.0,3868.0,3985.0,417,949,3708
100,sat_blocks_d,559571,1521.0,11578.0,10110.0,1521.0,11578.0,10110.0,1481.0,2962.0,4443.0,175908,130016,178673
101,sat_blocks,10223027,19987.0,43348.0,51139.0,19987.0,43346.0,62347.0,9937.0,19897.0,29810.0,9918,19836,29754
102,sat_blocks_p,10223027,21169.0,73094.0,71747.0,21984.0,54432.0,84823.0,9955.0,19910.0,39820.0,9955,19910,29865
103,sat_bob-opt_d,51144,89.0,260.0,276.0,174.0,321.0,364.0,98.0,125.0,159.0,73,117,131
104,sat_bob-opt,152446,300.0,1728.0,5455.0,1427.0,2559.0,2092.0,468.0,885.0,1135.0,454,657,1022
105,sat_bob-opt_p,152446,433.0,5669.0,2862.0,421.0,6852.0,5344.0,462.0,739.0,1218.0,285,706,995
106,sat_bob_d,26294,222.0,891.0,879.0,248.0,827.0,1008.0,283.0,777.0,683.0,207,608,646
107,sat_bob,77920,1919.0,4582.0,5037.0,1919.0,4622.0,4404.0,2217.0,2717.0,3964.0,1705,2399,3406
