id,dataset,total_hyperedges,k=2,k=3,k=4,
304,cfd,70656,3370,6330,7674,
305,Chem97Zt,31022,61,41,63,
306,circuit,12127,1958,2902,3632,
307,ckt,49702,186,623,987,
308,cnr,325557,57,431,438,
309,conf5_4,49152,0,9987,16110,
310,copter,17222,1156,2770,3899,
311,coupled,11341,2549,3549,5410,
312,crash,160000,4284,13626,8210,
313,cryg,10000,822,453,1082,
314,crystk,13965,2460,3999,6141,
315,d_pretok,182730,3789,8974,9012,
316,dac11,952507,2541,4622,8995,
317,dac14,630802,23141,29506,32047,
318,dac16,698339,18496,20658,25006,
319,dac2,1010321,8961,17154,19892,
320,dac3,917944,6381,12783,18732,
321,dac6,1011662,15202,19081,23194,
322,dac7,1360217,2665,5407,12140,
323,delta,21961,1210,3914,6934,
324,denormal,89400,1272,2874,3499,
325,dict,52652,0,962,3192,
326,diel,607232,20368,12130,35472,
327,cova2,65025,1217,2735,4194,
328,ecl32,51993,2045,5609,5875,
329,Emilia,923136,33303,61950,88569,
330,epb1,14734,340,638,1109,
331,ESOC,37830,171727,293318,398410,
332,Eternity,150638,6814,11852,18541,
333,ex19,12005,0,243,360,
334,F2,71505,5954,4326,14843,
335,fd18,16428,772,1020,1165,
336,fem,74062,5771,8058,13735,
337,finan,74752,156,508,708,
338,flower,67593,5586,9687,13902,
339,foldoc,13356,7311,13345,17106,
340,Franz,30144,25297,49044,57412,
341,G2,150102,3500,3467,5732,
342,g7jac,11790,1387,2124,2315,
343,garon,13535,818,1298,1809,
344,gearbox,153746,2803,4481,8846,
345,gemat,10595,756,878,990,
346,graphics,11822,585,1032,1704,
347,gyro,17361,321,426,1032,
348,H2O,67024,15029,27286,44506,
349,HEP,27240,4704,11993,15298,
350,HTC,226340,1983,8542,16291,
351,hvdc1,24842,113,285,477,
352,IG5,27944,3158,4021,21532,
353,Ill,20896,1622,2935,3454,
354,interp,120000,5050,5074,6683,
355,IMDB,896308,28488,73677,71961,
356,ibm01,12752,346,596,859,
357,ibm02,19601,1122,1396,1956,
358,ibm03,23136,1568,2630,3270,
359,ibm04,27507,755,1851,3010,
360,ibm05,29347,2702,5738,7148,
361,ibm06,32498,1758,3699,4146,
362,ibm07,45926,1942,3065,4006,
363,ibm08,51309,2236,4961,5187,
364,ibm09,53395,1136,2101,3740,
365,ibm10,69429,2620,2847,5023,
366,ibm11,70558,1447,2917,4866,
367,ibm12,71076,4367,4553,6998,
368,ibm13,84199,1860,2927,3324,
369,ibm14,147605,3099,5757,7204,
370,ibm15,161570,3981,10255,8365,
371,ibm16,183484,5512,6246,8746,
372,kim1,38415,1599,2836,4582,
373,kkt,2063494,19852,32810,58133,
374,duct3D,67173,6182,8212,13624,
375,lhr14,14270,174,570,485,
376,li,22695,4418,7864,13344,
377,tissue,29282,2048,1320,2876,
378,Lin,256000,23462,27688,37088,
379,lp_nug,72600,12825,24958,33175,
380,lp_pds,108175,2454,4230,5305,
381,lung,109460,54,93,108,
382,m14b,214765,4688,9346,12895,
383,mac,206500,777,1442,1723,
384,Maragal,10152,2743,4911,6334,
385,mc2depi,525825,3150,11084,8877,
386,mixtank,29957,4606,12718,13532,
387,mono,169410,11911,18382,33099,
388,mri1,147456,708,1194,1807,
389,msc,10848,2151,4143,5817,
390,msdoor,415863,2324,4837,7742,
391,mult_dcop,25187,15056,24907,29215,
392,nasasrb,54870,1050,2622,3232,
393,nd12k,36000,14193,29776,38449,
394,net100,29920,17473,35190,47405,
395,nopoly,10774,102,164,282,
396,actors,127823,12372,26511,28113,
397,www,325729,13,1160,732,
398,obstclae,40000,1980,2234,2473,
399,olafu,16146,1029,2164,2601,
400,opt1,15449,2743,6416,7180,
401,Oregon,11492,713,1223,1520,
402,p2p,22687,3767,6925,9286,
403,para,153226,12158,18113,28703,
404,parabolic,525825,1333,5953,5052,
405,Pd,12406,0,0,0,
406,pdb,36417,2940,5795,6977,
407,pds,475448,1840,6160,8483,
408,pesa,11738,186,417,471,
409,PGP,10680,744,921,1604,
410,pkustk,87804,3918,7746,11862,
411,poisson3D,85623,5487,14512,17453,
412,poli3,16955,170,292,525,
413,powersim,15838,92,164,296,
414,pre2,659033,10869,20926,34750,
415,Pres,14822,1056,1560,2228,
416,psse2,11028,530,374,624,
417,qa8fk,66127,968,5360,8922,
418,rajat,51032,40,364,327,
419,Reuters,13332,5794,10164,14296,
420,RFdevice,74104,2158,6104,5093,
421,rgg,262144,1584,2525,3422,
422,rim,22560,544,853,1509,
423,rma,46835,1190,1361,3073,
424,Rucci,109900,58850,77658,102120,
425,s4dkt,90449,5430,4560,7902,
426,scfxm,65943,1105,1566,1867,
427,scircuit,170998,213,463,879,
428,shallow,81920,794,1753,2583,
429,sherman,18510,7288,10222,15688,
430,ship,34920,3120,2772,7518,
431,shock,36476,274,1033,1100,
432,shyy,76480,350,330,2761,
433,skirt,12598,60,190,110,
434,sme3D,29067,5001,4536,10995,
435,soc-sign,131828,1465,11124,12296,
436,sparsine,50000,20615,43836,58937,
437,spmsrtls,29995,1222,1688,2510,
438,std1_Jac3,21982,5132,7070,10393,
439,stokes,49666,1306,3554,3115,
440,ted_A,10605,324,979,986,
441,TF16,19321,5456,12111,17771,
442,thermal,82654,458,613,1215,
443,therm,102158,338,1004,1483,
444,tmt,917825,2430,9643,7084,
445,tomogra,59498,3946,9259,9532,
446,torso,259156,9549,16370,20195,
447,Trec,15905,3126,0,0,
448,Trefe,20000,17867,36640,48429,
449,TSOPF,30798,14565,17207,27709,
450,us04,28016,150,292,440,
451,usroads,129164,220,433,553,
452,venkat,62424,1008,1816,2160,
453,vibro,12328,3914,8158,9798,
454,plastic,32769,1763,4111,5156,
455,rocks,37762,624,2476,3074,
456,wave3D,21036,329,1125,1901,
457,wathen120,36441,666,1401,2762,
458,water,60740,4883,8074,11115,
459,wang4,26068,2637,3410,5731,
460,xenon,157464,4456,8532,11910,
461,Zhao,33861,1858,2031,3271,
462,G67,10000,463,482,907,
463,af101,503625,7555,12435,14710,
464,eco1,1000000,12769,12698,20947,
465,ibm18,210613,4277,6897,7223,
466,ibm17,185495,3130,9149,9404,
