id,dataset,k=2,k=3,k=4,
104,sat_bob-opt,0.0100083,0.0265423,0.0401054,
105,sat_bob-opt_p,0.0132843,0.0240312,0.0388176,
106,sat_bob_d,0.00765632,0.019131,0.0241927,
107,sat_bob,0.0107686,0.0281427,0.0286918,
108,sat_bob_p,0.0109661,0.0208599,0.0317054,
109,sat_c10_d,0.0172353,0.0412389,0.0435455,
110,sat_c10,0.034587,0.0517781,0.0834009,
111,sat_c10_p,0.0237951,0.0360098,0.0747105,
112,sat_count_d,0.0101818,0.0209623,0.026639,
113,sat_count,0.0129624,0.0186336,0.0353146,
114,sat_count_p,0.0109589,0.0156407,0.0302963,
115,sat_ctl_d,0.00666321,0.0158006,0.0199671,
116,sat_ctl,0.00950149,0.0165034,0.0312332,
117,sat_ctl_p,0.00911494,0.0169672,0.032028,
118,sat_ctl_5_d,0.00932805,0.0175337,0.0238499,
119,sat_ctl_5,0.0137746,0.0312236,0.0451787,
120,sat_ctl_5_p,0.0194706,0.0291183,0.0481076,
121,sat_dated_11_d,0.0172628,0.0578037,0.0617666,
122,sat_dated_11,0.0240772,0.0446688,0.0644914,
123,sat_dated_11_p,0.0190647,0.0418466,0.053399,
124,sat_dated_17_d,0.0189376,0.0357852,0.0477552,
125,sat_dated_17,0.0313877,0.0596138,0.0850017,
126,sat_dated_17_p,0.0358921,0.0719223,0.0790095,
127,sat_E02F20_d,0.0173615,0.0310136,0.0431797,
128,sat_E02F20,0.00963797,0.0261604,0.0384892,
129,sat_E02F20_p,0.00871677,0.0246263,0.03397,
130,sat_E02F22_d,0.0597166,0.551966,0.166748,
131,sat_E02F22,0.0220799,0.0469088,0.0750463,
132,sat_E02F22_p,0.021943,0.0459451,0.0797944,
133,sat_gss-18_d,0.00961765,0.0140934,0.0195876,
134,sat_gss-18,0.0186581,0.0310488,0.0420879,
135,sat_gss-18_p,0.00857165,0.0250928,0.0320351,
136,sat_gss-19_d,0.00809181,0.0191882,0.0240881,
137,sat_gss-19,0.0150643,0.025404,0.0424945,
138,sat_gss-19_p,0.0138219,0.0339857,0.0369434,
139,sat_gss-20_d,0.00787726,0.015748,0.0241567,
140,sat_gss-20,0.0154024,0.0225066,0.0417782,
141,sat_gss-20_p,0.0150519,0.0270153,0.0396335,
142,sat_gss-22_d,0.00831857,0.0232565,0.0219667,
143,sat_gss-22,0.0117626,0.0304038,0.0360435,
144,sat_gss-22_p,0.015003,0.0265121,0.0406883,
145,sat_k45_d,0.0327985,0.0443099,0.0630544,
146,sat_k45,0.0148665,0.0302133,0.0614063,
147,sat_k45_p,0.0141815,0.0367835,0.0390802,
148,sat_itox_d,0.0487389,0.0464076,0.0765515,
149,sat_itox,0.0216393,0.0407612,0.0755622,
150,sat_itox_p,0.0193237,0.0485354,0.058058,
