id,dataset,k=2,k=3,k=4,
267,sat_UTI_p,0.0192396,0.0292179,0.0469528,
268,sat_2.0_d,1.2613,1.27349,1.49095,
269,sat_2.0,0.0722792,0.181591,0.238356,
270,sat_2.0_p,0.0523988,0.108918,0.130907,
271,sat_4.0-9_d,0.838906,0.85019,1.67937,
272,sat_4.0-9,0.0714056,0.11389,0.121199,
273,sat_4.0-9_p,0.0579644,0.106109,0.144857,
274,192bit,0.0102546,0.0122396,0.0206584,
275,2cubes,0.00945526,0.0185937,0.0190403,
276,2D,0.00612182,0.0137461,0.0226177,
277,3D,0.0169622,0.0321206,0.0331229,
278,ABACUS,0.0060832,0.0082491,0.016278,
279,af23560,0.0039617,0.00796838,0.00943184,
280,af_shell,0.0132383,0.0226954,0.0320345,
281,airfoil,0.00441581,0.00677822,0.0086319,
282,Andrews,0.00632522,0.0111988,0.0223629,
283,appu,0.00678851,0.0153658,0.0258128,
284,as-22,0.0123358,0.01425,0.031608,
285,astro,0.0139856,0.0122101,0.0235569,
286,atmos,0.0556283,0.0779272,0.0952641,
287,av41092,0.0125087,0.0236251,0.0255244,
288,barrier,0.0347651,0.0384644,0.0495202,
289,Baumann,0.00721776,0.0133341,0.0301355,
290,bayer04,0.00522893,0.007788,0.0111856,
291,bbmat,0.006056,0.00905059,0.0144744,
292,bcsstk,0.00350304,0.0082591,0.0103927,
293,Ben,0.0103606,0.0169573,0.0270363,
294,bibd,0.00297149,0.0099663,0.0110981,
295,bips,0.00445139,0.00631635,0.0108234,
296,bloweya,0.0652305,0.0816367,0.0796056,
297,bundle,0.00742454,0.0118696,0.0146668,
298,c-55,0.0160176,0.0201959,0.0345847,
299,c-61,0.0102639,0.0163936,0.0275056,
300,c-64,0.0522015,0.0651854,0.092056,
301,CondMat,0.0125588,0.0205433,0.0209963,
302,cage10,0.00481424,0.00727155,0.0112452,
303,ccc,0.00406624,0.0118894,0.0150772,
304,cfd,0.0079879,0.013524,0.018619,
305,Chem97Zt,0.00315299,0.00720586,0.00809421,
306,circuit,0.0191721,0.0243391,0.041214,
307,ckt,0.0168512,0.0276793,0.0399142,
308,cnr,0.0118837,0.0203745,0.0295117,
309,conf5_4,0.00368163,0.00972822,0.0111607,
310,copter,0.004184,0.00760019,0.00994018,
311,coupled,0.00926269,0.0156801,0.0186741,
312,crash,0.00831456,0.0269671,0.0212583,
313,cryg,0.00346038,0.00978683,0.0113949,
314,crystk,0.00301843,0.00515264,0.0079841,
315,d_pretok,0.00825866,0.0140933,0.0298785,
316,dac11,0.0288688,0.0497156,0.0712534,
317,dac14,0.0613851,0.0938085,0.116573,
318,dac16,0.0324142,0.0451951,0.0604142,
319,dac2,0.035363,0.060333,0.0812174,
320,dac3,0.0318105,0.0649821,0.077926,
321,dac6,0.045593,0.0763142,0.108265,
322,dac7,0.0424741,0.0884372,0.120116,
323,delta,0.00767133,0.0121444,0.0221949,
324,denormal,0.00680634,0.0129826,0.0178203,
325,dict,0.00554458,0.0244654,0.0386013,
326,diel,0.0235851,0.0409067,0.0647551,
327,cova2,0.0048737,0.00905917,0.0176219,
328,ecl32,0.0141129,0.0104089,0.0226584,
329,Emilia,0.0461935,0.0667883,0.0964656,
330,epb1,0.00372973,0.00508133,0.0119501,
331,ESOC,0.0239229,0.0685122,0.0425194,
332,Eternity,0.00799411,0.0502225,0.12905,
333,ex19,0.00177875,0.00498986,0.00630813,
334,F2,0.00796125,0.0125188,0.0163394,
335,fd18,0.00968192,0.0133793,0.0134735,
336,fem,0.00711549,0.0120866,0.0178722,
337,finan,0.00560426,0.0106842,0.0142873,
338,flower,0.00838822,0.0199538,0.0243112,
339,foldoc,0.0128248,0.0187015,0.0239728,
340,Franz,0.0116826,0.0224569,0.0215735,
341,G2,0.0162415,0.0282844,0.035589,
342,g7jac,0.00499658,0.00773955,0.0108167,
343,garon,0.00242755,0.00619232,0.0187201,
344,gearbox,0.00940506,0.0143063,0.0203839,
345,gemat,0.0177599,0.0186368,0.0219395,
346,graphics,0.00543411,0.00962154,0.0181648,
347,gyro,0.00277056,0.00514352,0.0115886,
348,H2O,0.00748243,0.0125717,0.0247884,
349,HEP,0.0234376,0.0186188,0.0302051,
350,HTC,0.0412421,0.0632418,0.0994656,
351,hvdc1,0.00399264,0.00676099,0.0105149,
352,IG5,0.00444554,0.0244947,0.03696,
