id,dataset,k=2,k=3,k=4,
221,sat_k70,2.522,4.15,5.032,
222,sat_k70_p,1.995,3.189,6.81,
223,sat_k75_d,1.382,2.174,2.832,
224,sat_k75,2.539,4.24,5.293,
225,sat_k75_p,2.144,3.33,4.366,
226,sat_k80_d,1.446,2.348,3.085,
227,sat_k80,2.856,4.506,5.626,
228,sat_k80_p,2.244,3.714,4.78,
229,sat_k85_2d,1.583,2.546,3.188,
230,sat_k85_2,2.9,4.526,5.875,
231,sat_k85_2p,2.336,3.854,4.843,
232,sat_k85_3d,1.574,2.511,3.238,
233,sat_k85_3,2.915,4.572,5.874,
234,sat_k85_3p,2.313,3.791,4.851,
235,sat_k90_d,1.669,2.685,3.417,
236,sat_k90,3.032,4.912,6.192,
237,sat_k90_p,2.457,4.09,5.388,
238,sat_k95_d,1.742,2.818,8.385,
239,sat_k95,3.269,5.069,7.686,
240,sat_k95_p,2.581,4.467,5.44,
241,sat_slp_d,0.245,0.476,0.562,
242,sat_slp,0.548,1.243,1.228,
243,sat_slp_p,0.895,0.765,1.732,
244,sat_030_d,0.911,1.184,1.71,
245,sat_030,2.459,5.529,4.875,
246,sat_030_p,3.079,4.287,6.493,
247,sat_050_d,1.101,1.693,3.473,
248,sat_050,3.213,6.872,8.545,
249,sat_050_p,2.324,5.13,5.993,
250,sat_UCG-10p0_d,0.396,0.938,1.133,
251,sat_UCG-10p0,0.879,1.324,1.666,
252,sat_UCG-10p0_p,1.005,1.484,1.783,
253,sat_UCG-10p1_d,0.374,0.77,1.364,
254,sat_UCG-10p1,0.836,1.137,1.671,
255,sat_UCG-10p1_p,0.815,1.49,1.614,
256,sat_UCG-5p0_d,0.432,0.639,1.235,
257,sat_UCG-5p0,1.142,1.663,1.966,
258,sat_UCG-5p0_p,1.167,1.697,2.06,
259,sat_UR-15_d,0.398,0.641,0.824,
260,sat_UR-15,1.016,1.016,1.914,
261,sat_UR-15_p,1.245,1.813,2.199,
262,sat_UR-20_d,0.446,0.74,1.12,
263,sat_UR-20,1.22,1.734,2.39,
264,sat_UR-20_p,1.291,2.135,2.305,
265,sat_UTI_d,0.606,0.924,1.288,
266,sat_UTI,0.869,1.401,1.88,
267,sat_UTI_p,0.895,1.368,1.909,
268,sat_2.0_d,0.725,1.232,3.502,
269,sat_2.0,4.468,9.071,10.466,
270,sat_2.0_p,3.556,6.31,7.409,
271,sat_4.0-9_d,0.683,0.94,6.72,
272,sat_4.0-9,3.983,6.522,6.225,
273,sat_4.0-9_p,4.182,5.717,8.1,
274,192bit,0.175,0.122,0.21,
275,2cubes,0.231,0.404,0.443,
276,2D,0.077,0.15,0.206,
277,3D,0.601,1.309,1.165,
278,ABACUS,0.04,0.088,0.091,
279,af23560,0.041,0.064,0.08,
280,af_shell,0.378,0.634,0.809,
281,airfoil,0.026,0.054,0.079,
282,Andrews,0.156,0.259,0.413,
283,appu,0.106,0.096,0.167,
284,as-22,0.099,0.134,0.243,
285,astro,0.284,0.214,0.421,
286,atmos,2.139,3.115,4.001,
287,av41092,0.16,0.26,0.262,
288,barrier,0.221,0.352,0.526,
289,Baumann,0.17,0.271,0.55,
290,bayer04,0.031,0.05,0.076,
291,bbmat,0.079,0.152,0.182,
292,bcsstk,0.024,0.065,0.097,
293,Ben,0.245,0.378,0.561,
294,bibd,0.013,0.059,0.043,
295,bips,0.034,0.055,0.07,
296,bloweya,0.171,0.284,0.297,
297,bundle,0.034,0.075,0.063,
298,c-55,0.213,0.294,0.386,
299,c-61,0.076,0.142,0.235,
300,c-64,0.118,0.211,0.584,
301,CondMat,0.272,0.355,0.347,
302,cage10,0.088,0.089,0.144,
303,ccc,0.07,0.17,0.227,
304,cfd,0.129,0.242,0.311,
305,Chem97Zt,0.004,0.014,0.008,
306,circuit,0.081,0.148,0.272,
307,ckt,0.098,0.176,0.245,
308,cnr,0.176,0.336,0.597,
309,conf5_4,0.096,0.169,0.195,
310,copter,0.036,0.056,0.112,
311,coupled,0.025,0.08,0.088,
312,crash,0.253,0.585,0.54,
