id,dataset,k=2,k=3,k=4,
224,sat_k75,0.152618,0.328271,0.444278,
225,sat_k75_p,0.136107,0.293165,0.396622,
226,sat_k80_d,0.111887,0.197181,0.34589,
227,sat_k80,0.168026,0.0,0.0,
228,sat_k80_p,0.142893,0.315528,0.42884,
229,sat_k85_2d,0.120624,0.223322,0.328995,
230,sat_k85_2,0.173799,0.0,0.0,
231,sat_k85_2p,0.152478,0.343898,0.543635,
232,sat_k85_3d,0.121895,0.222805,0.294592,
233,sat_k85_3,0.173085,0.0,0.0,
234,sat_k85_3p,0.151311,0.339303,0.548423,
235,sat_k90_d,0.138946,0.0,0.0,
236,sat_k90,0.0,0.0,0.0,
237,sat_k90_p,0.159687,0.358189,0.492315,
238,sat_k95_d,0.0,0.0,0.0,
239,sat_k95,0.0,0.0,0.0,
240,sat_k95_p,0.164823,0.397674,0.0,
241,sat_slp_d,0.0272444,0.0603702,0.0842137,
242,sat_slp,0.0648079,0.124386,0.142855,
243,sat_slp_p,0.0628857,0.131859,0.157743,
244,sat_030_d,0.112406,0.160354,0.26766,
245,sat_030,0.103522,0.277143,0.295912,
246,sat_030_p,0.150238,0.281218,0.351071,
247,sat_050_d,0.143672,0.250969,0.368482,
248,sat_050,0.137406,0.357643,0.440773,
249,sat_050_p,0.120129,0.286624,0.396027,
250,sat_UCG-10p0_d,0.0277855,0.0513736,0.0828296,
251,sat_UCG-10p0,0.0475906,0.0868957,0.200695,
252,sat_UCG-10p0_p,0.049319,0.0959624,0.83954,
253,sat_UCG-10p1_d,0.0256706,0.0820875,0.067702,
254,sat_UCG-10p1,0.0444441,0.0860776,0.134367,
255,sat_UCG-10p1_p,0.0429124,0.0880456,0.123875,
256,sat_UCG-5p0_d,0.0341827,0.0586141,0.0784225,
257,sat_UCG-5p0,0.0571398,0.109238,0.141968,
258,sat_UCG-5p0_p,0.0541586,0.101971,0.229686,
259,sat_UR-15_d,0.0306671,0.0564663,0.0695727,
260,sat_UR-15,0.0596505,0.115411,0.136684,
261,sat_UR-15_p,0.0509157,0.0949861,0.214372,
262,sat_UR-20_d,0.0332594,0.0566537,0.077365,
263,sat_UR-20,0.0584546,0.195959,0.161434,
264,sat_UR-20_p,0.0622104,0.193395,0.16557,
265,sat_UTI_d,0.0485388,0.0841254,0.115105,
266,sat_UTI,0.0512855,0.105223,0.209173,
267,sat_UTI_p,0.0532601,0.104637,0.15503,
268,sat_2.0_d,0.084862,0.123002,0.415014,
269,sat_2.0,0.162354,0.408583,0.456132,
270,sat_2.0_p,0.126274,0.286795,0.336412,
271,sat_4.0-9_d,0.124359,0.104865,0.781958,
272,sat_4.0-9,0.165326,0.316384,0.329543,
273,sat_4.0-9_p,0.134478,0.250229,0.339485,
274,192bit,0.0174679,0.0183465,0.0379544,
275,2cubes,0.018215,0.0440234,0.063768,
276,2D,0.0181178,0.0303924,0.0476945,
277,3D,0.0476812,0.0892999,0.117463,
278,ABACUS,0.00789607,0.0149951,0.0169836,
279,af23560,0.00602612,0.0137875,0.0173287,
280,af_shell,0.0645538,0.111251,0.153706,
281,airfoil,0.00591742,0.0110698,0.0177429,
