id,dataset,k=2,k=3,k=4,
270,sat_2.0_p,0.975,1.292,1.443,
271,sat_4.0-9_d,0.747,0.890,0.887,
272,sat_4.0-9,0.721,0.969,0.989,
273,sat_4.0-9_p,0.773,1.192,1.232,
274,192bit,0.115,0.140,0.122,
275,2cubes,0.112,0.165,0.189,
276,2D,0.052,0.059,0.068,
277,3D,0.324,0.462,0.495,
278,ABACUS,0.031,0.039,0.040,
279,af23560,0.033,0.049,0.052,
280,af_shell,0.314,0.291,0.301,
281,airfoil,0.034,0.134,0.044,
282,Andrews,0.217,0.366,0.372,
283,appu,0.568,0.649,0.618,
284,as-22,0.062,0.086,0.077,
285,astro,0.062,0.155,0.087,
286,atmos,0.804,2.221,0.839,
287,av41092,0.087,0.101,1.488,
288,barrier,0.131,0.170,0.178,
289,Baumann,0.107,0.145,0.135,
290,bayer04,0.034,0.043,0.048,
291,bbmat,0.062,0.206,0.129,
292,bcsstk,0.032,0.035,0.041,
293,Ben,0.201,0.210,0.203,
294,bibd,0.031,0.038,0.042,
295,bips,0.078,0.034,0.040,
296,bloweya,0.045,0.056,0.056,
297,bundle,0.039,0.047,0.049,
298,c-55,0.081,0.115,0.119,
299,c-61,0.070,0.098,0.097,
300,c-64,0.187,0.231,0.314,
301,CondMat,0.071,0.104,0.100,
302,cage10,0.060,0.116,0.103,
303,ccc,0.071,0.119,0.159,
304,cfd,0.092,0.131,0.151,
305,Chem97Zt,0.022,0.026,0.029,
306,circuit,0.048,0.073,0.076,
307,ckt,0.098,0.079,2.060,
308,cnr,0.265,0.482,0.286,
309,conf5_4,0.089,0.134,0.118,
310,copter,0.045,0.076,0.151,
311,coupled,0.056,0.078,0.213,
312,crash,0.108,0.133,0.123,
313,cryg,0.054,0.036,0.043,
314,crystk,0.047,0.063,0.069,
315,d_pretok,0.153,0.225,0.179,
316,dac11,0.545,0.752,0.608,
317,dac14,0.417,0.449,0.477,
318,dac16,0.464,0.483,0.473,
319,dac2,0.584,0.650,0.678,
320,dac3,0.560,0.629,0.671,
321,dac6,0.581,0.665,0.667,
322,dac7,0.772,0.848,0.860,
323,delta,0.148,0.000,0.108,
324,denormal,0.093,0.085,0.084,
325,dict,0.067,0.105,0.112,
326,diel,0.595,0.581,0.609,
327,cova2,0.062,0.084,0.082,
328,ecl32,0.078,0.272,0.120,
329,Emilia,0.779,0.818,0.843,
330,epb1,0.027,0.036,0.065,
331,ESOC,0.945,1.803,1.541,
332,Eternity,0.220,0.255,0.338,
333,ex19,0.026,0.036,0.042,
334,F2,0.128,0.232,0.274,
335,fd18,0.127,0.045,0.052,
336,fem,0.125,0.163,0.181,
337,finan,0.089,0.141,0.098,
338,flower,0.133,0.151,0.167,
339,foldoc,0.065,0.080,0.093,
340,Franz,0.290,0.282,0.369,
341,G2,0.135,0.138,0.147,
342,g7jac,0.039,0.058,0.053,
