id,dataset,bipart_cut2,bipart_time2,ghypart_cut2,ghypart_time2,bipart_cut3,bipart_time3,ghypart_cut3,ghypart_time3,bipart_cut4,bipart_time4,ghypart_cut4,ghypart_time4,hedges
356,ibm01,317,0.049,261,0.00947769,,,14111
357,ibm02,401,0.049,408,0.00820572,,,19584
358,ibm03,1430,0.048,1427,0.00682976,,,27401
359,ibm04,597,0.117,664,0.00745852,,,31970
360,ibm05,2397,0.096,2460,0.0142846,,,28446
361,ibm06,1104,0.106,1133,0.00966282,,,34826
362,ibm07,1817,0.175,1168,0.0096169,,,48117
363,ibm08,1303,0.069,1347,0.009152,,,50513
364,ibm09,1128,0.083,1136,0.00863428,,,60902
365,ibm10,2004,0.115,2843,0.0181409,,,75196
366,ibm11,1267,0.263,1340,0.00700539,,,81454
367,ibm12,2389,0.163,2616,0.0141577,,,77240
368,ibm13,1444,0.117,2508,0.0114435,,,99666
369,ibm14,3457,0.18,3404,0.0113272,,,152772
370,ibm15,3981,0.473,4882,0.0144554,,,186608
371,ibm16,3167,0.47,2244,0.0167791,,,190048
465,ibm18,2385,0.249,2385,0.0125553,,,201920
466,ibm17,3080,0.313,2911,0.0130793,,,189581
id,dataset,bipart_cut2,bipart_time2,ghypart_cut2,ghypart_time2,bipart_cut3,bipart_time3,ghypart_cut3,ghypart_time3,bipart_cut4,bipart_time4,ghypart_cut4,ghypart_time4,hedges
356,ibm01,317,0.037,317,0.00606863,,,14111
357,ibm02,401,0.041,401,0.00659863,,,19584
358,ibm03,1430,0.045,1430,0.00696635,,,27401
359,ibm04,597,0.116,597,0.00806427,,,31970
360,ibm05,2397,0.094,2397,0.0116059,,,28446
361,ibm06,1104,0.101,1133,0.009324,,,34826
362,ibm07,1817,0.177,1098,0.00910846,,,48117
363,ibm08,1303,0.061,1303,0.00870798,,,50513
364,ibm09,1128,0.083,1136,0.00881264,,,60902
365,ibm10,2004,0.1,2436,0.0103307,,,75196
366,ibm11,1267,0.261,1267,0.00891504,,,81454
367,ibm12,2389,0.147,2389,0.0111874,,,77240
368,ibm13,1444,0.116,1451,0.012623,,,99666
369,ibm14,3457,0.182,2960,0.0131494,,,152772
370,ibm15,3981,0.479,3981,0.0162303,,,186608
371,ibm16,3167,0.478,3167,0.0162376,,,190048
465,ibm18,2385,0.245,2385,0.0131752,,,201920
466,ibm17,3080,0.317,3130,0.0134682,,,189581
