id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,1.207,1.314,1.378,
1,sat_10pipe,0.687,0.911,0.891,
2,sat_10pipe_p,0.674,0.882,0.958,
3,sat_11pipe_d,2.384,2.588,2.682,
4,sat_11pipe,1.564,1.991,2.164,
5,sat_11pipe_p,1.795,2.089,2.352,
6,sat_11pipe_kd,1.593,1.760,1.773,
7,sat_11pipe_k,0.857,1.034,1.105,
8,sat_11pipe_kp,0.803,1.118,1.133,
9,sat_6s10_d,0.134,0.121,0.129,
10,sat_6s10,0.148,0.174,0.175,
11,sat_6s10_p,0.109,0.127,0.139,
12,sat_6s11_d,0.119,0.128,0.130,
13,sat_6s11,0.143,0.184,0.193,
14,sat_6s11_p,0.111,0.132,0.143,
15,sat_6s12_d,0.119,0.126,0.118,
16,sat_6s12,0.142,0.169,0.194,
17,sat_6s12_p,0.107,0.119,0.129,
18,sat_130_d,0.148,0.150,0.157,
19,sat_130,0.180,0.200,0.216,
20,sat_130_p,0.123,0.158,0.156,
21,sat_131_d,0.129,0.184,0.168,
22,sat_131,0.193,0.208,0.210,
23,sat_131_p,0.132,0.154,0.163,
24,sat_133_d,0.124,0.166,0.178,
25,sat_133,0.175,0.211,0.218,
26,sat_133_p,0.135,0.153,0.168,
27,sat_153_d,0.184,0.210,0.226,
28,sat_153,0.226,0.244,0.261,
29,sat_153_p,0.170,0.183,0.187,
30,sat_16_d,0.105,0.115,0.121,
31,sat_16,0.139,0.177,0.184,
32,sat_16_p,0.102,0.121,0.131,
33,sat_184_d,0.105,0.123,0.133,
34,sat_184,0.153,0.183,0.185,
35,sat_184_p,0.115,0.127,0.138,
36,sat_9_d,0.109,0.122,0.141,
37,sat_9,0.149,0.190,0.176,
38,sat_9_p,0.109,0.126,0.129,
39,sat_9dlx_d,0.567,0.597,0.601,
40,sat_9dlx,0.443,0.533,0.632,
41,sat_9dlx_p,0.503,0.682,0.726,
42,sat_bug7,4.001,5.527,5.741,
43,sat_bug8_d,8.418,8.728,9.102,
44,sat_bug8,4.049,5.356,5.643,
45,sat_bug8_p,4.016,5.659,6.558,
46,sat_aaai_d,0.201,0.226,0.246,
47,sat_aaai,0.201,0.227,0.209,
48,sat_aaai_p,0.181,0.190,0.206,
49,sat_ACG_10p_d,0.711,0.706,0.738,
50,sat_ACG_10p,0.666,0.681,0.690,
51,sat_ACG_10p_p,0.510,0.498,0.550,
52,sat_ACG_5p0_d,0.595,0.598,0.674,
53,sat_ACG_5p0,0.571,0.594,0.614,
54,sat_ACG_5p0_p,0.438,0.456,0.446,
55,sat_ACG_5p1_d,0.614,0.628,0.656,
56,sat_ACG_5p1,0.595,0.626,0.606,
