id,dataset,part2_cut,part2_time,part3_cut,part3_time,part4_cut,part4_time,
211,sat_L80_d,399,1.530,1186,1.796,1627,1.671,
212,sat_L80,68854,3.181,110688,4.576,128468,4.503,
213,sat_L80_p,78193,1.980,126053,2.851,139577,3.094,
214,sat_k100_1d,593,4.792,1182,4.882,1773,4.894,
215,sat_k100_1,1186,4.675,2358,4.673,3539,4.723,
216,sat_k100_1p,1164,3.202,2338,3.230,3519,3.246,
217,sat_k100_2d,588,4.804,1230,4.842,1769,4.920,
218,sat_k100_2,1187,4.645,2363,4.694,3549,4.695,
219,sat_k100_2p,1172,3.162,2398,3.208,3561,3.239,
220,sat_k70_d,594,3.314,1194,3.380,1796,3.392,
221,sat_k70,1176,3.209,2356,3.232,3529,3.276,
222,sat_k70_p,1176,2.206,2334,2.221,3557,2.241,
223,sat_k75_d,601,3.573,1185,3.614,1794,3.671,
224,sat_k75,1180,3.439,2354,3.484,3549,3.495,
225,sat_k75_p,1164,2.365,2343,2.388,3539,2.404,
226,sat_k80_d,599,3.798,1209,3.879,1804,3.905,
227,sat_k80,1170,3.719,2357,3.703,3588,3.731,
228,sat_k80_p,1170,2.527,2377,2.556,3538,2.565,
229,sat_k85_2d,592,4.053,1213,4.116,1791,4.127,
230,sat_k85_2,1179,3.912,2364,3.949,3533,3.969,
231,sat_k85_2p,1164,2.698,2400,2.719,3509,2.733,
232,sat_k85_3d,592,4.047,1203,4.098,1805,4.157,
233,sat_k85_3,1167,3.923,2370,3.940,3526,3.978,
234,sat_k85_3p,1167,2.686,2413,2.700,3546,2.739,
235,sat_k90_d,591,4.319,1198,4.345,1785,4.404,
236,sat_k90,1175,4.165,2363,4.193,3540,4.203,
237,sat_k90_p,1181,2.855,2369,2.891,3530,2.907,
238,sat_k95_d,588,4.562,1203,4.607,1804,4.663,
239,sat_k95,1173,4.424,2376,4.409,3530,4.456,
240,sat_k95_p,1164,3.020,2342,3.049,3557,3.068,
241,sat_slp_d,2000,0.342,3324,0.439,4066,0.451,
242,sat_slp,2614,0.358,8645,0.562,12156,0.625,
243,sat_slp_p,3691,0.285,9627,0.444,11935,0.500,
244,sat_030_d,370,1.643,740,2.010,2085,2.257,
245,sat_030,15224,1.179,29907,1.319,47803,1.380,
246,sat_030_p,15661,0.987,34860,1.205,48016,1.290,
247,sat_050_d,370,2.476,740,2.829,1110,2.974,
248,sat_050,14970,1.942,29171,2.078,44959,2.148,
249,sat_050_p,13016,1.580,30872,1.798,52064,1.857,
250,sat_UCG-10p0_d,1218,0.782,2444,0.859,2698,0.901,
251,sat_UCG-10p0,4448,0.686,10152,0.834,13231,0.885,
252,sat_UCG-10p0_p,5053,0.513,11511,0.601,13342,0.638,
253,sat_UCG-10p1_d,1188,0.786,2779,0.913,2761,0.919,
254,sat_UCG-10p1,5544,0.709,11672,0.834,14094,0.928,
255,sat_UCG-10p1_p,5075,0.520,12143,0.602,14929,0.650,
256,sat_UCG-5p0_d,1675,0.908,3054,1.034,4182,1.047,
257,sat_UCG-5p0,8240,0.807,13654,0.921,16868,0.974,
258,sat_UCG-5p0_p,8107,0.586,13695,0.688,18131,0.716,
259,sat_UR-15_d,2972,0.801,4085,0.870,4691,0.897,
260,sat_UR-15,9156,0.721,14111,0.854,16340,0.889,
261,sat_UR-15_p,10033,0.543,15015,0.631,18045,0.644,
262,sat_UR-20_d,3205,0.930,4561,1.038,5242,1.040,
263,sat_UR-20,12207,0.818,16131,0.950,17500,0.950,
264,sat_UR-20_p,12115,0.609,16406,0.686,18287,0.710,
265,sat_UTI_d,230,1.017,446,1.137,701,1.173,
266,sat_UTI,648,0.816,1297,0.875,2059,0.901,
267,sat_UTI_p,907,0.617,1731,0.662,2511,0.674,
268,sat_2.0_d,1588,3.023,2582,3.410,2383,3.341,
269,sat_2.0,79035,2.159,151137,2.737,177821,3.284,
270,sat_2.0_p,121914,2.715,232102,4.362,258452,4.918,
271,sat_4.0-9_d,635,2.047,2179,2.600,3631,2.828,
272,sat_4.0-9,77390,2.062,130868,3.268,181601,3.467,
273,sat_4.0-9_p,74749,2.424,193355,4.214,290911,4.406,
