id,dataset,part2_cut,part2_time,part3_cut,part3_time,part4_cut,part4_time,
388,mri1,505,0.127,794,0.141,931,0.149,
389,msc,1236,0.121,1884,0.179,2784,0.200,
390,msdoor,2114,0.819,3892,0.842,4858,0.852,
391,mult_dcop,11221,0.118,14901,0.189,16651,0.182,
392,nasasrb,730,0.126,1490,0.150,2448,0.165,
393,nd12k,12385,2.387,16463,3.601,19332,3.735,
394,net100,15002,1.497,16558,2.562,17671,2.011,
395,nopoly,62,0.042,115,0.060,136,0.063,
396,actors,12082,1.574,17063,2.872,22075,2.755,
397,www,6,0.248,480,0.350,2179,0.359,
398,obstclae,408,0.072,698,0.090,787,0.093,
399,olafu,816,0.078,1076,0.118,1518,0.118,
400,opt1,1672,0.146,3029,0.223,3598,0.237,
401,Oregon,414,0.086,772,0.134,966,0.126,
402,p2p,3776,0.124,4353,0.145,4525,0.155,
403,para,7717,0.426,12478,0.553,14966,0.578,
404,parabolic,1112,0.604,2418,0.624,3486,0.632,
405,Pd,0,0.021,0,0.025,0,0.028,
406,pdb,2406,0.267,3669,0.413,4539,0.419,
407,pds,1633,0.458,3532,0.619,5110,0.678,
408,pesa,79,0.044,150,0.062,196,0.071,
409,PGP,384,0.058,611,0.096,639,0.094,
410,pkustk,3264,0.238,6006,0.289,6774,0.298,
411,poisson3D,4746,0.377,7692,0.618,9821,0.699,
412,poli3,106,0.044,145,0.059,163,0.060,
413,powersim,9,0.047,21,0.059,55,0.063,
414,pre2,3542,0.903,7581,1.040,10463,1.070,
415,Pres,506,0.074,1084,0.113,1486,0.131,
416,psse2,98,0.046,206,0.062,294,0.061,
417,qa8fk,846,0.182,6077,0.332,6674,0.399,
418,rajat,27,0.092,107,0.123,163,0.131,
419,Reuters,7808,0.643,9310,0.661,9535,0.742,
420,RFdevice,2034,0.155,3430,0.228,4011,0.248,
421,rgg,938,0.316,1575,0.335,1862,0.344,
422,rim,436,0.078,603,0.123,849,0.137,
423,rma,483,0.120,781,0.144,1068,0.150,
424,Rucci,35223,0.961,54336,1.086,75804,1.114,
425,s4dkt,1350,0.155,2652,0.171,3432,0.182,
426,scfxm,991,0.080,1356,0.096,1531,0.103,
427,scircuit,45,0.203,253,0.226,289,0.241,
428,shallow,777,0.103,1233,0.122,1525,0.125,
429,sherman,5547,0.109,8364,0.175,9405,0.171,
430,ship,1164,0.271,2274,0.345,4119,0.368,
431,shock,248,0.072,490,0.091,626,0.101,
432,shyy,160,0.097,160,0.114,681,0.125,
433,skirt,12,0.047,46,0.073,104,0.090,
434,sme3D,498,0.185,2415,0.296,4074,0.332,
435,soc-sign,3907,1.145,16864,2.185,19063,1.734,
436,sparsine,18630,1.954,25499,2.780,29309,2.740,
437,spmsrtls,6,0.045,12,0.054,18,0.055,
438,std1_Jac3,1688,0.446,3055,0.703,3906,0.893,
439,stokes,789,0.082,1384,0.106,1715,0.120,
440,ted_A,84,0.051,168,0.079,309,0.082,
441,TF16,5423,0.466,9022,0.643,10572,0.692,
442,thermal,304,0.102,543,0.117,857,0.127,
443,therm,314,0.122,693,0.138,943,0.151,
444,tmt,2270,1.042,3660,1.055,4509,1.060,
445,tomogra,2159,0.213,3480,0.320,4770,0.350,
446,torso,7374,0.428,9598,0.536,13702,0.557,
447,Trec,2996,2.052,3119,2.935,3092,2.711,
448,Trefe,16348,0.939,18370,0.847,18792,1.156,
449,TSOPF,8667,0.302,11427,0.520,12684,0.493,
450,us04,82,0.135,111,0.173,112,0.185,
451,usroads,95,0.135,251,0.151,315,0.160,
452,venkat,652,0.095,1320,0.111,1616,0.120,
453,vibro,2530,0.211,4042,0.340,5137,0.355,
454,plastic,1619,0.127,2729,0.277,3413,0.317,
455,rocks,432,0.078,888,0.101,1264,0.118,
456,wave3D,316,0.096,764,0.182,1346,0.216,
457,wathen120,644,0.067,1193,0.089,1353,0.101,
458,water,4797,0.183,5953,0.313,8688,0.320,
459,wang4,1740,0.114,2778,0.180,3260,0.211,
460,xenon,3758,0.242,7362,0.290,9048,0.312,
461,Zhao,730,0.099,1397,0.144,1774,0.174,
462,G67,0,0.042,390,0.061,404,0.065,
463,af101,1820,0.705,3860,0.719,5875,0.733,
464,eco1,2078,1.134,3499,1.148,4253,1.156,
465,ibm18,2146,0.430,3124,0.648,3397,0.661,
466,ibm17,2788,0.452,4749,0.697,6592,0.761,
467,web1M,795,1.131,1912,1.217,2653,1.480,
468,nl120,88850,8.538,150959,8.974,171148,9.161,
469,sat_p,361821,12.722,1146490,21.044,1653299,22.102,
470,wbedu,13168,9.398,49733,11.138,64233,11.065,
471,Stanf,77,0.884,385,1.088,563,1.082,
472,gene2,11753,7.115,13357,10.303,13542,12.571,
473,Hamr3,1750,1.594,5649,1.636,5270,1.656,
474,StocF,5941,2.988,22479,2.463,12720,2.483,
475,lang,20153,1.059,27866,1.375,34724,1.455,
476,kron,37983,5.425,42056,7.037,43467,6.905,
477,case39,10905,0.223,14719,0.312,16312,0.341,
478,dac9,2329,1.302,4632,1.501,5128,1.573,
479,dac12,5986,2.075,8944,2.419,10991,2.492,
480,dac19,1434,0.754,3062,0.942,5392,1.031,
481,tran4,55604,0.732,74996,1.102,84040,1.084,
482,Cheb4,1044,0.307,4862,0.374,6220,0.392,
483,sat_d,5715,24.860,9669,26.980,15684,27.915,
484,HV15R,63914,15.790,141211,16.416,176018,16.582,
485,gupta2,18540,0.588,35857,0.881,41065,1.036,
486,ASIC,329315,1.156,453011,1.612,510859,1.552,
487,ASIC320k,155777,0.817,213334,1.140,240555,1.194,
488,wiki-Talk,905,23.521,9847,29.215,15519,26.911,
489,com-Youtube,113595,11.880,145183,16.451,167116,15.814,
490,Freescal,1015,4.424,1588,4.455,2325,4.481,
491,roadNet-CA,263,1.979,516,1.983,830,1.993,
492,delaunay23,6088,12.439,10398,12.529,12609,12.497,
493,coPapersDBLP,162037,6.039,214805,6.725,241413,7.264,
494,dc1,55604,0.736,74996,1.120,84040,1.087,
495,channel,29432,8.610,58799,8.761,89899,8.816,
496,as-Skitter,135079,9.908,167291,13.971,200405,13.181,
497,ASIC_100k,48852,0.344,66457,0.563,75564,0.554,
498,dc2,55604,0.740,74996,1.123,84040,1.068,
499,tran5,55604,0.742,74996,1.109,84040,1.065,
