id,dataset,bipart_cut2,bipart_time2,ghypart_cut2,ghypart_time2,bipart_cut3,bipart_time3,ghypart_cut3,ghypart_time3,bipart_cut4,bipart_time4,ghypart_cut4,ghypart_time4,hedges
337,finan,156,0.118,,,447,0.191,,,407,0.238,,,74752
338,flower,5118,0.073,,,9005,0.121,,,13238,0.141,,,27693
339,foldoc,7005,0.053,,,13113,0.07,,,16760,0.063,,,13356
340,Franz,23943,0.136,,,50199,0.191,,,54864,0.229,,,47104
341,G2,791,0.254,,,1517,0.406,,,2252,0.491,,,150102
342,g7jac,856,0.026,,,1772,0.038,,,2478,0.046,,,11790
343,garon,812,0.023,,,1262,0.036,,,2672,0.045,,,13535
344,gearbox,1723,0.484,,,5998,0.834,,,8514,0.953,,,153746
345,gemat,71,0.007,,,224,0.012,,,365,0.012,,,4929
346,graphics,558,0.021,,,1464,0.034,,,1518,0.039,,,29493
347,gyro,321,0.045,,,1095,0.073,,,1032,0.09,,,17361
348,H2O,13952,0.396,,,31399,0.6,,,41836,0.701,,,67024
349,HEP,4411,0.149,,,13602,0.151,,,15340,0.198,,,24541
350,HTC,1983,0.196,,,8955,0.313,,,16291,0.411,,,226340
351,hvdc1,113,0.023,,,285,0.036,,,504,0.047,,,24842
352,IG5,0,0.184,,,16423,0.4,,,17755,0.405,,,30162
353,Ill,1312,0.05,,,2424,0.076,,,3126,0.1,,,20896
354,interp,946,0.145,,,2264,0.249,,,2691,0.293,,,232485
355,IMDB,25333,2.12,,,81631,2.942,,,79112,3.264,,,303617
356,ibm01,317,0.019,,,841,0.028,,,987,0.036,,,14111
357,ibm02,401,0.033,,,960,0.049,,,1566,0.064,,,19584
358,ibm03,1430,0.043,,,2269,0.072,,,3561,0.085,,,27401
359,ibm04,597,0.058,,,1458,0.081,,,2418,0.109,,,31970
360,ibm05,2397,0.06,,,6193,0.102,,,6001,0.118,,,28446
361,ibm06,1104,0.058,,,2631,0.075,,,2759,0.104,,,34826
362,ibm07,1817,0.088,,,3059,0.122,,,3778,0.153,,,48117
363,ibm08,1303,0.086,,,2590,0.132,,,3664,0.171,,,50513
364,ibm09,1128,0.09,,,2770,0.168,,,3139,0.179,,,60902
365,ibm10,2004,0.11,,,4130,0.176,,,5297,0.225,,,75196
366,ibm11,1267,0.16,,,2530,0.233,,,4341,0.301,,,81454
367,ibm12,2389,0.163,,,4772,0.286,,,5959,0.334,,,77240
368,ibm13,1444,0.146,,,3676,0.266,,,3514,0.295,,,99666
369,ibm14,3457,0.246,,,5639,0.427,,,7322,0.483,,,152772
370,ibm15,3981,0.338,,,10250,0.532,,,8367,0.616,,,186608
371,ibm16,3167,0.448,,,5735,0.691,,,7655,0.84,,,190048
372,kim1,1254,0.074,,,2568,0.128,,,2734,0.164,,,38415
373,kkt,15505,5.113,,,56341,8.172,,,39907,9.618,,,2063494
374,duct3D,3505,0.279,,,7693,0.448,,,12806,0.557,,,67173
375,lhr14,174,0.018,,,570,0.028,,,372,0.034,,,14270
376,li,3463,0.145,,,8936,0.223,,,13569,0.254,,,22695
377,tissue,626,0.05,,,1190,0.076,,,1388,0.099,,,29282
378,Lin,6960,0.489,,,12394,0.865,,,16583,1.027,,,256000
379,lp_nug,12825,0.074,,,24958,0.116,,,33175,0.116,,,15240
380,lp_pds,1113,0.072,,,2893,0.109,,,4387,0.147,,,33798
381,lung,28,0.089,,,120,0.143,,,124,0.177,,,109460
382,m14b,2039,0.76,,,6335,1.134,,,9771,1.477,,,214765
383,mac,402,0.519,,,1333,0.79,,,1616,1.033,,,206500
384,Maragal,2510,0.15,,,4544,0.166,,,6410,0.163,,,21251
385,mc2depi,1820,0.695,,,3012,1.122,,,4336,1.325,,,525825
386,mixtank,4108,0.183,,,14506,0.25,,,13149,0.318,,,29957
387,mono,11031,0.666,,,24923,1.094,,,31284,1.375,,,169410
388,mri1,561,0.172,,,1248,0.268,,,1300,0.325,,,65536
389,msc,1785,0.048,,,3729,0.073,,,5133,0.089,,,10848
390,msdoor,2128,1.066,,,4739,1.577,,,6006,2.099,,,415863
391,mult_dcop,11865,0.108,,,19655,0.145,,,25103,0.168,,,25187
392,nasasrb,934,0.164,,,3176,0.276,,,5381,0.331,,,54870
393,nd12k,12667,0.776,,,26531,1.105,,,38423,1.252,,,36000
394,net100,10294,0.135,,,33496,0.149,,,32082,0.203,,,29920
395,nopoly,72,0.012,,,229,0.019,,,210,0.023,,,10774
396,actors,12372,0.555,,,26343,0.843,,,28826,0.929,,,383640
397,www,13,0.205,,,796,0.311,,,732,1.258,,,137941
398,obstclae,420,0.038,,,1229,0.068,,,1382,0.088,,,40000
399,olafu,947,0.045,,,2461,0.069,,,3467,0.087,,,16146
400,opt1,1980,0.064,,,5568,0.1,,,5828,0.119,,,15449
401,Oregon,482,0.012,,,835,0.022,,,1561,0.033,,,11174
402,p2p,3664,0.035,,,6898,0.032,,,9142,0.043,,,6221
403,para,11045,0.643,,,17812,1.036,,,25524,1.177,,,153226
404,parabolic,1374,0.9,,,3320,1.446,,,5684,1.747,,,525825
405,Pd,0,0.033,,,0,0.056,,,0,0.053,,,4371
406,pdb,2940,0.169,,,5243,0.264,,,7004,0.33,,,36417
407,pds,1192,0.417,,,4420,0.673,,,5110,0.801,,,142596
408,pesa,109,0.015,,,404,0.023,,,322,0.028,,,11738
409,PGP,440,0.015,,,1208,0.02,,,1206,0.022,,,10680
410,pkustk,3114,0.267,,,6780,0.427,,,13812,0.521,,,87804
411,poisson3D,5245,0.376,,,11716,0.546,,,16729,0.72,,,85623
412,poli3,108,0.009,,,321,0.015,,,462,0.018,,,16955
413,powersim,56,0.009,,,197,0.014,,,320,0.017,,,15838
414,pre2,4721,1.423,,,9389,2.097,,,15645,2.747,,,659033
415,Pres,646,0.045,,,2028,0.068,,,1970,0.087,,,14822
416,psse2,150,0.023,,,380,0.036,,,506,0.045,,,28634
417,qa8fk,968,0.226,,,5067,0.338,,,8425,0.44,,,66127
418,rajat,40,0.075,,,241,0.089,,,327,0.132,,,51032
419,Reuters,5574,0.052,,,11782,0.062,,,14611,0.083,,,13314
420,RFdevice,2118,0.18,,,3641,0.286,,,5690,0.362,,,74104
421,rgg,1294,0.449,,,3400,0.723,,,2846,0.882,,,262141
422,rim,544,0.049,,,2111,0.082,,,1817,0.1,,,22560
423,rma,534,0.116,,,2081,0.201,,,2549,0.24,,,46835
424,Rucci,56507,4.285,,,113110,6.666,,,118625,8.063,,,1977885
425,s4dkt,1458,0.189,,,3363,0.307,,,5793,0.376,,,90449
426,scfxm,991,0.037,,,1892,0.064,,,2039,0.074,,,37980
427,scircuit,64,0.203,,,476,0.325,,,1289,0.404,,,170998
428,shallow,794,0.109,,,1753,0.179,,,2119,0.219,,,81920
429,sherman,6374,0.059,,,10609,0.085,,,17945,0.079,,,18510
430,ship,1584,0.189,,,5496,0.3,,,7977,0.361,,,34920
431,shock,407,0.082,,,1206,0.128,,,1581,0.153,,,36476
432,shyy,339,0.075,,,906,0.118,,,1083,0.148,,,76480
433,skirt,60,0.021,,,172,0.034,,,110,0.04,,,12598
434,sme3D,1068,0.157,,,7236,0.225,,,7308,0.295,,,29067
435,soc-sign,1405,0.171,,,13977,0.37,,,14383,0.923,,,95318
436,sparsine,20498,0.32,,,37476,0.512,,,50099,0.496,,,50000
437,spmsrtls,120,0.023,,,1261,0.037,,,348,0.045,,,29995
438,std1_Jac3,1449,0.061,,,5618,0.095,,,3930,0.133,,,21982
439,stokes,976,0.08,,,1699,0.133,,,3155,0.168,,,49666
440,ted_A,138,0.018,,,812,0.025,,,600,0.035,,,10605
441,TF16,5575,0.043,,,12302,0.087,,,17679,0.1,,,15437
442,thermal,354,0.13,,,1351,0.196,,,1842,0.258,,,82654
443,therm,927,0.182,,,828,0.294,,,2105,0.352,,,102158
444,tmt,2414,1.629,,,9638,2.706,,,7389,3.245,,,917825
445,tomogra,3514,0.175,,,6015,0.268,,,8159,0.306,,,45908
446,torso,7994,0.579,,,12568,0.872,,,18104,1.163,,,259156
447,Trec,3079,0.193,,,5558,0.216,,,8432,0.217,,,3159
448,Trefe,17375,0.095,,,36293,0.078,,,47650,0.107,,,20000
449,TSOPF,14083,4.513,,,24955,4.516,,,27200,4.563,,,30798
450,us04,91,0.014,,,170,0.017,,,276,0.073,,,163
451,usroads,244,0.134,,,412,0.216,,,792,0.263,,,129164
452,venkat,888,0.113,,,1860,0.181,,,2496,0.224,,,62424
453,vibro,2933,0.043,,,7292,0.068,,,8742,0.073,,,12328
454,plastic,1773,0.062,,,4201,0.103,,,5742,0.135,,,32769
455,rocks,482,0.076,,,2796,0.118,,,3048,0.143,,,37762
456,wave3D,769,0.053,,,1467,0.083,,,2401,0.103,,,21036
457,wathen120,929,0.058,,,1791,0.091,,,2726,0.116,,,36441
458,water,4670,0.21,,,7363,0.324,,,9952,0.367,,,60740
459,wang4,2003,0.058,,,4169,0.089,,,5656,0.108,,,26068
460,xenon,4213,0.341,,,11295,0.52,,,12555,0.658,,,157464
461,Zhao,728,0.058,,,1606,0.089,,,2425,0.117,,,33861
462,G67,0,0.011,,,475,0.017,,,477,0.019,,,10000
463,af101,4405,1.549,,,6835,2.345,,,11110,2.753,,,503625
464,eco1,2899,1.405,,,4304,2.179,,,7675,2.699,,,1000000
465,ibm18,2385,0.343,,,4392,0.554,,,5836,0.662,,,201920
466,ibm17,3080,0.374,,,7592,0.575,,,8568,0.715,,,189581
467,web1M,624,0.52,,,3603,0.87,,,3556,0.996,,,1000005
468,nl120,98010,12.292,,,178681,18.415,,,225383,24.933,,,3542400
469,sat_p,350004,38.969,,,1512276,110.815,,,1946154,82.353,,,13378010
470,wbedu,13853,14.734,,,58006,22.764,,,81358,59.272,,,6920306
471,Stanf,216,0.406,,,498,0.629,,,2926,0.727,,,261588
472,gene2,12687,12.316,,,25627,13.112,,,37915,12.805,,,14340
473,Hamr3,2573,1.993,,,8465,3.318,,,18279,3.891,,,1447360
474,StocF,7992,4.325,,,34392,7.039,,,24001,9.61,,,1465137
475,lang,21286,0.685,,,35180,0.982,,,48239,1.114,,,399130
476,kron,17055,0.481,,,40373,0.743,,,56913,0.871,,,55321
477,case39,12734,0.177,,,22176,0.232,,,33363,0.228,,,40216
478,dac9,4504,1.803,,,6140,2.552,,,10528,3.354,,,833808
479,dac12,9848,2.587,,,16430,4.242,,,21318,4.772,,,1293436
480,dac19,3082,0.886,,,38428,1.567,,,12421,1.741,,,511685
481,tran4,55401,1.174,,,120772,1.325,,,93931,1.948,,,116835
482,Cheb4,1426,1.455,,,5673,1.57,,,3268,1.643,,,68121
483,sat_d,15394,39.237,,,23366,43.748,,,32498,47.094,,,521147
484,HV15R,70635,28.631,,,259469,45.61,,,293552,55.771,,,2017169
485,gupta2,34403,0.348,,,52391,0.495,,,64257,0.526,,,62064
486,ASIC,341886,21.35,,,657895,21.87,,,640654,29.943,,,682862
487,ASIC320k,174996,21.043,,,300203,16.781,,,361491,24.011,,,321821
488,wiki-Talk,8705,2.064,,,12769,54.644,,,18161,101.307,,,147602
489,com-Youtube,83205,4.613,,,176457,8.609,,,223109,22.633,,,1134890
490,Freescal,2881,4.289,,,3932,7.005,,,4853,8.35,,,3428755
491,roadNet-CA,573,2.714,,,1250,4.426,,,1728,5.289,,,1965206
492,delaunay23,9123,17.368,,,15780,28.669,,,21647,34.476,,,8388608
493,coPapersDBLP,205244,3.333,,,397934,5.82,,,561979,5.745,,,540486
494,dc1,55401,1.165,,,120772,1.328,,,93931,1.934,,,116835
495,channel,28343,20.216,,,112361,33.095,,,95837,39.963,,,4802000
496,as-Skitter,178517,9.556,,,350915,13.318,,,369261,17.638,,,1696415
497,ASIC_100k,50699,0.817,,,84464,0.997,,,105272,1.386,,,99340
498,dc2,55401,1.168,,,120772,1.329,,,93931,1.941,,,116835
499,tran5,55401,1.17,,,120772,1.331,,,93931,1.938,,,116835
