id,dataset,k=2,k=3,k=4,
392,nasasrb,0.196,0.299,0.363,
393,nd12k,0.452,0.629,0.708,
394,net100,0.118,0.145,0.163,
395,nopoly,0.015,0.023,0.028,
396,actors,0.552,0.846,0.93,
397,www,0.205,0.313,1.257,
398,obstclae,0.071,0.113,0.135,
399,olafu,0.044,0.073,0.084,
400,opt1,0.065,0.099,0.121,
401,Oregon,0.016,0.028,0.039,
402,p2p,0.031,0.033,0.048,
403,para,0.513,0.868,0.98,
404,parabolic,0.854,1.422,1.687,
405,Pd,0.033,0.057,0.053,
406,pdb,0.171,0.261,0.331,
407,pds,0.389,0.591,0.771,
408,pesa,0.017,0.025,0.036,
409,PGP,0.011,0.019,0.018,
410,pkustk,0.238,0.373,0.469,
411,poisson3D,0.334,0.478,0.65,
412,poli3,0.008,0.013,0.015,
413,powersim,0.01,0.015,0.019,
414,pre2,1.255,1.884,2.352,
415,Pres,0.038,0.058,0.073,
416,psse2,0.021,0.032,0.04,
417,qa8fk,0.223,0.337,0.439,
418,rajat,0.075,0.089,0.132,
419,Reuters,0.045,0.073,0.072,
420,RFdevice,0.146,0.24,0.295,
421,rgg,0.497,0.769,0.954,
422,rim,0.049,0.082,0.1,
423,rma,0.115,0.2,0.227,
424,Rucci,4.522,7.108,8.257,
425,s4dkt,0.313,0.417,0.479,
426,scfxm,0.038,0.061,0.073,
427,scircuit,0.225,0.366,0.447,
428,shallow,0.109,0.179,0.221,
429,sherman,0.056,0.064,0.073,
430,ship,0.164,0.256,0.312,
431,shock,0.083,0.129,0.155,
432,shyy,0.098,0.165,0.207,
433,skirt,0.021,0.034,0.04,
434,sme3D,0.141,0.23,0.25,
435,soc-sign,1.092,0.393,1.935,
436,sparsine,0.272,0.367,0.419,
437,spmsrtls,0.03,0.047,0.056,
438,std1_Jac3,0.071,0.101,0.107,
439,stokes,0.079,0.12,0.16,
440,ted_A,0.016,0.026,0.031,
441,TF16,0.07,0.101,0.111,
442,thermal,0.131,0.211,0.261,
443,therm,0.182,0.293,0.352,
444,tmt,1.632,2.717,3.251,
445,tomogra,0.117,0.212,0.221,
446,torso,0.698,1.117,1.359,
447,Trec,0.114,0.147,0.14,
448,Trefe,0.081,0.08,0.087,
449,TSOPF,0.079,0.128,0.107,
450,us04,0.018,0.055,0.116,
451,usroads,0.133,0.217,0.261,
452,venkat,0.109,0.171,0.215,
453,vibro,0.052,0.059,0.079,
454,plastic,0.067,0.115,0.133,
455,rocks,0.071,0.115,0.145,
456,wave3D,0.053,0.083,0.103,
457,wathen120,0.058,0.091,0.116,
458,water,0.209,0.324,0.367,
459,wang4,0.06,0.087,0.11,
460,xenon,0.35,0.547,0.702,
461,Zhao,0.075,0.112,0.128,
462,G67,0.011,0.02,0.021,
463,af101,2.346,3.26,3.61,
464,eco1,2.101,3.252,3.921,
465,ibm18,0.343,0.549,0.699,
466,ibm17,0.372,0.58,0.713,
467,web1M,0.519,0.87,0.992,
468,nl120,13.614,22.846,28.086,
469,sat_p,19.463,33.567,41.778,
470,wbedu,16.415,19.817,57.218,
471,Stanf,0.34,0.555,0.681,
472,gene2,0.784,0.871,0.801,
473,Hamr3,1.908,3.062,3.68,
474,StocF,4.313,7.025,9.615,
475,lang,0.746,1.069,1.119,
476,kron,0.689,0.965,1.114,
477,case39,0.152,0.157,0.185,
478,dac9,1.192,1.751,2.235,
479,dac12,2.087,3.524,4.045,
480,dac19,0.729,1.072,1.361,
481,tran4,0.264,0.792,1.155,
482,Cheb4,0.546,0.621,0.653,
483,sat_d,17.322,23.571,55.13,
484,HV15R,18.782,30.976,38.837,
485,gupta2,0.231,0.323,0.396,
486,ASIC,24.971,18.617,32.856,
487,ASIC320k,3.493,4.751,6.292,
488,wiki-Talk,2.107,53.904,106.383,
489,com-Youtube,4.608,8.617,22.215,
490,Freescal,4.363,7.174,8.464,
491,roadNet-CA,2.641,4.008,5.149,
492,delaunay23,17.17,27.09,34.063,
493,coPapersDBLP,2.833,8.021,4.234,
494,dc1,0.267,0.792,1.156,
495,channel,16.069,26.387,32.786,
496,as-Skitter,7.687,18.141,12.381,
497,ASIC_100k,0.811,0.993,1.358,
498,dc2,0.267,0.795,1.152,
499,tran5,0.268,0.791,1.154,
