,matching,node merging,construction,total,matching %,merging %,construction %,others %,# of HEs,# of pins,avgHEdegree,nodemerging in remaining,nodemerging in coarsen,matching in remaining,coarsen %,Refine %,partition %,refine %,balance %,project %,edge cut,1-matching-merging-const-refine
sat_d,0.237292,0.344216,48.1281,49.0915,0.00483367,0.00701173,0.980376,0.00777868,521147,39203144,75.2247,0.357302,0.589693,0.246313,0.992266,0.00770564,2.80E-05,0.00130949,0.00639255,3.60E-06,edgecut:116709,7.296E-05
HV15R,0.093528,0.0856868,0.122773,0.444154,0.210576,0.192921,0.27642,0.320084,2017169,283073458,140.332,0.26662,0.460904,0.291019,0.694991,0.300197,0.004812,0.276052,0.0239035,0.000241574,edgecut:144273,0.019886
gupta2,0.00963293,0.0162316,0.0298126,0.0713665,0.134978,0.22744,0.417739,0.219843,62064,4248286,68.4501,0.390615,0.619353,0.231817,0.78496,0.202564,0.0124755,0.180194,0.0220047,0.000365437,edgecut:18901,0.017279
ASIC,0.285916,0.334041,62.3139,63.7585,0.00448435,0.00523916,0.977342,0.0129345,682862,3871773,5.66992,0.231227,0.538418,0.197915,0.987073,0.0127884,0.000138998,0.00263954,0.0101483,5.30E-07,edgecut:349787,0.00014609
ASIC320k,0.105052,0.107175,15.3402,15.6566,0.00670976,0.00684535,0.979797,0.00664794,321821,2635364,8.18891,0.338828,0.504339,0.332116,0.99337,0.00655981,7.03E-05,0.000654031,0.00590451,1.27E-06,edgecut:193362,8.808E-05
wiki-Talk,0.0737347,0.113115,2.00785,2.35848,0.0312637,0.047961,0.851334,0.069441,147602,5021410,34.0199,0.32261,0.603532,0.210295,0.930802,0.0687798,0.000418603,0.00503814,0.0637196,2.21E-05,edgecut:15309,0.0006615
com-Youtube,0.0248196,0.0368983,0.491767,0.884472,0.0280615,0.0417179,0.556001,0.37422,1134890,5975248,5.26505,0.0939593,0.590965,0.0632016,0.626593,0.367348,0.0060581,0.0180562,0.349224,6.85E-05,edgecut:83205,0.0068716
Freescal,0.00291962,0.00564166,0.0180706,0.0459463,0.0635441,0.122788,0.393299,0.420368,3428755,18920347,5.51814,0.202387,0.54949,0.104737,0.616758,0.363287,0.0199552,0.188396,0.170192,0.00469906,edgecut:2810,0.0570819
roadNet-CA,0.00125763,0.00271062,0.00999779,0.0247777,0.0507567,0.109398,0.4035,0.436345,1965206,5533214,2.81559,0.1834,0.508469,0.0850908,0.618652,0.345703,0.035645,0.259936,0.080333,0.00543457,edgecut:866,0.0906423
delaunay23,0.0107733,0.0168268,0.0774736,0.126938,0.0848705,0.132559,0.610325,0.172245,8388608,50331568,5.99999,0.34018,0.532981,0.217798,0.859039,0.133518,0.00744319,0.121029,0.0105556,0.00193354,edgecut:9679,0.0387275
coPapersDBLP,0.00930061,0.0105524,0.0191754,0.0830133,0.112038,0.127117,0.230992,0.529853,540486,30491458,56.4149,0.1653,0.502879,0.145691,0.483771,0.457275,0.0589546,0.132724,0.324026,0.000524639,edgecut:194369,0.072578
dc1,0.0562467,0.0588251,5.0093,5.13871,0.0109457,0.0114474,0.974816,0.00279049,116835,766396,6.55964,0.454559,0.510282,0.434636,0.99725,0.0023376,0.000412464,0.000443455,0.00189075,3.39E-06,edgecut:70442,0.0004533
channel,0.0315714,0.0160102,0.140437,0.252697,0.124937,0.0633574,0.55575,0.255955,4802000,85362744,17.7765,0.142616,0.304135,0.281232,0.76407,0.230505,0.00542504,0.213259,0.0166142,0.000632155,edgecut:58886,0.0254506
as-Skitter,0.0431738,0.0654502,0.489282,0.730576,0.0590955,0.0895871,0.66972,0.181597,1696415,22190596,13.0809,0.271246,0.596008,0.178926,0.820032,0.174698,0.00526953,0.0236056,0.151017,7.53E-05,edgecut:224486,0.0068994
ASIC_100k,0.0502919,0.0462253,3.60519,3.75154,0.0134057,0.0123217,0.960988,0.0132852,99340,954163,9.60502,0.315839,0.47791,0.343625,0.98677,0.0130051,0.000225008,0.000819537,0.0121804,5.15E-06,edgecut:50699,0.0002795
dc2,0.0563297,0.0587822,5.00572,5.13627,0.0109671,0.0114445,0.974584,0.00300451,116835,766396,6.55964,0.450287,0.509766,0.431501,0.997034,0.00254248,0.000423014,0.000599906,0.00193959,2.98E-06,edgecut:70442,0.00046192
tran5,0.0563061,0.0588303,5.00862,5.13962,0.0109553,0.0114464,0.974511,0.00308713,116835,766396,6.55964,0.449077,0.510025,0.429808,0.996954,0.00261117,0.000434816,0.000524453,0.00208238,4.35E-06,edgecut:70442,0.00047613
Mean,,,,,,,,,,,,,,,,,,,,,,
