,matching,node merging,construction,total,matching %,merging %,construction %,others %,# of HEs,# of pins,avgHEdegree,nodemerging in remaining,nodemerging in coarsen,matching in remaining,coarsen %,Refine %,partition %,refine %,balance %,project %,edge cut,1-matching-merging-const-refine
qa8fk,0.0006072,0.00067088,0.00272134,0.0101112,0.0600524,0.0663504,0.269142,0.604455,66127,1660579,25.112,0.0907843,0.33746,0.0821671,0.46576,0.449967,0.0842727,0.421604,0.0218341,0.00652902,edgecut:968,0.1544882
rajat,0.00222093,0.00276605,0.0059255,0.0320797,0.0692317,0.0862244,0.184712,0.659832,51032,249302,4.88521,0.105759,0.510718,0.0849169,0.353542,0.620475,0.0259833,0.175266,0.443975,0.00123393,edgecut:40,0.0393569
Reuters,0.00128736,0.0019391,0.00254458,0.0142583,0.0902884,0.135998,0.178463,0.595251,13314,296076,22.2379,0.165541,0.563227,0.109902,0.419925,0.522023,0.0580512,0.101806,0.418783,0.00143411,edgecut:5794,0.0732276
RFdevice,0.000846048,0.00142029,0.00179747,0.0117072,0.0722675,0.121318,0.153536,0.652879,74104,365580,4.93334,0.143323,0.511979,0.0853758,0.390494,0.538438,0.0710676,0.349371,0.185175,0.00389232,edgecut:2157,0.1144405
rgg,0.0005872,0.000870688,0.00275382,0.0124062,0.0473312,0.0701817,0.221971,0.660516,262141,3094566,11.805,0.0902045,0.411137,0.0608347,0.392673,0.540037,0.0672902,0.325293,0.210155,0.00458867,edgecut:1584,0.1204791
rim,0.000232864,0.000315392,0.00039456,0.0038032,0.0612284,0.0829281,0.103744,0.752099,22560,1014951,44.989,0.0925272,0.400618,0.0683158,0.310745,0.4739,0.215355,0.410711,0.0575599,0.00562894,edgecut:544,0.2781995
rma,0.000470848,0.00057456,0.000789664,0.00660864,0.0712473,0.0869407,0.11949,0.722322,46835,2374001,50.6886,0.098739,0.381599,0.080916,0.347322,0.530854,0.121824,0.406203,0.118192,0.00645942,edgecut:1190,0.191468
Rucci,0.00724822,0.00281526,0.0387175,0.0717158,0.101069,0.0392559,0.539874,0.319801,1977885,7791168,3.93914,0.0853155,0.242502,0.219655,0.701752,0.277301,0.0209467,0.181313,0.0948875,0.00110079,edgecut:61355,0.0425001
s4dkt,0.00100333,0.00089008,0.00279229,0.0123348,0.0813412,0.07216,0.226375,0.620124,90449,3753461,41.4981,0.0932751,0.327764,0.105143,0.446533,0.487206,0.0662606,0.464628,0.0166812,0.0058968,edgecut:5430,0.1329178
scfxm,0.000176928,0.000271712,0.000361696,0.010393,0.0170237,0.0261437,0.0348018,0.922031,37980,221388,5.82907,0.0270863,0.35313,0.0176375,0.108836,0.815251,0.0759125,0.298702,0.513917,0.00263254,edgecut:1105,0.1067798
scircuit,0.000654848,0.00107779,0.00153955,0.0112485,0.0582164,0.0958164,0.136867,0.7091,170998,958936,5.60788,0.11101,0.468729,0.0674478,0.341285,0.587572,0.0711433,0.362501,0.219819,0.00525154,edgecut:213,0.1215282
