id,dataset,k=2,k=3,k=4,
465,ibm18,0.113,0.23,0.542,
466,ibm17,0.163,0.233,0.538,
467,web1M,0.21,0.396,0.547,
468,nl120,4.523,8.003,10.514,
469,sat_p,9.669,16.165,25.767,
470,wbedu,7.374,8.486,28.976,
471,Stanf,0.083,0.215,0.315,
472,gene2,0.122,0.25,0.162,
473,Hamr3,0.697,1.192,1.547,
474,StocF,1.231,2.189,4.116,
475,lang,0.631,0.885,0.946,
476,kron,1.013,1.532,1.627,
477,case39,0.189,0.134,0.224,
478,dac9,0.392,0.66,0.89,
479,dac12,0.68,1.308,1.816,
480,dac19,0.329,0.449,0.636,
481,tran4,0.28,0.45,1.09,
482,Cheb4,0.162,0.181,0.215,
483,sat_d,4.577,7.344,25.158,
484,HV15R,3.541,6.74,9.855,
485,gupta2,0.094,0.264,0.305,
486,ASIC,11.55,9.513,15.903,
487,ASIC320k,2.106,3.199,4.206,
488,wiki-Talk,1.237,29.233,58.38,
489,com-Youtube,2.956,4.47,14.635,
490,Freescal,1.367,2.561,3.264,
491,roadNet-CA,0.767,1.321,1.802,
492,delaunay23,4.647,8.26,10.944,
493,coPapersDBLP,1.15,10.232,1.802,
494,dc1,0.275,0.449,1.062,
495,channel,5.015,8.969,11.689,
496,as-Skitter,2.877,9.84,5.263,
497,ASIC_100k,0.866,1.19,1.473,
498,dc2,0.275,0.451,1.09,
499,tran5,0.273,0.451,1.091,
