id,dataset,k=2,k=3,k=4,
299,c-61,0.086,0.112,0.109,
300,c-64,0.149,0.206,0.259,
301,CondMat,0.076,0.103,0.108,
302,cage10,0.075,0.101,0.124,
303,ccc,0.073,0.089,0.137,
304,cfd,0.068,0.104,0.113,
305,Chem97Zt,0.033,0.039,0.047,
306,circuit,0.038,0.077,0.048,
307,ckt,0.072,0.083,0.079,
308,cnr,0.149,0.174,0.190,
309,conf5_4,0.058,0.091,0.098,
310,copter,0.054,0.096,0.087,
311,coupled,0.068,0.075,0.066,
312,crash,0.088,0.089,0.094,
313,cryg,0.029,0.034,0.037,
314,crystk,0.033,0.054,0.056,
315,d_pretok,0.119,0.136,0.144,
316,dac11,0.574,0.607,0.623,
317,dac14,0.368,0.428,0.442,
318,dac16,0.446,0.491,0.485,
319,dac2,0.651,0.716,0.734,
320,dac3,0.610,0.706,0.712,
321,dac6,0.655,0.732,0.738,
322,dac7,0.930,0.999,1.008,
323,delta,0.080,0.111,0.121,
324,denormal,0.050,0.068,0.060,
325,dict,0.070,0.105,0.105,
326,diel,0.712,0.759,0.775,
327,cova2,0.053,0.078,0.075,
328,ecl32,0.081,0.114,0.120,
329,Emilia,1.057,1.109,1.140,
330,epb1,0.050,0.031,0.028,
331,ESOC,0.950,1.825,1.559,
332,Eternity,0.202,0.264,0.278,
333,ex19,0.048,0.058,0.066,
334,F2,0.113,0.137,0.144,
335,fd18,0.054,0.032,0.039,
336,fem,0.090,0.122,0.129,
337,finan,0.067,0.079,0.076,
338,flower,0.124,0.166,0.169,
339,foldoc,0.061,0.073,0.092,
340,Franz,0.273,0.296,0.402,
341,G2,0.107,0.114,0.111,
342,g7jac,0.033,0.064,0.063,
343,garon,0.038,0.053,0.054,
344,gearbox,0.166,0.181,0.183,
345,gemat,0.033,0.027,0.029,
346,graphics,0.049,0.053,0.062,
347,gyro,0.027,0.037,0.045,
348,H2O,0.349,0.682,0.710,
349,HEP,0.122,0.233,0.221,
350,HTC,0.160,0.207,0.210,
351,hvdc1,0.057,0.040,0.039,
352,IG5,0.227,0.610,0.651,
353,Ill,0.073,0.080,0.090,
354,interp,0.081,0.091,0.092,
355,IMDB,1.492,2.210,2.265,
356,ibm01,0.047,0.054,0.076,
357,ibm02,0.050,0.065,0.082,
358,ibm03,0.062,0.078,0.094,
