id,dataset,bipart_cut2,bipart_time2,ghypart_cut2,ghypart_time2,bipart_cut3,bipart_time3,ghypart_cut3,ghypart_time3,bipart_cut4,bipart_time4,ghypart_cut4,ghypart_time4,hedges
61,sat_27_d,,,211,0.0107551,,,376,0.0124974,,,658,0.013021,0
62,sat_27,,,2852,0.015291,,,5126,0.0191892,,,5606,0.022192,0
63,sat_27_p,,,3226,0.0106863,,,4874,0.014272,,,5643,0.0208103,0
64,sat_enc1_opt1_05_d,,,828,0.0156849,,,1368,0.0198148,,,2014,0.026219,0
65,sat_enc1_opt1_05,,,3645,0.022096,,,6393,0.038921,,,8362,0.0673533,0
66,sat_enc1_opt1_05_p,,,2918,0.0204135,,,4815,0.0400097,,,5081,0.0468266,0
67,sat_enc1_opt1_10_d,,,451,0.00984666,,,803,0.0162169,,,1149,0.0201405,0
68,sat_enc1_opt1_10,,,1854,0.0147094,,,3189,0.0292108,,,3150,0.0338992,0
69,sat_enc1_opt1_10_p,,,2326,0.0138873,,,5024,0.0197753,,,4422,0.0248589,0
70,sat_enc1_opt1_15_d,,,730,0.0135711,,,1402,0.0310033,,,1578,0.0393545,0
71,sat_enc1_opt1_15,,,2235,0.0250414,,,4033,0.045919,,,3554,0.0700268,0
72,sat_enc1_opt1_15_p,,,2927,0.0265313,,,3700,0.0413757,,,4840,0.0578038,0
73,sat_enc1_opt2_4_d,,,548,0.013485,,,1072,0.0167197,,,1726,0.0207045,0
74,sat_enc1_opt2_4,,,357,0.0124253,,,774,0.0241037,,,978,0.0311768,0
75,sat_enc1_opt2_4_p,,,495,0.0121424,,,1252,0.0214762,,,1498,0.0289414,0
76,sat_enc1_opt2_12_d,,,370,0.00793263,,,802,0.0124452,,,1261,0.0173264,0
77,sat_enc1_opt2_12,,,382,0.0122589,,,729,0.0175661,,,817,0.0258201,0
78,sat_enc1_opt2_12_p,,,789,0.00934146,,,1698,0.0159887,,,3127,0.0225271,0
79,sat_enc1_opt2_16_d,,,398,0.00914475,,,899,0.0125618,,,1415,0.0164568,0
80,sat_enc1_opt2_16,,,424,0.011297,,,801,0.0180115,,,770,0.0208348,0
81,sat_enc1_opt2_16_p,,,706,0.00997404,,,1181,0.0167203,,,1741,0.0252947,0
82,sat_enc2_opt1_05_d,,,705,0.0133798,,,1321,0.0263572,,,1720,0.0294195,0
83,sat_enc2_opt1_05,,,1440,0.0166498,,,2880,0.0271342,,,4143,0.039725,0
84,sat_enc2_opt1_05_p,,,2037,0.0188021,,,4270,0.0340711,,,7318,0.0443267,0
85,sat_enc2_opt1_15_d,,,674,0.0121416,,,1215,0.0208892,,,1581,0.0251677,0
86,sat_enc2_opt1_15,,,1488,0.0190457,,,2980,0.0288872,,,5491,0.0416108,0
87,sat_enc2_opt1_15_p,,,2208,0.02261,,,3818,0.0387697,,,6603,0.0493211,0
88,sat_enc3_opt1_50_d,,,3958,0.0783875,,,6375,0.118765,,,7744,0.165627,0
89,sat_enc3_opt1_50,,,17953,0.32814,,,54965,0.491877,,,54888,0.630647,0
90,sat_enc3_opt1_50_p,,,1740,0.11543,,,4085,0.212706,,,12289,0.280513,0
91,sat_enc3_opt2_21_d,,,3230,0.0646388,,,3573,0.0874048,,,6588,0.13426,0
92,sat_enc3_opt2_21,,,908,0.0941364,,,2684,0.161851,,,6226,0.226938,0
93,sat_enc3_opt2_21_p,,,4304,0.105549,,,5249,0.194353,,,18197,0.251042,0
94,sat_enc3_opt2_12_d,,,2428,0.0584695,,,4042,0.0974658,,,4815,0.120009,0
95,sat_enc3_opt2_12,,,1425,0.0788451,,,4409,0.145485,,,4806,0.197168,0
96,sat_enc3_opt2_12_p,,,4867,0.0921867,,,11972,0.165129,,,12913,0.220872,0
97,sat_enc3_opt2_14_d,,,3491,0.058518,,,4129,0.102403,,,6585,0.109172,0
98,sat_enc3_opt2_14,,,1884,0.0816789,,,7393,0.141325,,,7469,0.206105,0
99,sat_enc3_opt2_14_p,,,7359,0.0889461,,,10940,0.166593,,,10849,0.211643,0
100,sat_blocks_d,,,1521,0.0766723,,,11578,0.119576,,,10110,0.169697,0
101,sat_blocks,,,19987,0.220171,,,43348,0.392174,,,51139,0.500048,0
102,sat_blocks_p,,,21169,0.260106,,,73094,0.441555,,,71747,0.586042,0
103,sat_bob-opt_d,,,89,0.011976,,,260,0.0192061,,,276,0.0235095,0
104,sat_bob-opt,,,300,0.0119729,,,1728,0.0175689,,,5455,0.0307368,0
105,sat_bob-opt_p,,,433,0.012,,,5669,0.0238017,,,2862,0.0264662,0
106,sat_bob_d,,,222,0.0122231,,,891,0.0165381,,,879,0.0224747,0
107,sat_bob,,,1919,0.00845744,,,4582,0.0217226,,,5037,0.0365045,0
108,sat_bob_p,,,2039,0.00966991,,,4705,0.0165977,,,5107,0.0232883,0
109,sat_c10_d,,,1496,0.015331,,,1736,0.0323104,,,3333,0.0337187,0
110,sat_c10,,,6731,0.0160321,,,14196,0.0343561,,,16012,0.0373696,0
111,sat_c10_p,,,7909,0.019998,,,13741,0.0337283,,,19766,0.0393057,0
112,sat_count_d,,,117,0.0187652,,,373,0.015775,,,400,0.0248215,0
113,sat_count,,,329,0.0121744,,,949,0.0141499,,,1012,0.0252514,0
114,sat_count_p,,,424,0.00921506,,,726,0.00970064,,,1074,0.0180575,0
115,sat_ctl_d,,,982,0.00878572,,,2285,0.0276124,,,2510,0.0232688,0
116,sat_ctl,,,0,0.00612884,,,2758,0.0124389,,,3990,0.0139511,0
117,sat_ctl_p,,,0,0.00833161,,,16116,0.0133645,,,17492,0.0154357,0
118,sat_ctl_5_d,,,2985,0.00712626,,,10628,0.116541,,,10703,0.0272066,0
119,sat_ctl_5,,,5096,0.0128123,,,14165,0.0231602,,,11505,0.0323622,0
120,sat_ctl_5_p,,,4950,0.00966213,,,9677,0.0158591,,,13548,0.020647,0
121,sat_dated_11_d,,,3526,0.0144314,,,7779,0.0441102,,,8222,0.0434682,0
122,sat_dated_11,,,10089,0.0187366,,,16021,0.0354784,,,18184,0.047005,0
123,sat_dated_11_p,,,8158,0.0157707,,,15720,0.0245405,,,14404,0.0399873,0
124,sat_dated_17_d,,,6684,0.0172689,,,10969,0.030467,,,13883,0.0732821,0
125,sat_dated_17,,,16829,0.0279131,,,25032,0.0509384,,,27074,0.0569102,0
126,sat_dated_17_p,,,15439,0.0251252,,,25817,0.048172,,,32133,0.0512568,0
127,sat_E02F20_d,,,384,0.0165691,,,710,0.0256886,,,1302,0.55104,0
128,sat_E02F20,,,190,0.00997478,,,5073,0.0240039,,,9403,0.0310788,0
129,sat_E02F20_p,,,211,0.0288301,,,8671,0.0423734,,,10641,0.0539905,0
130,sat_E02F22_d,,,486,0.0420181,,,956,0.0789961,,,1343,1.55638,0
131,sat_E02F22,,,231,0.0229116,,,6956,0.0525765,,,14437,0.0721343,0
132,sat_E02F22_p,,,367,0.0612492,,,9142,0.0972666,,,19540,0.149026,0
133,sat_gss-18_d,,,249,0.0106454,,,410,0.0132951,,,547,0.0187544,0
134,sat_gss-18,,,1253,0.0111914,,,3481,0.0219441,,,2989,0.0201305,0
135,sat_gss-18_p,,,1454,0.00922599,,,2170,0.0140203,,,3132,0.0182843,0
136,sat_gss-19_d,,,186,0.0106346,,,389,0.0143191,,,610,0.0197541,0
137,sat_gss-19,,,1450,0.0132558,,,2323,0.0180173,,,3376,0.0259831,0
138,sat_gss-19_p,,,1642,0.0110665,,,2565,0.0150043,,,3242,0.0214145,0
139,sat_gss-20_d,,,311,0.00985943,,,456,0.0160039,,,642,0.0193797,0
140,sat_gss-20,,,1622,0.0103003,,,3056,0.0135258,,,3127,0.0247992,0
141,sat_gss-20_p,,,1475,0.00952697,,,2590,0.0159672,,,3027,0.0217263,0
142,sat_gss-22_d,,,276,0.00944973,,,514,0.0139705,,,616,0.0171036,0
143,sat_gss-22,,,1515,0.0107631,,,3209,0.0161425,,,3517,0.0215143,0
144,sat_gss-22_p,,,1774,0.0108617,,,3729,0.01309,,,3614,0.0174713,0
145,sat_k45_d,,,183,0.0255523,,,945,0.0336028,,,1094,0.0465398,0
146,sat_k45,,,356,0.0131666,,,1052,0.0209299,,,1508,0.035989,0
147,sat_k45_p,,,558,0.010092,,,1496,0.0219957,,,2726,0.0348805,0
148,sat_itox_d,,,81,0.021486,,,588,0.0320062,,,576,0.0428735,0
149,sat_itox,,,31,0.0182329,,,2098,0.0350542,,,4431,0.0420069,0
150,sat_itox_p,,,149,0.0168426,,,3414,0.0338494,,,2734,0.0719683,0
151,sat_k2fix_d,,,3442,0.00993932,,,7528,0.0147491,,,9021,0.0208541,0
152,sat_k2fix,,,0,0.00850818,,,40,0.019806,,,197,0.0243954,0
153,sat_k2fix_p,,,1665,0.0186095,,,3941,0.0242492,,,8398,0.0440578,0
154,sat_manol_c10_i_d,,,1360,0.0182888,,,2176,0.0310323,,,3528,0.0393317,0
155,sat_manol_c10_i,,,7236,0.0278232,,,15281,0.0522459,,,18853,0.0621679,0
156,sat_manol_c10_i_p,,,7620,0.0209039,,,20282,0.0327348,,,18495,0.0429571,0
157,sat_manol_c10_d,,,3645,0.0249633,,,4140,0.0407855,,,7469,0.0522659,0
158,sat_manol_c10,,,9628,0.0380339,,,22497,0.0650843,,,27383,0.0944173,0
159,sat_manol_c10_p,,,12314,0.0380853,,,27919,0.0643747,,,27745,0.0740449,0
160,sat_manol_c8_d,,,1576,0.0198829,,,2585,0.0279596,,,5378,0.0443986,0
161,sat_manol_c8,,,9976,0.0291456,,,19720,0.0497355,,,22671,0.0745235,0
162,sat_manol_c8_p,,,8266,0.0244848,,,15345,0.0439737,,,19189,0.0623197,0
163,sat_manol_g10_i_d,,,1609,0.022016,,,3869,0.0327503,,,4498,0.0459425,0
164,sat_manol_g10_i,,,8782,0.0329664,,,13288,0.0564001,,,16148,0.0704495,0
165,sat_manol_g10_i_p,,,7748,0.0260009,,,14911,0.0402542,,,17773,0.0651795,0
166,sat_MD5-28-1_d,,,739,0.0109383,,,1102,0.0129821,,,1680,0.0155984,0
167,sat_MD5-28-1,,,4322,0.013754,,,7832,0.0226351,,,9228,0.0281455,0
168,sat_MD5-28-1_p,,,4181,0.0103791,,,7006,0.0125219,,,9621,0.0192854,0
169,sat_MD5-28-2_d,,,614,0.0118233,,,1158,0.0140443,,,1657,0.0187133,0
170,sat_MD5-28-2,,,4843,0.0136548,,,8296,0.0218502,,,9670,0.0285908,0
171,sat_MD5-28-2_p,,,4254,0.00933049,,,7505,0.0145482,,,9296,0.0167291,0
172,sat_MD5-28-4_d,,,618,0.0113626,,,1036,0.0161893,,,1636,0.0172977,0
173,sat_MD5-28-4,,,4315,0.00827085,,,8119,0.0147129,,,10459,0.0198384,0
174,sat_MD5-28-4_p,,,4027,0.0121023,,,9645,0.018503,,,9698,0.0233565,0
175,sat_MD5-29-4_d,,,670,0.01144,,,1520,0.0137892,,,1674,0.0177805,0
176,sat_MD5-29-4,,,4285,0.00774301,,,9219,0.0147974,,,9926,0.0193144,0
177,sat_MD5-29-4_p,,,4721,0.0110384,,,7591,0.0152153,,,10837,0.0194789,0
178,sat_MD5-30-4_d,,,632,0.0124404,,,1390,0.0114478,,,1729,0.0167499,0
179,sat_MD5-30-4,,,4667,0.00828331,,,7605,0.0139663,,,11323,0.0210941,0
180,sat_MD5-30-4_p,,,4654,0.0101041,,,7898,0.0135121,,,11082,0.0241508,0
181,sat_MD5-30-5_d,,,721,0.00957225,,,1464,0.013916,,,1764,0.0176378,0
182,sat_MD5-30-5,,,4620,0.00725501,,,8782,0.0165116,,,10224,0.019255,0
183,sat_MD5-30-5_p,,,4647,0.0103085,,,8984,0.0175161,,,10374,0.0196228,0
184,sat_min_d,,,1924,0.0172664,,,5812,0.0369748,,,11328,0.055248,0
185,sat_min,,,4034,0.0262191,,,29754,0.0503844,,,42510,0.0833876,0
186,sat_min_p,,,3444,0.0232104,,,39994,0.0434736,,,49670,0.059091,0
187,sat_p30_d,,,833,0.019762,,,12293,0.0433474,,,4513,0.0623814,0
188,sat_p30,,,5381,0.0453528,,,9764,0.0773005,,,27232,0.110669,0
189,sat_p30_p,,,4284,0.0217004,,,26003,0.0457167,,,17238,0.0575097,0
190,sat_p30_NOT_d,,,1840,0.0121273,,,3624,0.0211888,,,3923,0.0261127,0
191,sat_p30_NOT,,,3873,0.0173809,,,7811,0.0372366,,,11735,0.0502304,0
192,sat_p30_NOT_p,,,4350,0.0103794,,,14313,0.0161933,,,13563,0.0273496,0
193,sat_non_p30_d,,,833,0.0196793,,,12293,0.0426489,,,4513,0.0640639,0
194,sat_non_p30,,,5381,0.045244,,,9764,0.0775657,,,27232,0.133143,0
195,sat_non_p30_p,,,4284,0.0225308,,,26003,0.0463643,,,17238,0.060646,0
196,sat_post_d,,,821,0.0260338,,,1029,0.0484435,,,1955,0.0622698,0
197,sat_post,,,5235,0.0409111,,,5657,0.0862543,,,9382,0.0894124,0
198,sat_post_p,,,1983,0.032789,,,7849,0.0657868,,,10492,0.0818541,0
199,sat_post-ee_d,,,349,0.0253955,,,724,0.0396919,,,1084,0.0462823,0
200,sat_post-ee,,,4820,0.0281014,,,4577,0.0450807,,,6462,0.0756253,0
201,sat_post-ee_p,,,2470,0.0205364,,,2900,0.0318569,,,5491,0.0465553,0
202,sat_L100_d,,,500,0.0283722,,,2286,0.0490276,,,2791,0.0431108,0
203,sat_L100,,,63207,0.079635,,,156916,0.15203,,,254924,0.182805,0
204,sat_L100_p,,,76911,0.0599576,,,162373,0.127118,,,181528,0.145625,0
205,sat_L150_d,,,2142,0.118473,,,2888,0.130936,,,4947,0.138998,0
206,sat_L150,,,121874,0.0655935,,,222885,0.142002,,,291730,0.354705,0
207,sat_L150_p,,,148523,0.0668384,,,281789,0.150493,,,352429,0.195564,0
208,sat_L200_d,,,625,0.118298,,,3954,0.138986,,,4574,0.151125,0
209,sat_L200,,,231057,0.120442,,,308544,0.38817,,,400511,0.27476,0
210,sat_L200_p,,,145077,0.0829273,,,318292,0.134849,,,414424,0.264975,0
211,sat_L80_d,,,465,0.0495796,,,2018,0.0602852,,,2407,0.0702005,0
212,sat_L80,,,84188,0.168315,,,108946,0.15386,,,162996,0.256619,0
213,sat_L80_p,,,61474,0.0501338,,,124833,0.067527,,,143099,0.12496,0
214,sat_k100_1d,,,675,0.050193,,,2413,0.086158,,,8480,0.116686,0
215,sat_k100_1,,,4274,0.0875466,,,4908,0.165344,,,10524,0.212098,0
216,sat_k100_1p,,,2390,0.0696464,,,4806,0.133408,,,4788,0.178284,0
217,sat_k100_2d,,,725,0.0458003,,,3241,0.107258,,,4004,0.241095,0
218,sat_k100_2,,,3663,0.113725,,,9557,0.212417,,,14020,0.26684,0
219,sat_k100_2p,,,2003,0.409861,,,9007,0.178193,,,14435,0.548485,0
220,sat_k70_d,,,753,0.0369629,,,2327,0.0756721,,,4711,0.0840948,0
221,sat_k70,,,5316,0.121912,,,9738,0.122332,,,13687,0.251733,0
222,sat_k70_p,,,1238,0.0515857,,,4777,0.0895254,,,5976,0.202063,0
223,sat_k75_d,,,1289,0.0365137,,,2166,0.0619326,,,3119,0.0918756,0
224,sat_k75,,,2013,0.067335,,,6658,0.129982,,,8054,0.168207,0
225,sat_k75_p,,,1755,0.0737042,,,7916,0.14497,,,16022,0.281099,0
226,sat_k80_d,,,736,0.0337787,,,3923,0.0636423,,,2581,0.0894678,0
227,sat_k80,,,3137,0.0851579,,,5584,0.159506,,,8426,0.215146,0
228,sat_k80_p,,,1186,0.0530519,,,3584,0.109893,,,7022,0.140962,0
229,sat_k85_2d,,,1461,0.0436384,,,4313,0.0740861,,,4171,0.227676,0
230,sat_k85_2,,,3421,0.0938402,,,7102,0.175277,,,21290,0.228789,0
231,sat_k85_2p,,,1182,0.0602726,,,2385,0.112332,,,4733,0.149437,0
232,sat_k85_3d,,,1063,0.0430801,,,5476,0.0797068,,,6029,0.110188,0
233,sat_k85_3,,,3421,0.0910636,,,7106,0.173412,,,21290,0.232012,0
234,sat_k85_3p,,,1182,0.0582401,,,2385,0.115201,,,4733,0.151741,0
235,sat_k90_d,,,669,0.044916,,,3184,0.0782596,,,6614,0.265722,0
236,sat_k90,,,1548,0.0767139,,,3739,0.146155,,,15431,0.197659,0
237,sat_k90_p,,,1205,0.0980422,,,3557,0.122065,,,4835,0.195344,0
238,sat_k95_d,,,708,0.0486211,,,2857,0.0797948,,,5451,0.26769,0
239,sat_k95,,,3956,0.31459,,,4418,0.180902,,,15760,0.458111,0
240,sat_k95_p,,,1240,0.0657096,,,3549,0.128345,,,3624,0.169195,0
241,sat_slp_d,,,1211,0.0181554,,,3595,0.0323155,,,4284,0.0389789,0
242,sat_slp,,,3912,0.024299,,,9631,0.0409019,,,18074,0.0586041,0
243,sat_slp_p,,,3736,0.0214111,,,10672,0.0372542,,,17518,0.0469425,0
244,sat_030_d,,,370,0.0307683,,,1029,0.0463251,,,1876,0.0653711,0
245,sat_030,,,14025,0.0576021,,,27727,0.132368,,,46071,0.151518,0
246,sat_030_p,,,14340,0.0422061,,,52198,0.0661648,,,49097,0.111638,0
247,sat_050_d,,,740,0.0448563,,,2099,0.0712656,,,1726,0.0886542,0
248,sat_050,,,13197,0.0785695,,,53825,0.160996,,,55293,0.204788,0
249,sat_050_p,,,13684,0.0652153,,,51061,0.107278,,,61631,0.158993,0
250,sat_UCG-10p0_d,,,1257,0.0141188,,,5259,0.0259393,,,4862,0.0511387,0
251,sat_UCG-10p0,,,4135,0.0263917,,,15462,0.0466947,,,17846,0.0664915,0
252,sat_UCG-10p0_p,,,4959,0.0246408,,,16145,0.0425422,,,22203,0.0721167,0
253,sat_UCG-10p1_d,,,1880,0.0142548,,,6905,0.0412832,,,7129,0.029595,0
254,sat_UCG-10p1,,,4923,0.0250859,,,22109,0.0364595,,,21307,0.062648,0
255,sat_UCG-10p1_p,,,7742,0.0214366,,,21305,0.0410998,,,21658,0.0514453,0
256,sat_UCG-5p0_d,,,2314,0.020104,,,5974,0.0640122,,,6611,0.0561264,0
257,sat_UCG-5p0,,,10114,0.0332469,,,19242,0.0584789,,,22210,0.0698328,0
258,sat_UCG-5p0_p,,,9083,0.0297072,,,20459,0.0535975,,,23681,0.0851436,0
259,sat_UR-15_d,,,2968,0.0147176,,,5415,0.0240159,,,6987,0.0510573,0
260,sat_UR-15,,,11446,0.0265883,,,18380,0.0467856,,,22830,0.0582824,0
261,sat_UR-15_p,,,11461,0.0232632,,,22871,0.0585883,,,25838,0.0558428,0
262,sat_UR-20_d,,,3364,0.0150222,,,5180,0.022907,,,8261,0.0311708,0
263,sat_UR-20,,,13568,0.0333806,,,23275,0.0594437,,,27836,0.0878874,0
264,sat_UR-20_p,,,15164,0.02506,,,31724,0.0508729,,,34304,0.0669017,0
265,sat_UTI_d,,,360,0.0182108,,,1078,0.0271096,,,1903,0.0364466,0
266,sat_UTI,,,974,0.03126,,,3693,0.0669606,,,5888,0.0709668,0
267,sat_UTI_p,,,1935,0.0263969,,,3155,0.0453144,,,5082,0.0829335,0
268,sat_2.0_d,,,2376,0.0370991,,,3705,0.0637638,,,6121,0.0672292,0
269,sat_2.0,,,81775,0.0754648,,,279655,0.193475,,,322033,0.237604,0
270,sat_2.0_p,,,107679,0.144536,,,302520,0.204966,,,342687,0.312504,0
271,sat_4.0-9_d,,,1544,0.0451767,,,2386,0.0406009,,,7050,0.0703226,0
272,sat_4.0-9,,,99027,0.173445,,,218991,0.224247,,,219712,0.260746,0
273,sat_4.0-9_p,,,89605,0.104193,,,284477,0.158655,,,315023,0.175002,0
274,192bit,,,10184,0.0217157,,,21686,0.0188058,,,27783,0.0316288,0
275,2cubes,,,4200,0.014662,,,12484,0.0203245,,,14402,0.0258564,0
276,2D,,,1025,0.0109849,,,2235,0.0166668,,,2316,0.0212133,0
277,3D,,,7099,0.0301403,,,24031,0.0489485,,,24941,0.0749362,0
278,ABACUS,,,328,0.00884672,,,791,0.0148719,,,1069,0.017599,0
279,af23560,,,822,0.00812567,,,1360,0.0126867,,,2103,0.0149918,0
280,af_shell,,,4065,0.0238039,,,6550,0.0397211,,,8445,0.0554893,0
281,airfoil,,,407,0.00889275,,,833,0.0122616,,,1210,0.015754,0
282,Andrews,,,5971,0.00951715,,,12773,0.0261434,,,13631,0.0270104,0
283,appu,,,13869,0.013024,,,27898,0.0298697,,,42,0.0298697,0
284,as-22,,,920,0.00988265,,,1286,0.0141846,,,2628,0.0233971,0
285,astro,,,4174,0.0184165,,,8817,0.0234785,,,11735,0.0295506,0
286,atmos,,,19927,0.0635571,,,43428,0.108335,,,59732,0.11978,0
287,av41092,,,1820,0.0145023,,,2238,0.0283704,,,4182,0.0269494,0
288,barrier,,,8979,0.0157232,,,17490,0.0315876,,,22545,0.0350787,0
289,Baumann,,,2744,0.0112265,,,4318,0.0220744,,,6890,0.0334217,0
290,bayer04,,,127,0.0108886,,,209,0.0117131,,,263,0.0218172,0
291,bbmat,,,1185,0.00950974,,,2242,0.0150064,,,4400,0.0219736,0
292,bcsstk,,,540,0.0163205,,,1083,0.0172134,,,1823,0.0244468,0
293,Ben,,,2010,0.0178046,,,3648,0.0270948,,,6840,0.042389,0
294,bibd,,,1003,0.00701911,,,1825,0.0144793,,,2596,0.0155422,0
295,bips,,,75,0.00761819,,,388,0.0103229,,,326,0.0127461,0
296,bloweya,,,5038,0.0148607,,,8016,0.0257837,,,8742,0.0286059,0
297,bundle,,,1253,0.00848627,,,2766,0.0122506,,,4598,0.0182107,0
298,c-55,,,4465,0.0132278,,,8387,0.018499,,,9438,0.0345559,0
299,c-61,,,2754,0.0159519,,,5022,0.0256993,,,5384,0.0280234,0
300,c-64,,,1194,0.0319159,,,7859,0.0461701,,,12347,0.0582229,0
301,CondMat,,,5157,0.0128255,,,10105,0.0146516,,,12714,0.0208058,0
302,cage10,,,2491,0.0112985,,,5405,0.0131377,,,6838,0.0184688,0
303,ccc,,,109,0.00858215,,,3192,0.0143846,,,7479,0.0228544,0
