dataset,BiPart,Policy,Mt-KaHyPar-SDet,gHyPart-B,gHyPart,best,self_speedup,mt_speedup,gHyPart-B_speedup,gHyPart_speedup,best_speedup
wbedu,11.545,RAND,9.493,0.163406,0.0944276,0.0944276,1,1.216187998,70.43757321,90.13053118,120.7840659
Stanf,0.173,RAND,0.899,0.36892,0.0338176,0.0338176,1,0.192334541,0.193736163,4.960559253,5.134384349
gene2,0.244,RAND,7.154,0.0548961,0.0181051,0.0181051,1,0.034105021,3.91238816,13.84538563,14.01855735
Hamr3,1.038,RAND,1.606,0.0313555,0.0282855,0.0281785,1,0.646384891,34.14406295,36.95475712,37.84591826
StocF,1.853,RAND,2.37,0.0513104,0.041494,0.041494,1,0.781826963,36.23868641,45.17506863,45.17506863
lang,1.061,RAND,1.067,0.127389,0.0430586,0.0430586,1,0.994302827,5.065575571,24.13003382,24.25774945
kron,1.798,RAND,5.468,0.142231,0.055722,0.055722,1,0.328842469,7.895730684,31.02808577,32.08434006
case39,0.351,RAND,0.231,0.169846,0.0215544,0.0213809,1,1.51760583,1.501186836,16.05099736,16.05099736
dac9,0.687,RAND,1.312,0.0744101,0.0377397,0.0377397,1,0.523476712,7.951775434,18.26423321,18.44745965
dac12,0.978,RAND,2.108,0.0763559,0.0464382,0.0440214,1,0.463892008,11.70398259,22.24977534,22.28399563
dac19,0.535,RAND,0.769,0.0918659,0.0415162,0.0415162,1,0.69563915,5.65125125,13.07930951,13.2525793
tran4,0.516,RAND,0.774,3.29096,0.0200961,0.0185942,1,0.666862864,0.099415261,25.54164625,27.39275154
Cheb4,0.276,RAND,0.31,1.30404,0.0144041,0.0144041,1,0.890899999,0.140726577,18.23587711,19.61244111
sat_d,8.146,RAND,25.197,13.665,0.435965,0.433107,1,0.323295971,0.162902081,19.0534554,19.0534554
HV15R,5.625,RAND,15.82,0.434584,0.309079,0.309079,1,0.355565375,12.86843767,18.3600329,18.46072051
gupta2,0.155,RAND,0.584,0.0587055,0.0211634,0.0211634,1,0.265502582,2.313149734,7.378211902,7.45049029
ASIC,26.063,RAND,1.151,41.3457,0.49969,0.49969,1,22.65085405,0.416963302,49.52786715,50.30292152
ASIC320k,3.398,RAND,0.826,10.4522,0.109578,0.109578,1,4.11153734,0.204664273,30.38567813,30.38567813
wiki-Talk,2.342,RAND,23.742,1.04315,0.176762,0.176762,1,0.09864463,0.964000231,12.85767618,13.36140255
com-Youtube,5.254,RAND,12.07,0.592037,0.225652,0.209766,1,0.435282433,5.874946607,26.011575,26.18829253
Freescal,1.829,RAND,4.463,0.0434918,0.0331787,0.0331787,1,0.409858883,41.02092538,55.14301306,55.14301306
roadNet-CA,1.066,RAND,1.993,0.02467,0.0234724,0.0231875,1,0.534822916,44.32027008,45.03724234,47.61224162
delaunay23,5.708,RAND,12.462,0.126665,0.0918125,0.0907229,1,0.458018775,46.05863034,63.40559587,63.45324381
coPapersDBLP,1.606,RAND,6.149,0.083724,0.0491662,0.0464451,1,0.261192699,19.35079644,33.51433019,35.29794454
dc1,0.519,RAND,0.737,3.22845,0.0199207,0.0181896,1,0.703731403,0.10181082,26.25906925,27.69166742
channel,6.708,RAND,8.625,0.257207,0.193272,0.186518,1,0.777760573,27.11212245,34.98451044,35.88125167
as-Skitter,5.032,RAND,10.057,0.529682,0.235074,0.189699,1,0.500337401,6.915678745,26.54358433,27.24742525
ASIC_100k,1.723,RAND,0.363,2.48827,0.0499175,0.0499175,1,4.751392619,0.679362826,32.08625859,33.98831023
dc2,0.523,RAND,0.767,3.26795,0.0195473,0.0195473,1,0.681642107,0.159172183,27.56185608,28.26583941
tran5,0.543,RAND,0.742,3.26713,0.0190423,0.0190423,1,0.732250484,0.16561341,27.95841765,28.49840189
Gmean,,,,,,,1,0.723760333,12.29647541,17.52046097,18.64917384
