dataset,BiPart,Policy,Mt-KaHyPar-SDet,gHyPart-B,gHyPart,best,self_speedup,mt_speedup,gHyPart-B_speedup,gHyPart_speedup,best_speedup
F2,0.125,RAND,0.32,0.0110383,0.00931696,0.0083771,1,0.390060696,11.07812292,14.61381532,16.02313484
fd18,0.14,RAND,0.055,0.0158304,0.0176262,0.0157285,1,2.543821366,8.561067932,7.920119933,9.285482149
fem,0.133,RAND,0.268,0.0107939,0.00979028,0.00978502,1,0.496051791,12.74593424,13.33844139,14.16560336
finan,0.089,RAND,0.112,0.00684141,0.00721391,0.00680462,1,0.79675064,12.5649424,11.18517625,12.5649424
flower,0.114,RAND,0.313,0.0107754,0.0118514,0.0107754,1,0.363982341,10.34276279,9.632690309,10.41324126
foldoc,0.183,RAND,0.179,0.0183689,0.0121995,0.0114202,1,1.022828841,10.33950879,13.6684468,15.8865199
Franz,0.339,RAND,1.009,0.013546,0.0132858,0.0127913,1,0.336068525,25.02971818,26.02926949,26.92720124
G2,0.395,RAND,0.204,0.0227361,0.0191457,0.0190802,1,1.940197113,15.61406768,19.81926834,20.4768249
g7jac,0.027,RAND,0.085,0.00485261,0.00521659,0.00485261,1,0.318804473,5.182769403,5.251906734,5.700315417
garon,0.02,RAND,0.057,0.00350458,0.00435373,0.00350361,1,0.349721566,5.414302421,4.989472214,5.597960103
gearbox,0.313,RAND,0.385,0.0163738,0.0143038,0.0143038,1,0.813594178,19.46335852,22.0932859,22.37808235
gemat,0.049,RAND,0.043,0.0208521,0.00776591,0.00710008,1,1.128320454,2.051221942,6.161661888,6.90690479
graphics,0.044,RAND,0.048,0.00765469,0.00863725,0.00765469,1,0.912347235,5.389937477,5.030963292,6.38272255
gyro,0.023,RAND,0.085,0.0039616,0.00385007,0.00375969,1,0.272105309,5.720340037,6.013574992,6.244824262
H2O,0.176,RAND,1.647,0.0109885,0.0131652,0.0103371,1,0.106861687,17.22518008,13.42783682,17.22518008
HEP,0.54,RAND,0.354,0.0264333,0.0123715,0.0113494,1,1.525967128,20.44726499,41.7030281,44.48728405
HTC,0.171,RAND,0.408,0.0577185,0.0189896,0.0189896,1,0.418664804,2.617897231,8.866213505,8.866213505
hvdc1,0.027,RAND,0.054,0.00525181,0.00532598,0.0047493,1,0.503140463,4.953737595,5.169838778,5.537371102
IG5,0.085,RAND,0.896,0.00561782,0.00488042,0.00488042,1,0.094907931,16.1605868,16.67225678,17.59222465
Ill,0.06,RAND,0.082,0.00700291,0.00649645,0.00634813,1,0.73113564,8.956039281,9.035913237,9.330171442
interp,0.173,RAND,0.144,0.0112902,0.0113378,0.0112902,1,1.198093997,15.84931243,14.70725756,15.84931243
IMDB,3.814,RAND,5.054,0.108325,0.0581968,0.0569456,1,0.754704113,35.38000575,68.38851274,68.38851274
ibm01,0.04,RAND,0.07,0.00710566,0.00889233,0.00595076,1,0.572905825,5.431970678,4.51682404,6.372704432
ibm02,0.095,RAND,0.122,0.011498,0.00911796,0.00869323,1,0.779359515,9.285323325,10.32371923,11.40287809
ibm03,0.062,RAND,0.117,0.00784781,0.00892005,0.0071548,1,0.529594677,6.643898811,7.063796335,8.181405513
ibm04,0.126,RAND,0.12,0.00755942,0.00866189,0.00755942,1,1.04966994,14.33925074,14.80612786,15.14102786
ibm05,0.094,RAND,0.173,0.0107303,0.0107993,0.0100774,1,0.542542172,8.273701073,7.860649089,9.296345745
ibm06,0.071,RAND,0.146,0.00742182,0.00875124,0.00668529,1,0.487690389,8.371348294,8.828034855,10.0526988
ibm07,0.086,RAND,0.161,0.00837555,0.010081,0.00837555,1,0.533752302,10.11932568,10.05436371,10.11932568
ibm08,0.1,RAND,0.203,0.0102907,0.010575,0.00963802,1,0.493691957,10.38678303,10.48412546,10.66290195
ibm09,0.09,RAND,0.152,0.00778912,0.00923351,0.00770961,1,0.591753221,12.40419482,9.45078347,12.40419482
ibm10,0.133,RAND,0.214,0.0108787,0.0133539,0.0108787,1,0.622031297,12.56910646,10.43751226,12.56910646
ibm11,0.135,RAND,0.195,0.0108887,0.0114656,0.0108887,1,0.693221358,11.99658764,12.04464549,12.05184974
ibm12,0.197,RAND,0.235,0.0136753,0.0104684,0.0104684,1,0.838992051,13.904083,16.0435211,18.44724743
ibm13,0.118,RAND,0.205,0.0088384,0.0128012,0.00881722,1,0.576721329,13.99367676,9.603724292,13.99367676
ibm14,0.243,RAND,0.354,0.0147643,0.0156985,0.0147643,1,0.686025691,16.28129795,16.90164356,16.99609719
ibm15,0.478,RAND,0.373,0.0162355,0.0167203,0.0162355,1,1.281990422,28.58116633,29.83956552,29.83956552
ibm16,0.276,RAND,0.401,0.0135573,0.0086515,0.00864834,1,0.688987756,20.28337939,31.71455066,32.58825099
kim1,0.05,RAND,0.08,0.00550765,0.00614861,0.00550765,1,0.623699353,8.908051097,8.072106513,9.278934036
kkt,4.279,RAND,4.035,0.0874269,0.0721533,0.0721533,1,1.060393055,49.72632509,60.35993082,61.30311014
duct3D,0.092,RAND,0.316,0.00685354,0.00722054,0.00625927,1,0.290794967,14.57474229,13.17823128,14.57474229
lhr14,0.013,RAND,0.056,0.00333293,0.00339932,0.00325794,1,0.232986785,4.014923161,3.716324384,4.147603642
li,0.066,RAND,0.33,0.00560547,0.00635993,0.00560547,1,0.199797988,11.3982944,10.11726834,11.86864645
tissue,0.041,RAND,0.058,0.00457898,0.00499923,0.0045765,1,0.711320326,8.659032638,7.973613175,8.659032638
Lin,0.425,RAND,0.43,0.0176433,0.0176964,0.0176433,1,0.987556287,23.01539595,24.182352,24.6794574
lp_nug,0.111,RAND,0.507,0.0105854,0.0103709,0.0100958,1,0.21900685,9.548222826,10.0861411,10.57918664
lp_pds,0.126,RAND,0.174,0.0111423,0.0204307,0.0111423,1,0.723415895,10.56107824,6.097472452,10.82818422
lung,0.052,RAND,0.109,0.0044048,0.00502891,0.0044048,1,0.477976361,11.71163258,10.45858902,11.71163258
m14b,0.405,RAND,0.403,0.0137146,0.0128736,0.0125188,1,1.00442992,28.64133971,33.72863853,33.73734849
