id,dataset,k=2,k=3,k=4,
229,sat_k85_2d,1.632,3.023,4.121,
230,sat_k85_2,2.918,4.996,6.875,
231,sat_k85_2p,2.333,4.273,5.612,
232,sat_k85_3d,1.613,2.989,4.074,
233,sat_k85_3,2.919,5.032,6.829,
234,sat_k85_3p,2.29,4.261,5.64,
235,sat_k90_d,1.73,3.259,4.347,
236,sat_k90,3.043,5.478,7.202,
237,sat_k90_p,2.508,4.577,6.269,
238,sat_k95_d,1.767,3.417,9.393,
239,sat_k95,3.254,5.591,8.633,
240,sat_k95_p,2.63,4.932,6.324,
241,sat_slp_d,0.25,0.51,0.619,
242,sat_slp,0.546,1.276,1.298,
243,sat_slp_p,0.899,0.79,1.805,
244,sat_030_d,0.938,1.396,2.037,
245,sat_030,2.437,5.809,5.267,
246,sat_030_p,3.116,4.436,6.772,
247,sat_050_d,1.134,2.016,3.997,
248,sat_050,3.311,7.227,9.112,
249,sat_050_p,2.352,5.389,6.432,
250,sat_UCG-10p0_d,0.41,1.049,1.335,
251,sat_UCG-10p0,0.879,1.446,1.874,
252,sat_UCG-10p0_p,1.007,1.569,1.943,
253,sat_UCG-10p1_d,0.38,0.867,1.526,
254,sat_UCG-10p1,0.836,1.249,1.859,
255,sat_UCG-10p1_p,0.835,1.59,1.787,
256,sat_UCG-5p0_d,0.452,0.76,1.461,
257,sat_UCG-5p0,1.126,1.805,2.172,
258,sat_UCG-5p0_p,1.189,1.804,2.224,
259,sat_UR-15_d,0.402,0.751,1.028,
260,sat_UR-15,1.025,2.101,2.098,
261,sat_UR-15_p,1.252,1.92,2.378,
262,sat_UR-20_d,0.46,0.871,1.34,
263,sat_UR-20,1.219,1.889,2.623,
264,sat_UR-20_p,1.287,2.254,2.483,
265,sat_UTI_d,0.625,1.09,1.545,
266,sat_UTI,0.87,1.551,2.134,
267,sat_UTI_p,0.885,1.463,2.142,
268,sat_2.0_d,0.769,1.525,3.911,
269,sat_2.0,4.432,9.265,10.638,
270,sat_2.0_p,3.575,6.449,7.77,
271,sat_4.0-9_d,0.713,1.127,7.115,
272,sat_4.0-9,3.985,6.692,6.392,
273,sat_4.0-9_p,4.27,5.881,8.33,
274,192bit,0.181,0.126,0.221,
275,2cubes,0.228,0.426,0.478,
276,2D,0.07,0.169,0.222,
277,3D,0.597,1.363,1.275,
278,ABACUS,0.044,0.093,0.105,
279,af23560,0.035,0.071,0.096,
280,af_shell,0.388,0.78,1.063,
281,airfoil,0.023,0.061,0.086,
282,Andrews,0.157,0.276,0.436,
283,appu,0.109,0.106,0.192,
284,as-22,0.095,0.135,0.255,
285,astro,0.28,0.199,0.429,
286,atmos,2.092,3.257,4.344,
287,av41092,0.156,0.266,0.286,
288,barrier,0.221,0.387,0.582,
289,Baumann,0.172,0.294,0.619,
290,bayer04,0.031,0.055,0.086,
291,bbmat,0.08,0.165,0.199,
292,bcsstk,0.025,0.067,0.116,
293,Ben,0.24,0.438,0.682,
294,bibd,0.012,0.06,0.047,
295,bips,0.038,0.065,0.081,
296,bloweya,0.174,0.292,0.31,
297,bundle,0.033,0.071,0.075,
298,c-55,0.185,0.306,0.399,
299,c-61,0.071,0.144,0.252,
300,c-64,0.113,0.218,0.614,
301,CondMat,0.259,0.358,0.355,
302,cage10,0.081,0.098,0.151,
303,ccc,0.073,0.181,0.244,
304,cfd,0.13,0.254,0.345,
305,Chem97Zt,0.004,0.02,0.016,
306,circuit,0.09,0.156,0.281,
307,ckt,0.101,0.191,0.259,
308,cnr,0.183,0.412,0.675,
309,conf5_4,0.098,0.173,0.23,
310,copter,0.033,0.055,0.123,
311,coupled,0.025,0.082,0.101,
312,crash,0.242,0.621,0.583,
313,cryg,0.021,0.062,0.068,
314,crystk,0.025,0.066,0.075,
315,d_pretok,0.239,0.441,0.748,
316,dac11,0.672,1.271,1.71,
317,dac14,0.493,1.364,1.602,
318,dac16,0.738,1.211,1.482,
319,dac2,1.01,1.812,2.239,
320,dac3,1.006,1.882,2.037,
321,dac6,0.925,1.654,2.687,
322,dac7,0.888,1.691,2.428,
323,delta,0.134,0.222,0.323,
324,denormal,0.135,0.219,0.316,
325,dict,0.12,0.5,0.662,
326,diel,0.838,1.719,2.42,
327,cova2,0.068,0.127,0.259,
328,ecl32,0.234,0.259,0.391,
329,Emilia,1.657,2.601,3.617,
330,epb1,0.024,0.046,0.096,
331,ESOC,1.003,4.184,1.61,
332,Eternity,0.064,0.698,1.708,
333,ex19,0.015,0.043,0.064,
334,F2,0.129,0.213,0.322,
335,fd18,0.142,0.174,0.199,
336,fem,0.14,0.248,0.348,
337,finan,0.093,0.158,0.228,
338,flower,0.115,0.394,0.425,
339,foldoc,0.177,0.254,0.328,
340,Franz,0.324,0.542,0.469,
