id,dataset,k=2,k=3,k=4,
467,web1M,1.138,1.205,1.463,
468,nl120,8.519,8.988,9.163,
469,sat_p,12.694,20.907,22.065,
470,wbedu,9.402,11.201,11.105,
471,Stanf,0.883,1.086,1.076,
472,gene2,7.108,10.287,12.540,
473,Hamr3,1.591,1.635,1.646,
474,StocF,2.321,2.445,2.475,
475,lang,1.063,1.365,1.461,
476,kron,5.433,7.031,6.881,
477,case39,0.229,0.311,0.348,
478,dac9,1.291,1.517,1.569,
479,dac12,2.072,2.403,2.473,
480,dac19,0.755,0.943,1.022,
481,tran4,0.741,1.121,1.069,
482,Cheb4,0.303,0.372,0.384,
483,sat_d,24.813,26.641,27.626,
484,HV15R,15.898,16.228,16.459,
485,gupta2,0.579,0.873,1.029,
486,ASIC,1.143,1.598,1.502,
487,ASIC320k,0.831,1.153,1.126,
488,wiki-Talk,23.319,28.980,26.733,
489,com-Youtube,11.779,16.301,15.725,
490,Freescal,4.367,4.418,4.464,
491,roadNet-CA,1.981,1.995,1.998,
492,delaunay23,12.445,12.471,12.476,
493,coPapersDBLP,5.994,6.703,7.271,
494,dc1,0.729,1.101,1.071,
495,channel,8.609,8.712,8.793,
496,as-Skitter,9.874,13.923,13.243,
497,ASIC_100k,0.355,0.576,0.559,
498,dc2,0.741,1.100,1.081,
499,tran5,0.732,1.115,1.077,
