id,dataset,part2_cut,part2_time,part3_cut,part3_time,part4_cut,part4_time,
467,web1M,1148.6,19.924,2975.6,42.437,3870.2,41.422,
468,nl120,0,41.422,0,41.422,0,41.422,
469,sat_p,segfault,123.185,segfault,504.18999999999994,segfault,1350.65,
470,wbedu,timeout,123.185,timeout,504.18999999999994,timeout,1350.65,
471,Stanf,2050.0,24.93,3372.8,41.688,4472.2,43.551,
472,gene2,timeout,123.185,19689.6,361.613,28214.0,335.599,
473,Hamr3,1298.8,121.239,timeout,504.18999999999994,3950.4,534.368,
474,StocF,timeout,123.185,timeout,504.18999999999994,10429.4,1169.851,
475,lang,13107.0,92.374,23424.4,135.189,28257.800000000003,167.095,
476,kron,11583.8,31.985,24890.6,97.126,37919.6,71.759,
477,case39,9198.2,11.841,12321.8,16.777,14355.599999999999,15.957,
478,dac9,4371.2,69.729,6454.4,122.73,5934.4,105.544,
479,dac12,timeout,123.185,10313.8,440.458,12738.0,679.733,
480,dac19,1121.0,36.698,2686.6000000000004,90.664,4314.4,85.446,
481,tran4,51753.0,23.79,70135.0,118.743,80731.0,47.838,
482,Cheb4,1092.0,12.745,3012.8,29.614,2248.0,24.603,
483,sat_d,0,24.603,0,24.603,0,24.603,
484,HV15R,0,24.603,0,24.603,0,24.603,
485,gupta2,18219.4,71.906,35680.0,204.226,44549.2,238.865,
486,ASIC,0,238.865,0,238.865,0,238.865,
487,ASIC320k,timeout,123.185,timeout,504.18999999999994,229148.8,241.903,
488,wiki-Talk,timeout,123.185,timeout,504.18999999999994,25833.199999999997,435.561,
489,com-Youtube,timeout,123.185,timeout,504.18999999999994,210907.8,1157.804,
490,Freescal,timeout,123.185,timeout,504.18999999999994,1846.2,1107.236,
491,roadNet-CA,timeout,123.185,429.0,339.296,794.8,348.315,
492,delaunay23,timeout,123.185,0,348.315,0,348.315,
493,coPapersDBLP,timeout,123.185,timeout,504.18999999999994,457769.99999999994,732.827,
494,dc1,51717.0,20.363,69946.0,157.561,80852.0,54.924,
495,channel,0,54.924,0,54.924,0,54.924,
496,as-Skitter,timeout,123.185,segfault,504.18999999999994,segfault,1350.65,
497,ASIC_100k,45379.0,31.498,61617.4,55.254,71471.6,52.676,
498,dc2,51691.6,32.104,70101.0,124.859,80868.40000000001,53.053,
499,tran5,51818.0,17.568,70218.8,133.524,80843.8,77.782,
