id,dataset,part2_cut,part2_time,part3_cut,part3_time,part4_cut,part4_time,
223,sat_k75_d,timeout,123.185,5668.799999999999,486.901,6410.0,458.818,
224,sat_k75,timeout,123.185,timeout,504.18999999999994,3809.6,1109.603,
225,sat_k75_p,timeout,123.185,timeout,504.18999999999994,4530.4,758.124,
226,sat_k80_d,timeout,123.185,5966.6,464.653,6374.0,503.864,
227,sat_k80,timeout,123.185,timeout,504.18999999999994,timeout,1350.65,
228,sat_k80_p,timeout,123.185,timeout,504.18999999999994,4130.2,769.87,
229,sat_k85_2d,timeout,123.185,6361.0,469.312,7105.0,556.231,
230,sat_k85_2,timeout,123.185,timeout,504.18999999999994,timeout,1350.65,
231,sat_k85_2p,timeout,123.185,timeout,504.18999999999994,4254.400000000001,895.643,
232,sat_k85_3d,timeout,123.185,timeout,504.18999999999994,7002.6,608.794,
233,sat_k85_3,timeout,123.185,timeout,504.18999999999994,timeout,1350.65,
234,sat_k85_3p,timeout,123.185,timeout,504.18999999999994,4318.0,880.398,
235,sat_k90_d,timeout,123.185,timeout,504.18999999999994,7341.8,543.519,
236,sat_k90,timeout,123.185,timeout,504.18999999999994,timeout,1350.65,
237,sat_k90_p,timeout,123.185,timeout,504.18999999999994,4247.4,1193.769,
238,sat_k95_d,timeout,123.185,timeout,504.18999999999994,7224.799999999999,699.511,
239,sat_k95,timeout,123.185,timeout,504.18999999999994,timeout,1350.65,
240,sat_k95_p,timeout,123.185,timeout,504.18999999999994,4115.6,936.747,
241,sat_slp_d,1052.6,15.95,2033.2,22.261,2732.8,35.002,
242,sat_slp,2557.0,18.489,3717.4,26.359,11261.4,51.927,
243,sat_slp_p,2933.6,9.192,4208.4,15.248,12222.8,20.071,
244,sat_030_d,timeout,123.185,6360.0,163.6,11413.8,280.416,
245,sat_030,13036.4,96.56,26074.8,191.669,39408.200000000004,155.463,
246,sat_030_p,13016.0,76.979,26032.0,122.547,39048.0,141.692,
247,sat_050_d,timeout,123.185,9467.6,370.061,23906.4,652.672,
248,sat_050,timeout,123.185,26032.4,272.825,39109.2,331.671,
249,sat_050_p,timeout,123.185,26032.0,258.787,39048.0,279.531,
250,sat_UCG-10p0_d,4640.4,38.067,7902.4,34.189,9813.0,62.236,
251,sat_UCG-10p0,3407.0,53.126,9520.6,71.262,10991.599999999999,106.071,
252,sat_UCG-10p0_p,3810.8,26.532,10473.4,54.229,11358.2,65.349,
253,sat_UCG-10p1_d,4626.8,43.796,7816.8,50.082,9292.0,66.298,
254,sat_UCG-10p1,3771.6,52.913,10694.4,79.927,12656.400000000001,102.959,
255,sat_UCG-10p1_p,4317.8,39.043,11013.2,56.705,12764.4,81.678,
256,sat_UCG-5p0_d,5304.8,50.655,8468.8,95.316,10246.2,78.258,
257,sat_UCG-5p0,7794.8,48.984,13846.6,122.265,17289.8,145.116,
258,sat_UCG-5p0_p,7266.6,49.064,12694.0,81.334,17686.0,77.937,
259,sat_UR-15_d,4946.6,40.904,8276.0,81.769,9545.2,85.4,
260,sat_UR-15,8580.8,101.748,13575.2,137.601,16896.600000000002,135.96,
261,sat_UR-15_p,8974.4,72.023,14451.0,102.556,18067.0,100.321,
262,sat_UR-20_d,5322.4,58.478,9033.8,86.426,10985.6,105.387,
263,sat_UR-20,11411.6,82.267,16941.4,135.048,20862.4,124.836,
264,sat_UR-20_p,11893.6,53.91,17307.8,92.191,22205.0,96.951,
265,sat_UTI_d,5797.8,63.878,9780.8,62.978,11550.8,86.053,
266,sat_UTI,659.8,55.679,1364.8000000000002,121.292,1941.0,125.319,
267,sat_UTI_p,827.0,39.2,1654.0,61.983,2481.0,73.769,
268,sat_2.0_d,timeout,123.185,timeout,504.18999999999994,33689.6,635.228,
269,sat_2.0,timeout,123.185,timeout,504.18999999999994,182861.0,825.239,
270,sat_2.0_p,timeout,123.185,241715.2,500.622,268007.39999999997,562.283,
271,sat_4.0-9_d,timeout,123.185,18523.8,156.493,31009.199999999997,366.637,
272,sat_4.0-9,timeout,123.185,123084.0,411.72,157952.8,521.959,
273,sat_4.0-9_p,70214.8,103.178,162129.4,157.294,294500.4,175.334,
274,192bit,7397.8,3.068,12079.0,6.559,15311.8,7.58,
275,2cubes,3704.4,45.829,8221.0,69.925,10784.2,83.314,
276,2D,466.0,3.582,872.5999999999999,5.882,1252.2,6.103,
277,3D,6348.0,83.199,12696.0,144.432,19044.0,170.611,
278,ABACUS,208.0,1.583,446.8,2.888,651.6,3.23,
279,af23560,608.0,1.901,1216.0,3.311,1824.0,3.91,
280,af_shell,1768.0,52.981,3771.0,85.063,4391.0,88.857,
281,airfoil,325.0,1.871,529.6,4.112,680.4,4.346,
282,Andrews,4025.0,11.695,6376.6,27.357,8534.4,28.939,
283,appu,13957.6,0.982,27913.0,5.872,41876.8,11.62,
284,as-22,1722.0,0.864,2507.0,2.377,3002.2,2.058,
285,astro,3688.4,7.881,6291.8,11.117,8130.200000000001,10.869,
286,atmos,timeout,123.185,timeout,504.18999999999994,32145.6,829.505,
287,av41092,919.6,5.7,1735.6,8.024,1919.2,10.407,
288,barrier,7203.8,52.329,11147.2,70.01,13624.400000000001,88.385,
289,Baumann,2222.0,11.218,3180.2,23.34,4289.0,27.086,
290,bayer04,77.4,0.523,131.6,1.238,206.4,1.212,
291,bbmat,1741.4,4.855,2072.0,15.145,3454.4,13.106,
292,bcsstk,1574.4,1.561,1894.8,1.843,2988.9999999999995,2.756,
293,Ben,219751.2,31.021,286037.4,56.425,262368.0,49.14,
294,bibd,1105.4,1.34,1650.1999999999998,2.688,2614.0,3.13,
295,bips,58.0,0.345,100.2,0.622,119.0,0.653,
296,bloweya,4504.4,0.819,6067.8,1.461,6988.2,1.491,
297,bundle,1335.4,1.986,1882.1999999999998,1.64,3695.3999999999996,2.657,
298,c-55,3535.8,7.435,5502.0,11.471,7151.4,16.461,
299,c-61,2161.2,5.112,3203.6,9.355,3940.0,9.128,
300,c-64,860.0,8.213,7774.6,13.84,9642.4,14.004,
301,CondMat,3937.4,9.151,6666.8,11.777,8993.2,13.236,
302,cage10,2230.8,2.335,3855.6,4.735,5296.2,5.181,
303,ccc,0.0,1.665,4708.2,6.189,4096.0,4.081,
304,cfd,1594.4,19.725,2392.3999999999996,27.273,3353.6,34.518,
305,Chem97Zt,162.0,0.211,207.39999999999998,0.529,309.6,0.515,
306,circuit,1871.2,1.272,3145.4,1.757,3579.6,1.84,
307,ckt,117.8,3.069,266.0,5.738,625.2,5.772,
308,cnr,timeout,123.185,2451.0,175.094,5369.4,218.558,
309,conf5_4,0.0,6.448,12288.0,9.911,12288.0,11.304,
310,copter,933.0,2.166,1724.6,4.1,2087.0,4.332,
311,coupled,1739.2,1.436,2379.6000000000004,2.482,3081.6,3.187,
312,crash,1758.4,11.43,2727.2,20.084,3352.0,26.111,
313,cryg,200.0,0.338,300.6,0.76,383.4,0.736,
314,crystk,10503.6,2.102,14536.8,2.251,20190.0,2.628,
315,d_pretok,2156.8,25.34,3942.0,44.674,5681.8,53.269,
316,dac11,1375.6,107.615,2578.0,203.76,3559.2,268.115,
317,dac14,timeout,123.185,6358.4,112.99,7980.999999999999,184.318,
318,dac16,7276.4,111.898,10729.8,144.991,12297.6,189.806,
319,dac2,timeout,123.185,4996.6,345.273,7512.8,372.677,
320,dac3,3098.6,87.507,6082.2,181.751,9306.6,199.379,
321,dac6,timeout,123.185,7554.799999999999,180.722,7555.6,261.572,
322,dac7,timeout,123.185,6208.8,206.31,7427.0,297.452,
323,delta,616.6,4.039,4856.6,6.617,4926.4,7.905,
324,denormal,1196.8,8.779,1744.0,17.166,2294.0,17.444,
325,dict,2162.6,4.32,2479.7999999999997,8.975,4202.0,8.214,
326,diel,timeout,123.185,5658.0,476.277,12398.8,576.862,
327,cova2,773.4,7.945,1288.2,15.302,1548.6,14.645,
328,ecl32,1850.0,6.646,3645.3999999999996,16.624,4600.200000000001,14.651,
329,Emilia,timeout,123.185,timeout,504.18999999999994,53931.600000000006,1155.255,
330,epb1,209.0,0.649,416.4,1.158,527.2,1.386,
331,ESOC,153324.0,118.748,256485.2,266.344,238409.0,201.648,
332,Eternity,5176.6,2.084,5827.799999999999,5.613,6402.200000000001,13.225,
333,ex19,0.0,0.856,171.6,1.431,117.0,1.733,
334,F2,22222.4,11.208,21083.4,23.275,44740.2,19.869,
335,fd18,140.0,0.551,294.8,1.245,433.6,1.425,
336,fem,3097.8,30.863,3927.4,29.283,6674.2,39.096,
337,finan,147.8,5.829,221.2,9.907,294.8,10.868,
338,flower,4463.8,11.746,6481.200000000001,24.258,8109.799999999999,20.298,
339,foldoc,6108.2,3.572,9790.8,8.849,12602.2,6.858,
340,Franz,19004.6,24.671,27799.4,27.426,33044.2,33.702,
341,G2,781.6,8.366,1224.4,17.095,1444.4,16.794,
342,g7jac,715.4,0.795,1297.1999999999998,1.299,1836.4,1.607,
343,garon,539.0,1.32,900.8,3.155,1102.4,2.235,
344,gearbox,74379.6,24.346,55275.2,36.375,146719.6,33.09,
345,gemat,38.2,0.241,61.2,0.402,74.60000000000001,0.501,
346,graphics,400.8,0.426,591.6,0.632,853.8000000000001,0.742,
347,gyro,405.6,1.932,533.4,2.444,886.8,3.453,
348,H2O,12153.6,52.027,19685.4,95.936,25567.0,98.451,
349,HEP,5072.2,13.26,10146.2,20.848,11418.8,25.338,
350,HTC,1642.0,14.171,3179.8,21.664,5220.6,20.156,
351,hvdc1,68.2,1.054,96.4,1.169,114.8,1.366,
352,IG5,12389.2,12.284,20189.4,26.393,27311.8,26.877,
353,Ill,1178.4,2.466,1635.0,4.198,2310.0,4.394,
354,interp,800.4,7.879,1547.4,17.267,1944.0,18.1,
355,IMDB,timeout,123.185,timeout,504.18999999999994,57644.600000000006,1336.735,
356,ibm01,181.0,0.585,381.4,1.428,559.8,1.293,
357,ibm02,272.8,1.36,392.20000000000005,1.704,693.0,2.619,
358,ibm03,1029.6,1.724,1673.6,4.143,1973.0,3.132,
359,ibm04,545.0,2.527,1296.6,3.567,1917.2,4.345,
360,ibm05,1760.0,3.064,2773.0,6.346,3502.6,6.865,
361,ibm06,962.2,3.996,1481.6,4.122,2161.8,6.431,
362,ibm07,976.8,3.855,1993.4,8.972,2606.8,8.271,
363,ibm08,1152.8,4.292,2451.4,7.893,2617.0,10.138,
364,ibm09,645.0,3.562,1445.8,8.284,1847.8000000000002,8.38,
365,ibm10,1446.6,5.749,2092.6000000000004,13.243,3083.8,16.484,
366,ibm11,1018.2,6.9,2003.1999999999998,11.407,2827.3999999999996,14.396,
367,ibm12,2185.6,10.733,3219.3999999999996,16.623,4155.4,19.102,
368,ibm13,883.8,8.449,1489.4,13.135,1919.6,14.535,
369,ibm14,2000.2,26.155,3163.0,28.249,3561.2,38.74,
370,ibm15,2836.2,24.213,4684.6,36.934,5664.2,47.632,
371,ibm16,2192.6,26.269,4143.2,49.717,4440.6,47.389,
372,kim1,775.2,6.029,1315.2,10.965,1568.0,12.333,
373,kkt,timeout,123.185,16124.8,499.246,24184.6,738.634,
374,duct3D,1891.6,11.074,4027.8,14.049,5520.8,18.938,
