dataset,gHyPart,policy1,BiPart,policy2,Mt,HEs
sat_blocks_p,21169,-RAND,21984,RAND,9955,10223027
sat_bob-opt_d,89,-HDH,174,PP,98,51144
sat_bob-opt,300,-HDH,1427,PP,470,152446
sat_bob-opt_p,433,-LSNWH,421,WD,462,152446
sat_bob_d,222,-HDH,248,PP,283,26294
sat_bob,1919,-HRH,1919,MDEG,2217,77920
sat_bob_p,2039,-HSNWH,2039,MWD,2339,77920
sat_c10_d,1496,-HSNWH,1496,MWD,632,133998
sat_c10,6731,-HRH,6731,MDEG,5133,398467
sat_c10_p,7909,-HRH,7909,MDEG,5385,398467
sat_count_d,117,-HDH,117,PP,113,18607
sat_count,329,-LDH,379,PLD,390,55724
sat_count_p,424,-HSNWH,424,MWD,331,55724
sat_ctl_d,982,-HSNWH,982,MWD,720,8806
sat_ctl,0,-LSNWH,0,WD,0,90812
sat_ctl_p,0,-LDH,1710,PLD,0,90812
sat_ctl_5_d,2985,-HRH,2985,MDEG,2142,15232
sat_ctl_5,5096,-RAND,5096,RAND,4170,134756
sat_ctl_5_p,4950,-LDH,4950,PLD,4170,134756
sat_dated_11_d,3526,-RAND,3743,RAND,1765,141860
sat_dated_11,10089,-HRH,10089,MDEG,4444,629461
sat_dated_11_p,8158,-LDH,8158,PLD,6027,629461
sat_dated_17_d,6684,-HRH,6684,MDEG,2721,229544
sat_dated_17,16829,-HSNWH,16829,MWD,7080,1070757
sat_dated_17_p,15439,-HSNWH,15439,MWD,9759,1070757
sat_E02F20_d,384,-HSNWH,384,MWD,315,10420
sat_E02F20,190,-RAND,190,RAND,190,395383
sat_E02F20_p,211,-HDH,223,PP,190,395383
sat_E02F22_d,486,-HSNWH,486,MWD,335,13574
sat_E02F22,231,-RAND,243,RAND,231,1301188
sat_E02F22_p,367,-HRH,367,MDEG,231,1301188
sat_gss-18_d,249,-HDH,284,PP,116,31364
sat_gss-18,1253,-HSNWH,1253,MWD,1357,94269
sat_gss-18_p,1454,-HSNWH,1454,MWD,1333,94269
sat_gss-19_d,186,-HSNWH,186,MWD,113,31435
sat_gss-19,1450,-HRH,1450,MDEG,1370,94548
sat_gss-19_p,1642,-HSNWH,1642,MWD,1372,94548
sat_gss-20_d,311,-HDH,311,PP,104,31503
sat_gss-20,1622,-HRH,1622,MDEG,1433,94748
sat_gss-20_p,1475,-HSNWH,1475,MWD,1339,94748
sat_gss-22_d,276,-HSNWH,276,MWD,128,31616
sat_gss-22,1515,-HSNWH,1515,MWD,1420,95110
sat_gss-22_p,1774,-LDH,1947,PLD,1328,95110
sat_k45_d,183,-RAND,183,RAND,150,163622
sat_k45,356,-RAND,1089,RAND,304,488120
sat_k45_p,558,-LDH,841,PLD,326,488120
sat_itox_d,81,-HSNWH,79,MWD,38,152256
sat_itox,31,-HRH,31,MDEG,41,441729
sat_itox_p,149,-HRH,149,MDEG,16,441729
sat_k2fix_d,3442,-HDH,3482,PP,3026,11313
sat_k2fix,0,-RAND,0,RAND,0,305160
sat_k2fix_p,1665,-RAND,1665,RAND,3023,305160
sat_manol_c10_i_d,1360,-HSNWH,1360,MWD,1041,252516
sat_manol_c10_i,7236,-LDH,7236,PLD,7412,750877
sat_manol_c10_i_p,7620,-LDH,15781,PLD,5945,750877
