id,dataset,k=2,k=3,k=4,
104,sat_bob-opt,0.00892212,0.0213938,0.0377262,
105,sat_bob-opt_p,0.0132439,0.0229771,0.0379434,
106,sat_bob_d,0.00797465,0.0162595,0.0227996,
107,sat_bob,0.0111458,0.0260173,0.0269927,
108,sat_bob_p,0.00988219,0.0193187,0.0292988,
109,sat_c10_d,0.0154527,0.0348938,0.0380262,
110,sat_c10,0.0266219,0.0446595,0.0741833,
111,sat_c10_p,0.0235108,0.0337723,0.0585545,
112,sat_count_d,0.00985031,0.0168827,0.0263007,
113,sat_count,0.0123587,0.0181261,0.0307035,
114,sat_count_p,0.00927383,0.0137004,0.0271943,
115,sat_ctl_d,0.00621765,0.0141412,0.0184936,
116,sat_ctl,0.00772243,0.0146759,0.0275245,
117,sat_ctl_p,0.0080831,0.014286,0.0257992,
118,sat_ctl_5_d,0.00801425,0.0165761,0.0215525,
119,sat_ctl_5,0.0119825,0.0261455,0.0360628,
120,sat_ctl_5_p,0.0166777,0.0248845,0.0378968,
121,sat_dated_11_d,0.0143164,0.0553818,0.0520551,
122,sat_dated_11,0.0222925,0.0308479,0.0536773,
123,sat_dated_11_p,0.0166203,0.0338264,0.0421326,
124,sat_dated_17_d,0.0130992,0.0294689,0.036859,
125,sat_dated_17,0.027333,0.0470868,0.0663646,
126,sat_dated_17_p,0.0319093,0.0511916,0.0663221,
127,sat_E02F20_d,0.016159,0.0300257,0.0407577,
128,sat_E02F20,0.00865385,0.0224755,0.0312399,
129,sat_E02F20_p,0.00756173,0.0208183,0.0268365,
130,sat_E02F22_d,0.0572478,0.533237,0.166213,
131,sat_E02F22,0.0182982,0.0377446,0.0560149,
132,sat_E02F22_p,0.0175622,0.0366633,0.0571438,
133,sat_gss-18_d,0.00843548,0.0119796,0.0169973,
134,sat_gss-18,0.020749,0.0293348,0.0396207,
135,sat_gss-18_p,0.00960762,0.0227628,0.0298528,
136,sat_gss-19_d,0.00674432,0.0157924,0.0180305,
137,sat_gss-19,0.0149717,0.020367,0.0420076,
138,sat_gss-19_p,0.0137884,0.0268826,0.0338496,
139,sat_gss-20_d,0.00658506,0.0137356,0.0232779,
140,sat_gss-20,0.0148189,0.0210396,0.0393051,
141,sat_gss-20_p,0.0140763,0.0242107,0.0377074,
142,sat_gss-22_d,0.00818522,0.0219242,0.0184067,
143,sat_gss-22,0.0119814,0.0320763,0.0328532,
144,sat_gss-22_p,0.0147152,0.0232885,0.0361236,
145,sat_k45_d,0.0313672,0.040288,0.0568427,
146,sat_k45,0.0115094,0.0202715,0.0393715,
147,sat_k45_p,0.0132323,0.0250837,0.0321127,
148,sat_itox_d,0.0492578,0.0435968,0.067441,
149,sat_itox,0.0186926,0.037466,0.0547783,
150,sat_itox_p,0.0171667,0.0436522,0.0414214,
151,sat_k2fix_d,0.0133552,0.0200517,0.0836651,
152,sat_k2fix,0.00621307,0.0191577,0.0206418,
153,sat_k2fix_p,0.0168404,0.0255658,0.0495533,
154,sat_manol_c10_i_d,0.0231927,0.0374782,0.0496026,
155,sat_manol_c10_i,0.0434802,0.0708911,0.0857092,
156,sat_manol_c10_i_p,0.0391633,0.0606231,0.0801466,
157,sat_manol_c10_d,0.0324937,0.0472184,0.0785065,
158,sat_manol_c10,0.0673697,0.0859,0.132788,
159,sat_manol_c10_p,0.0497826,0.0981974,0.13151,
160,sat_manol_c8_d,0.0206885,0.0330025,0.0840736,
161,sat_manol_c8,0.0230886,0.07171,0.0850064,
162,sat_manol_c8_p,0.0329103,0.0420941,0.0757971,
163,sat_manol_g10_i_d,0.0238705,0.0410458,0.0556783,
164,sat_manol_g10_i,0.038437,0.0690442,0.0899209,
165,sat_manol_g10_i_p,0.0366854,0.0591951,0.0852096,
166,sat_MD5-28-1_d,0.0101638,0.0414539,0.0268735,
167,sat_MD5-28-1,0.0127855,0.0235799,0.0312844,
168,sat_MD5-28-1_p,0.0099014,0.0237716,0.024269,
169,sat_MD5-28-2_d,0.0121542,0.0224828,0.0442801,
170,sat_MD5-28-2,0.0118793,0.0201834,0.0301866,
171,sat_MD5-28-2_p,0.0098649,0.0137534,0.0228987,
172,sat_MD5-28-4_d,0.0100159,0.0299561,0.0195413,
173,sat_MD5-28-4,0.0122458,0.0242616,0.0336323,
174,sat_MD5-28-4_p,0.00968862,0.0181521,0.027163,
175,sat_MD5-29-4_d,0.0101897,0.0258205,0.038283,
176,sat_MD5-29-4,0.0129019,0.0230512,0.035347,
177,sat_MD5-29-4_p,0.0129908,0.0177204,0.0293582,
178,sat_MD5-30-4_d,0.0112541,0.018302,0.0249505,
179,sat_MD5-30-4,0.0120125,0.0259202,0.033609,
180,sat_MD5-30-4_p,0.00949629,0.0187534,0.0301021,
181,sat_MD5-30-5_d,0.0131142,0.0174449,0.0238223,
182,sat_MD5-30-5,0.0118558,0.0206911,0.0360896,
183,sat_MD5-30-5_p,0.00921244,0.0176946,0.0242306,
184,sat_min_d,0.0226368,0.0391207,0.0798199,
185,sat_min,0.0257328,0.0348877,0.0730316,
186,sat_min_p,0.0231849,0.0402353,0.0585961,
187,sat_p30_d,0.0213996,0.0624921,0.0801063,
188,sat_p30,0.0242182,0.0696038,0.104637,
189,sat_p30_p,0.0471938,0.0755053,0.0931233,
190,sat_p30_NOT_d,0.0136363,0.0549496,0.0383476,
191,sat_p30_NOT,0.0248267,0.0382907,0.0630177,
192,sat_p30_NOT_p,0.0298997,0.052304,0.0804995,
193,sat_non_p30_d,0.0237539,0.0656046,0.0844715,
194,sat_non_p30,0.0265118,0.0689893,0.114656,
195,sat_non_p30_p,0.043319,0.0773904,0.100175,
196,sat_post_d,0.0320352,0.0462625,0.0906127,
197,sat_post,0.0319342,0.0537435,0.0753104,
198,sat_post_p,0.0300867,0.0588633,0.0757979,
199,sat_post-ee_d,0.0234022,0.0455305,0.0725923,
200,sat_post-ee,0.0239101,0.0403083,0.0748162,
201,sat_post-ee_p,0.0204409,0.0331564,0.0635336,
202,sat_L100_d,0.0794792,0.126702,0.287783,
203,sat_L100,0.0460143,0.0913045,0.171819,
204,sat_L100_p,0.0734713,0.125384,0.164009,
205,sat_L150_d,0.153454,0.200052,0.600947,
206,sat_L150,0.0622952,0.123565,0.362359,
207,sat_L150_p,0.0612671,0.15828,0.226638,
208,sat_L200_d,0.163425,0.178064,0.236353,
209,sat_L200,0.115938,0.430005,0.296884,
210,sat_L200_p,0.237191,0.366109,0.40369,
211,sat_L80_d,0.0713569,0.131296,0.177977,
212,sat_L80,0.0360699,0.0922874,0.218557,
213,sat_L80_p,0.0609025,0.0793004,0.130494,
214,sat_k100_1d,0.0392145,0.0691098,0.218087,
215,sat_k100_1,0.0512196,0.101139,0.14345,
216,sat_k100_1p,0.0478724,0.101055,0.140332,
217,sat_k100_2d,0.0357351,0.0822049,0.247708,
218,sat_k100_2,0.0577486,0.104427,0.149501,
219,sat_k100_2p,0.0543622,0.113707,0.147707,
220,sat_k70_d,0.0302563,0.0636934,0.0788481,
221,sat_k70,0.119972,0.0943609,0.232587,
222,sat_k70_p,0.0409577,0.0767962,0.107285,
223,sat_k75_d,0.0283851,0.0518957,0.0823687,
224,sat_k75,0.0471963,0.091949,0.125706,
225,sat_k75_p,0.0437693,0.0848205,0.10886,
226,sat_k80_d,0.028391,0.0557521,0.0782279,
227,sat_k80,0.0524919,0.101393,0.141146,
228,sat_k80_p,0.0417599,0.0891505,0.117082,
229,sat_k85_2d,0.0309227,0.0616145,0.0816164,
230,sat_k85_2,0.0493536,0.10109,0.132799,
231,sat_k85_2p,0.0466988,0.0971624,0.196547,
232,sat_k85_3d,0.0310827,0.0669473,0.0861932,
233,sat_k85_3,0.0504373,0.0999218,0.132672,
234,sat_k85_3p,0.0460536,0.0981721,0.196858,
235,sat_k90_d,0.0335343,0.0734129,0.0847848,
236,sat_k90,0.0504634,0.103722,0.147621,
237,sat_k90_p,0.0462798,0.0962919,0.133249,
238,sat_k95_d,0.032151,0.0619825,0.0947089,
239,sat_k95,0.0517644,0.104701,0.202601,
240,sat_k95_p,0.0462924,0.0960198,0.132426,
241,sat_slp_d,0.0146549,0.0403687,0.0636092,
242,sat_slp,0.0242655,0.0558842,0.0669306,
243,sat_slp_p,0.033588,0.0636113,0.0820168,
244,sat_030_d,0.0480453,0.0590854,0.11231,
245,sat_030,0.0574268,0.146029,0.154529,
246,sat_030_p,0.0902878,0.156398,0.192169,
247,sat_050_d,0.0397014,0.075541,0.130953,
248,sat_050,0.0708742,0.163128,0.208825,
249,sat_050_p,0.0521374,0.126531,0.166514,
250,sat_UCG-10p0_d,0.0150993,0.024115,0.0494657,
251,sat_UCG-10p0,0.024273,0.0398931,0.0637848,
252,sat_UCG-10p0_p,0.0284852,0.0501796,0.0634899,
253,sat_UCG-10p1_d,0.0134051,0.0494295,0.0360774,
254,sat_UCG-10p1,0.0220312,0.0437644,0.0693063,
255,sat_UCG-10p1_p,0.0208645,0.0384856,0.058601,
256,sat_UCG-5p0_d,0.0192786,0.0284398,0.0432441,
257,sat_UCG-5p0,0.0288592,0.0481119,0.065098,
258,sat_UCG-5p0_p,0.0268754,0.0495702,0.0600858,
