id,dataset,k=2,k=3,k=4,
0,sat_10pipe_d,0.0306458,0.0511703,0.98674,
1,sat_10pipe,0.0867556,0.175416,0.202752,
2,sat_10pipe_p,0.0776071,0.100647,0.185016,
3,sat_11pipe_d,0.0992088,2.47439,6.8058,
4,sat_11pipe,0.197722,0.887607,1.62352,
5,sat_11pipe_p,0.233919,0.266215,0.46547,
6,sat_11pipe_kd,0.0515836,0.0682345,1.41722,
7,sat_11pipe_k,0.150579,0.291077,0.35306,
8,sat_11pipe_kp,0.0864167,0.13112,0.214272,
9,sat_6s10_d,0.0103913,0.0182509,0.0278827,
10,sat_6s10,0.0121059,0.0291202,0.0358018,
11,sat_6s10_p,0.015656,0.0236341,0.0372041,
12,sat_6s11_d,0.0123805,0.0257344,0.0266891,
13,sat_6s11,0.0154419,0.0323682,0.0450315,
14,sat_6s11_p,0.0141842,0.0234028,0.0331261,
15,sat_6s12_d,0.0100493,0.0169275,0.0346827,
16,sat_6s12,0.0126604,0.027124,0.040682,
17,sat_6s12_p,0.0118456,0.0260085,0.0288392,
18,sat_130_d,0.012135,0.0252664,0.0317731,
19,sat_130,0.00872449,0.029509,0.035123,
20,sat_130_p,0.00900075,0.0302491,0.0363936,
21,sat_131_d,0.011313,0.0191395,0.0341596,
22,sat_131,0.0104078,0.023411,0.0386729,
23,sat_131_p,0.0105028,0.0318988,0.033018,
24,sat_133_d,0.0118462,0.0221313,0.0321017,
25,sat_133,0.0142518,0.0288573,0.0327736,
26,sat_133_p,0.0209578,0.0222927,0.0436464,
27,sat_153_d,0.0145272,0.0246852,0.0375885,
28,sat_153,0.0104942,0.0300463,0.0333151,
29,sat_153_p,0.0129685,0.0255218,0.0374825,
30,sat_16_d,0.0134354,0.0168214,0.0319855,
31,sat_16,0.0179294,0.0256173,0.0450881,
32,sat_16_p,0.0155628,0.0248783,0.0360881,
33,sat_184_d,0.0131183,0.0198333,0.0345692,
34,sat_184,0.0103369,0.0275082,0.0413129,
35,sat_184_p,0.0128209,0.0206403,0.0311553,
36,sat_9_d,0.0113508,0.022669,0.0308463,
37,sat_9,0.0179055,0.0282513,0.048743,
38,sat_9_p,0.016046,0.0238065,0.0374834,
39,sat_9dlx_d,0.0228316,0.0984648,0.0402583,
40,sat_9dlx,0.0525901,0.121264,0.126554,
41,sat_9dlx_p,0.0557086,0.0731706,0.122776,
42,sat_bug7,0.0,0.0,0.0,
43,sat_bug8_d,0.237933,4.72572,2.30466,
44,sat_bug8,0.0,0.0,0.0,
45,sat_bug8_p,0.0,0.0,0.0,
46,sat_aaai_d,0.0079083,0.0235816,0.0488547,
47,sat_aaai,0.0165888,0.0418409,0.0431084,
48,sat_aaai_p,0.0172396,0.0389908,0.0490731,
49,sat_ACG_10p_d,0.0246467,0.0448122,0.0647258,
50,sat_ACG_10p,0.0333412,0.0672736,0.087452,
51,sat_ACG_10p_p,0.043096,0.100203,0.104682,
52,sat_ACG_5p0_d,0.02144,0.0429665,0.0565914,
53,sat_ACG_5p0,0.0351676,0.0677799,0.10852,
54,sat_ACG_5p0_p,0.0335869,0.0641723,0.0896029,
55,sat_ACG_5p1_d,0.0201025,0.0386317,0.069002,
56,sat_ACG_5p1,0.0372644,0.0740983,0.141381,
57,sat_ACG_5p1_p,0.0370378,0.062732,0.0920131,
58,sat_01_d,0.00808663,0.0122466,0.0224342,
59,sat_01,0.012696,0.0190452,0.0335179,
60,sat_01_p,0.00782729,0.0152382,0.0235043,
61,sat_27_d,0.00947056,0.0126071,0.0224992,
62,sat_27,0.0133354,0.0179342,0.0314833,
63,sat_27_p,0.00965863,0.0144963,0.0200975,
64,sat_enc1_opt1_05_d,0.0205227,0.041504,0.044485,
65,sat_enc1_opt1_05,0.0244147,0.0471002,0.0632623,
66,sat_enc1_opt1_05_p,0.018985,0.0460263,0.0498955,
67,sat_enc1_opt1_10_d,0.0147103,0.0274891,0.038721,
68,sat_enc1_opt1_10,0.0362735,0.0339229,0.0605343,
69,sat_enc1_opt1_10_p,0.0183014,0.0336006,0.0487814,
70,sat_enc1_opt1_15_d,0.0247174,0.0391931,0.0480846,
71,sat_enc1_opt1_15,0.0223391,0.0501924,0.0556817,
72,sat_enc1_opt1_15_p,0.0295389,0.046877,0.0634093,
73,sat_enc1_opt2_4_d,0.0147388,0.0222267,0.0344656,
74,sat_enc1_opt2_4,0.0156597,0.0291235,0.0423388,
75,sat_enc1_opt2_4_p,0.0152907,0.0281706,0.0537619,
76,sat_enc1_opt2_12_d,0.00975424,0.0171869,0.0240578,
77,sat_enc1_opt2_12,0.0117074,0.0200158,0.0306267,
