id,dataset,hedges,k=2_cut,k=3_cut,k=4_cut,k=2_perf,k=3_perf,k=4_perf
88,sat_enc3_opt1_50_d,1613160,3958,6375,7744,0.0369559,0.0649047,0.106192
89,sat_enc3_opt1_50,6429816,17953,54965,54888,0.192555,0.278539,0.361271
90,sat_enc3_opt1_50_p,6429816,1740,4085,12289,0.0502335,0.0952718,0.126802
91,sat_enc3_opt2_21_d,1484061,3230,3573,6588,0.0304568,0.0425685,0.0715588
92,sat_enc3_opt2_21,5933456,908,2684,6226,0.0444982,0.0773264,0.110383
93,sat_enc3_opt2_21_p,5933456,4304,5249,18197,0.0501602,0.0904944,0.120804
94,sat_enc3_opt2_12_d,1236271,2428,4042,4815,0.0303879,0.0526218,0.059634
95,sat_enc3_opt2_12,4932603,1425,4409,4806,0.0397303,0.0702783,0.102544
96,sat_enc3_opt2_12_p,4932603,4867,11972,12913,0.0450405,0.0815879,0.112314
97,sat_enc3_opt2_14_d,1240678,3491,4129,6585,0.0294483,0.0546402,0.0590255
98,sat_enc3_opt2_14,4950217,1884,7393,7469,0.0395411,0.0727105,0.111772
99,sat_enc3_opt2_14_p,4950217,7359,10940,10849,0.0434607,0.0812559,0.106342
100,sat_blocks_d,559571,1521,11578,10110,0.0319377,0.052876,0.0863346
101,sat_blocks,10223027,19987,43348,51139,0.115481,0.197686,0.255003
102,sat_blocks_p,10223027,21169,73094,71747,0.170886,0.27737,0.369568
103,sat_bob-opt_d,51144,89,260,276,0.00741642,0.013884,0.0188791
104,sat_bob-opt,152446,300,1728,5455,0.00728029,0.0127338,0.0253639
105,sat_bob-opt_p,152446,433,5669,2862,0.00705798,0.0182018,0.020499
106,sat_bob_d,26294,222,891,879,0.00781325,0.0108577,0.0169116
107,sat_bob,77920,1919,4582,5037,0.0066845,0.0162232,0.0288319
108,sat_bob_p,77920,2039,4705,5107,0.00553084,0.0103736,0.0162646
109,sat_c10_d,133998,1496,1736,3333,0.00893734,0.0281549,0.0256353
110,sat_c10,398467,6731,14196,16012,0.0111487,0.0275847,0.0277134
111,sat_c10_p,398467,7909,13741,19766,0.0168359,0.025814,0.0328599
112,sat_count_d,18607,117,373,400,0.0118114,0.0115758,0.0237185
