id,dataset,hedges,k=2_cut,k=3_cut,k=4_cut,k=2_perf,k=3_perf,k=4_perf
312,crash,160000,2634,4758,7526,0.00890211,0.0147769,0.0367942
313,cryg,10000,224,492,751,0.00440509,0.00743405,0.0161494
314,crystk,13965,1121,2330,3818,0.00413738,0.00692853,0.0129835
315,d_pretok,182730,3206,11548,12430,0.00610963,0.012057,0.0236484
316,dac11,935731,2237,6221,7249,0.0336795,0.0644405,0.0909128
317,dac14,619815,16190,11078,20857,0.0772516,0.125511,0.130642
318,dac16,697458,11067,17525,20071,0.0327278,0.0454028,0.0609904
319,dac2,990899,6328,15570,16780,0.0327644,0.0630464,0.0996074
320,dac3,898001,3372,11683,14780,0.035725,0.0551476,0.0849096
321,dac6,1006629,5739,8176,18772,0.0640041,0.108896,0.132578
322,dac7,1340418,2631,6639,10755,0.0385319,0.0796288,0.111739
323,delta,68600,675,6575,5622,0.00579891,0.0120737,0.0191212
324,denormal,89400,1272,2874,3690,0.00674224,0.0122693,0.0185449
325,dict,39327,0,817,2951,0.00572899,0.0207635,0.0415935
326,diel,607232,5174,21870,25186,0.0265278,0.0460166,0.0676521
327,cova2,65025,1171,3272,3549,0.00716582,0.0154848,0.0175422
328,ecl32,51993,2493,4886,6522,0.0263556,0.037142,0.0630486
329,Emilia,923136,27009,69285,84297,0.0535515,0.0860725,0.116946
330,epb1,14734,231,546,869,0.00365856,0.0068888,0.0121197
331,ESOC,327062,176807,296018,422085,0.0233149,0.0555973,0.0529211
332,Eternity,7362,1058,1866,4043,0.00835069,0.0139061,0.0179868
333,ex19,12005,0,593,360,0.00158704,0.00489379,0.00588718
334,F2,71505,2982,7652,7985,0.00728422,0.0134808,0.0262171
335,fd18,16428,165,422,797,0.00895913,0.0141117,0.0253529
336,fem,74062,3744,6961,9323,0.0108817,0.0164285,0.0246896
337,finan,74752,156,447,407,0.00600586,0.0103994,0.0134181
338,flower,27693,5118,9005,13238,0.00574947,0.0103058,0.0109058
339,foldoc,13356,7005,13113,16760,0.00702221,0.0144806,0.012842
340,Franz,47104,23943,50199,54864,0.00559754,0.011588,0.025984
341,G2,150102,791,1517,2252,0.00738112,0.0131065,0.0182412
342,g7jac,11790,856,1772,2478,0.00526256,0.00785536,0.0132792
343,garon,13535,812,1262,2672,0.00228429,0.0100838,0.00723494
