id,dataset,k=2,k=3,k=4,
330,epb1,0.00460497,0.00900327,0.0148925,
331,ESOC,0.0187443,0.0665801,0.034821,
332,Eternity,0.00525877,0.0206687,0.17578,
333,ex19,0.00152852,0.00631882,0.00736681,
334,F2,0.00532333,0.00976061,0.0148946,
335,fd18,0.0102869,0.0131446,0.0158442,
336,fem,0.00676606,0.0174989,0.0189382,
337,finan,0.00559952,0.00923912,0.0166401,
338,flower,0.0104371,0.0175511,0.036882,
339,foldoc,0.00985175,0.0236942,0.0203991,
340,Franz,0.00999479,0.0258466,0.0207089,
341,G2,0.0136053,0.0261907,0.0345866,
342,g7jac,0.00392577,0.00757337,0.0101006,
343,garon,0.0026,0.008246,0.00916699,
344,gearbox,0.00875939,0.0136732,0.0212592,
345,gemat,0.00549799,0.00554769,0.00715901,
346,graphics,0.00454852,0.00977422,0.0133213,
347,gyro,0.00263887,0.00429803,0.0124435,
348,H2O,0.00899179,0.0211898,0.023991,
349,HEP,0.00922651,0.0307561,0.0166995,
350,HTC,0.0120552,0.0204942,0.0272855,
351,hvdc1,0.00360129,0.0074116,0.0110524,
352,IG5,0.0043157,0.023128,0.0374992,
353,Ill,0.00398931,0.00768468,0.0125797,
354,interp,0.00853671,0.0166153,0.0269279,
355,IMDB,0.0443412,0.373293,0.0653764,
356,ibm01,0.0069609,0.00826695,0.0120886,
357,ibm02,0.00696376,0.0080204,0.0158811,
358,ibm03,0.00454147,0.0112395,0.0137663,
359,ibm04,0.00658718,0.0106042,0.0132435,
360,ibm05,0.0064551,0.0130522,0.0287215,
361,ibm06,0.00536054,0.0151156,0.0130402,
362,ibm07,0.00759273,0.0122868,0.02285,
363,ibm08,0.00742517,0.00867062,0.025213,
364,ibm09,0.00786433,0.012495,0.0187514,
365,ibm10,0.0116887,0.0102288,0.0209478,
366,ibm11,0.00963658,0.0144855,0.0163491,
367,ibm12,0.00889231,0.0164758,0.0195162,
368,ibm13,0.00932258,0.0159273,0.0225667,
369,ibm14,0.0109975,0.0129071,0.0242115,
370,ibm15,0.0120946,0.0205565,0.0269567,
371,ibm16,0.00603113,0.0131767,0.0206832,
372,kim1,0.00469664,0.0110184,0.0119735,
373,kkt,0.0496812,0.0981394,0.128006,
374,duct3D,0.00515572,0.00983287,0.0188337,
375,lhr14,0.00233345,0.00496648,0.00798088,
376,li,0.00525041,0.00794787,0.0183887,
377,tissue,0.00385777,0.00844723,0.0112496,
378,Lin,0.0120085,0.0197894,0.0309838,
379,lp_nug,0.00967468,0.0107305,0.0168444,
380,lp_pds,0.0111388,0.0306878,0.020596,
381,lung,0.00409805,0.00479095,0.00927711,
382,m14b,0.00845431,0.0218184,0.0228149,
383,mac,0.0087565,0.0172885,0.0241231,
384,Maragal,0.0105354,0.00878127,0.0159127,
385,mc2depi,0.00869282,0.0192684,0.0286208,
386,mixtank,0.00382531,0.0084223,0.0170122,
387,mono,0.0101822,0.019734,0.0391428,
388,mri1,0.0060721,0.0124282,0.018202,
389,msc,0.0036226,0.00502659,0.0084781,
390,msdoor,0.0117948,0.0223056,0.0303403,
391,mult_dcop,0.0156208,0.024639,0.0393594,
392,nasasrb,0.00759458,0.0146463,0.0212413,
393,nd12k,0.00651838,0.0126313,0.0160978,
394,net100,0.00670789,0.0205607,0.0225774,
395,nopoly,0.00524034,0.00547045,0.0104269,
396,actors,0.0163375,0.0240846,0.0290706,
397,www,0.00375281,0.0108217,0.156896,
398,obstclae,0.00468454,0.0124563,0.0157724,
399,olafu,0.00275436,0.00774731,0.0111579,
400,opt1,0.00330097,0.00589627,0.0169655,
401,Oregon,0.0109046,0.0117866,0.0203286,
402,p2p,0.0141361,0.0111942,0.0272064,
403,para,0.00962788,0.0284637,0.0187092,
404,parabolic,0.00900063,0.0197311,0.0293188,
405,Pd,0.0145095,0.0285078,0.0318138,
406,pdb,0.00438243,0.0122537,0.0114523,
407,pds,0.00834512,0.0131568,0.0279314,
408,pesa,0.00562603,0.00728932,0.011984,
409,PGP,0.00421055,0.0126069,0.00946894,
410,pkustk,0.00413331,0.0108494,0.0131378,
411,poisson3D,0.00984939,0.0137611,0.0180374,
412,poli3,0.00343952,0.00536858,0.00736421,
413,powersim,0.00246287,0.0049867,0.00976404,
414,pre2,0.0189135,0.0274028,0.0410417,
415,Pres,0.00267382,0.00629153,0.00726276,
416,psse2,0.0031584,0.0078756,0.010512,
417,qa8fk,0.00730396,0.0132906,0.0225489,
418,rajat,0.0177156,0.0132399,0.0248837,
419,Reuters,0.00833462,0.0233992,0.0212948,
420,RFdevice,0.00729386,0.0152322,0.0226253,
421,rgg,0.00817605,0.0134538,0.0242155,
422,rim,0.00311006,0.00688357,0.0191338,
423,rma,0.00453596,0.0102817,0.0130806,
424,Rucci,0.037269,0.0832342,0.0798131,
425,s4dkt,0.00851503,0.0133509,0.0159771,
426,scfxm,0.00680652,0.00962211,0.0130756,
427,scircuit,0.00733189,0.0180668,0.0230323,
428,shallow,0.00686843,0.0139477,0.0237402,
429,sherman,0.0140948,0.0188474,0.0253631,
430,ship,0.00348292,0.00608234,0.0101886,
431,shock,0.00953591,0.0182745,0.0231334,
432,shyy,0.00739911,0.0119797,0.0205527,
433,skirt,0.00313238,0.00790258,0.00899698,
434,sme3D,0.00405366,0.013773,0.0118559,
435,soc-sign,0.183098,0.0263668,0.345317,
436,sparsine,0.00708775,0.014822,0.0256865,
437,spmsrtls,0.00669419,0.0110639,0.0127442,
438,std1_Jac3,0.00557099,0.00979379,0.0191662,
439,stokes,0.00485684,0.00895222,0.0184286,
440,ted_A,0.00190255,0.00376369,0.00486375,
441,TF16,0.00515909,0.0106458,0.0225821,
442,thermal,0.00553533,0.010854,0.015964,
443,therm,0.00690585,0.0121306,0.0191199,
444,tmt,0.0163069,0.0334615,0.0401518,
445,tomogra,0.00507679,0.0104704,0.0238382,
446,torso,0.0125595,0.017774,0.0315974,
447,Trec,0.00460023,0.00460023,0.00460023,
448,Trefe,0.00849057,0.0146269,0.0119661,
449,TSOPF,0.00507514,0.0134697,0.0115487,
450,us04,0.00320918,0.0235094,0.0399563,
451,usroads,0.00816667,0.0132325,0.0195652,
452,venkat,0.00420444,0.00852838,0.0118658,
453,vibro,0.00663408,0.010925,0.0111439,
454,plastic,0.00508641,0.00936315,0.0140784,
455,rocks,0.00415775,0.0113354,0.0168446,
456,wave3D,0.00512085,0.0091781,0.013996,
457,wathen120,0.0051044,0.00894848,0.0140176,
458,water,0.0077602,0.010192,0.0198919,
459,wang4,0.00706983,0.0115444,0.016459,
460,xenon,0.00791859,0.0167223,0.0242923,
461,Zhao,0.00509709,0.0100165,0.0150018,
462,G67,0.00328917,0.0107973,0.011997,
463,af101,0.0291774,0.0505207,0.0617134,
464,eco1,0.0205415,0.0351274,0.054703,
465,ibm18,0.00645329,0.0208407,0.0245734,
466,ibm17,0.0106385,0.0183821,0.0253854,
467,web1M,0.0151043,0.0224855,0.0367764,
468,nl120,0.114138,0.182809,0.214404,
469,sat_p,0.196161,0.321485,0.490574,
470,wbedu,0.0658749,0.169433,1.43146,
471,Stanf,0.0230322,0.0473477,0.0544747,
472,gene2,0.013969,0.0283975,0.0355247,
473,Hamr3,0.0185589,0.0263561,0.0523156,
474,StocF,0.0266308,0.0485828,0.063535,
475,lang,0.0346121,0.127822,0.0905686,
476,kron,0.0470632,0.0852321,0.12138,
477,case39,0.0171446,0.0148128,0.0252339,
478,dac9,0.0229299,0.0371408,0.0493552,
479,dac12,0.0275934,0.0507606,0.0749081,
480,dac19,0.0260277,0.0336788,0.0532955,
481,tran4,0.0152075,0.107367,0.181904,
482,Cheb4,0.0106126,0.0123482,0.0180596,
483,sat_d,0.193462,0.397211,0.745651,
484,HV15R,0.153325,0.245518,0.292053,
485,gupta2,0.0146232,0.030552,0.0293837,
486,ASIC,0.553166,0.301361,1.54281,
487,ASIC320k,0.093546,0.243168,0.521489,
488,wiki-Talk,0.149315,1.61899,3.77741,
489,com-Youtube,0.20919,1.02309,1.43245,
490,Freescal,0.0214056,0.0393038,0.0579147,
491,roadNet-CA,0.0143699,0.0310043,0.0498894,
492,delaunay23,0.066376,0.12605,0.163118,
493,coPapersDBLP,0.0280274,0.0366246,0.232146,
494,dc1,0.0154463,0.108901,0.182932,
495,channel,0.144248,0.233833,0.292795,
496,as-Skitter,0.202316,0.750859,0.36684,
497,ASIC_100k,0.041861,0.0658331,0.158995,
498,dc2,0.0156653,0.106071,0.186961,
499,tran5,0.0153181,0.107179,0.186085,
