id,dataset,cutk2,extimek2,cutk3,extimek3,cutk4,extimek4,hedges
51,sat_ACG_10p_p,4470,55.118,4218,90.509,8543,141.764,1632906
52,sat_ACG_5p0_d,1201,37.961,2219,94.556,4953,106.177,324716
53,sat_ACG_5p0,3087,159.44,5434,212.305,7411,322.682,1390931
54,sat_ACG_5p0_p,3365,58.72,5116,65.062,8248,112.425,1390931
55,sat_ACG_5p1_d,1077,59.717,1650,79.025,2709,98.729,331196
56,sat_ACG_5p1,3230,134.622,5565,168.246,8371,228.692,1416850
57,sat_ACG_5p1_p,3396,59.782,5536,63.506,8360,111.631,1416850
58,sat_01_d,240,0.892,442,2.038,570,2.256,7502
59,sat_01,988,1.394,1733,2.001,2193,2.575,28770
60,sat_01_p,1062,0.993,1748,0.967,2303,1.338,28770
61,sat_27_d,104,0.55,163,1.041,187,1.154,7729
62,sat_27,2383,1.37,3487,2.288,4101,2.651,29194
63,sat_27_p,2424,1.116,3524,1.583,4169,1.653,29194
64,sat_enc1_opt1_05_d,6411,43.285,4830,104.655,6462,81.845,59517
65,sat_enc1_opt1_05,1143,32.83,1676,106.049,1521,68.386,561784
66,sat_enc1_opt1_05_p,2116,16.357,3132,40.869,4027,62.281,561784
67,sat_enc1_opt1_10_d,2283,13.571,1665,18.468,2424,24.626,46993
68,sat_enc1_opt1_10,902,18.0,1351,26.652,1563,24.959,270831
69,sat_enc1_opt1_10_p,1497,16.804,2760,26.365,3247,23.739,270831
70,sat_enc1_opt1_15_d,8309,73.334,6910,106.39,8367,142.541,61642
71,sat_enc1_opt1_15,918,30.494,1567,61.101,1836,87.295,644099
72,sat_enc1_opt1_15_p,2142,46.235,2940,53.055,3434,68.055,644099
73,sat_enc1_opt2_4_d,5767,20.075,4039,31.588,4826,31.447,14636
74,sat_enc1_opt2_4,270,16.137,318,33.524,393,29.179,386163
75,sat_enc1_opt2_4_p,482,11.364,604,25.429,684,25.2,386163
76,sat_enc1_opt2_12_d,1883,6.915,1457,12.927,1903,15.305,9495
77,sat_enc1_opt2_12,307,5.533,441,10.226,493,10.278,147853
78,sat_enc1_opt2_12_p,673,6.613,889,14.187,1073,11.64,147853
79,sat_enc1_opt2_16_d,2012,5.997,1465,14.305,2084,14.339,9643
80,sat_enc1_opt2_16,307,9.093,371,11.776,497,10.672,152744
81,sat_enc1_opt2_16_p,765,7.029,971,12.044,803,9.636,152744
82,sat_enc2_opt1_05_d,6324,42.214,5459,63.871,6380,74.913,56533
83,sat_enc2_opt1_05,871,29.768,1251,68.496,1522,72.683,526872
84,sat_enc2_opt1_05_p,1440,25.834,2492,43.073,2724,48.915,526872
85,sat_enc2_opt1_15_d,7482,80.586,4324,108.103,7849,138.296,58752
86,sat_enc2_opt1_15,913,31.521,1312,75.084,1568,67.141,580963
87,sat_enc2_opt1_15_p,1488,22.473,2197,45.302,2818,48.28,580963
88,sat_enc3_opt1_50_d,2700,154.452,3423,882.471,4327,808.141,1613160
89,sat_enc3_opt1_50,1740,413.095,2579,767.353,3943,1142.625,6429816
90,sat_enc3_opt1_50_p,1980,244.489,2092,447.122,3557,607.084,6429816
91,sat_enc3_opt2_21_d,644,250.877,1049,735.601,2014,660.343,1484061
92,sat_enc3_opt2_21,390,607.454,1586,881.902,3313,1144.781,5933456
93,sat_enc3_opt2_21_p,462,241.085,1542,329.022,3271,486.971,5933456
94,sat_enc3_opt2_12_d,406,187.682,572,481.781,1471,377.248,1236271
95,sat_enc3_opt2_12,558,458.978,1528,557.253,3034,850.989,4932603
96,sat_enc3_opt2_12_p,417,153.099,1368,335.562,3617,467.934,4932603
97,sat_enc3_opt2_14_d,411,190.392,715,531.333,1517,359.39,1240678
98,sat_enc3_opt2_14,614,369.386,1676,779.32,3291,797.839,4950217
99,sat_enc3_opt2_14_p,417,126.537,949,297.323,3708,433.642,4950217
100,sat_blocks_d,175908,892.174,130016,889.211,178673,2136.333,559571
101,sat_blocks,9918,697.504,19836,1079.02,29754,1333.754,10223027
102,sat_blocks_p,9955,503.256,19910,862.62,29865,1020.789,10223027
103,sat_bob-opt_d,73,4.562,117,7.685,131,8.799,51144
104,sat_bob-opt,454,5.227,657,7.514,1022,8.422,152446
105,sat_bob-opt_p,285,2.885,706,4.712,995,5.51,152446
106,sat_bob_d,207,2.621,608,6.004,646,5.176,26294
