id,dataset,cutk2,extimek2,cutk3,extimek3,cutk4,extimek4,hedges
410,pkustk,2904,15.691,5094,13.224,5508,17.922,87804
411,poisson3D,4365,30.955,6651,63.638,8668,81.498,85623
412,poli3,115,0.389,126,0.508,181,0.771,16955
413,powersim,9,0.322,15,0.539,39,0.655,15838
414,pre2,3120,70.934,5628,110.588,8112,147.55,659033
415,Pres,408,3.07,816,4.714,1176,5.713,14822
416,psse2,80,0.473,182,0.667,232,0.686,28634
417,qa8fk,670,14.886,4048,40.269,4718,31.417,66127
418,rajat,27,2.132,159,3.288,163,3.882,51032
419,Reuters,3247,6.968,5144,10.345,6419,12.397,13314
420,RFdevice,1743,7.627,2988,15.786,3437,14.559,74104
421,rgg,895,66.597,1448,126.712,1749,106.188,262141
422,rim,382,2.922,575,4.234,766,5.582,22560
423,rma,374,6.31,750,9.081,1700,8.646,46835
424,Rucci,32706,76.575,51129,794.834,71208,731.149,1977885
425,s4dkt,1206,10.019,2316,15.11,3060,15.808,90449
426,scfxm,936,3.272,1274,5.924,1451,6.345,37980
427,scircuit,42,11.26,145,16.558,298,20.682,170998
428,shallow,640,5.353,1021,9.22,1326,9.461,81920
429,sherman,4875,4.01,7125,8.652,8360,7.396,18510
430,ship,31518,5.378,21434,19.901,21975,10.988,34920
431,shock,212,1.725,395,2.738,514,3.258,36476
432,shyy,160,2.654,160,4.664,627,6.275,76480
433,skirt,12,1.029,32,1.606,54,1.994,12598
434,sme3D,432,5.251,2406,6.641,3537,10.302,29067
435,soc-sign,4751,16.989,9085,28.443,12749,30.341,95318
436,sparsine,17262,59.595,24400,134.46,29418,78.393,50000
437,spmsrtls,6,0.588,12,0.993,18,1.227,29995
438,std1_Jac3,3835,5.686,4676,6.639,4487,17.646,21982
439,stokes,644,5.862,1089,9.946,1279,10.874,49666
440,ted_A,84,0.738,168,1.052,252,1.214,10605
441,TF16,4647,6.816,7861,9.658,9729,12.806,15437
442,thermal,247,8.514,497,13.184,740,16.939,82654
443,therm,277,12.55,572,20.223,848,28.207,102158
444,tmt,1525,99.242,2458,149.063,3048,155.561,917825
445,tomogra,1922,13.586,3269,29.463,4402,28.599,45908
446,torso,5762,75.384,7169,115.43,10048,146.405,259156
447,Trec,3157,1.798,3157,5.233,3157,4.672,3159
448,Trefe,13472,14.62,16811,21.409,18148,25.79,20000
449,TSOPF,7575,3.113,11897,17.799,11073,6.308,30798
450,us04,144,0.316,143,0.526,150,0.59,163
451,usroads,79,4.753,176,8.124,248,8.398,129164
452,venkat,552,5.259,972,8.006,1328,9.952,62424
453,vibro,1990,2.776,3308,5.305,3796,5.454,12328
454,plastic,1519,5.545,2433,7.044,2958,9.084,32769
455,rocks,326,4.338,652,6.79,978,7.932,37762
456,wave3D,278,3.844,638,5.906,1050,7.503,21036
457,wathen120,503,3.132,873,6.084,1098,7.009,36441
458,water,3026,20.605,4371,20.784,5974,27.327,60740
459,wang4,1740,2.235,2051,4.743,2953,6.376,26068
460,xenon,2994,32.791,5963,58.471,7527,61.834,157464
461,Zhao,614,2.36,1234,4.111,1593,4.848,33861
462,G67,0,0.275,300,0.55,400,0.583,10000
463,af101,1700,53.363,3400,78.121,5100,86.943,503625
464,eco1,2000,90.602,2694,159.571,3706,208.763,1000000
465,ibm18,1651,23.526,2515,43.576,3031,47.005,201920
466,ibm17,2249,34.173,5216,59.219,5414,83.361,189581
467,web1M,868,21.578,2157,50.881,2644,60.67,1000005
468,nl120,2644,60.67,2644,60.67,2644,60.67,3542400
469,sat_p,segfault,123.185,segfault,504.18999999999994,segfault,1350.65,13378010
470,wbedu,75027,3838.181,,,,,6920306
471,Stanf,1478,20.323,997,40.989,2226,33.026,261588
472,gene2,11965,120.14,12931,190.255,13193,206.604,14340
473,Hamr3,1280,120.175,4390,400.735,3840,361.719,1447360
474,StocF,4688,462.516,16383,1213.279,9653,933.006,1465137
475,lang,12522,72.313,18320,91.609,21053,126.511,399130
476,kron,11563,22.36,18960,67.786,24824,49.206,55321
477,case39,9067,6.537,12207,10.645,14077,11.377,40216
478,dac9,3322,32.993,4210,132.95,4814,66.163,833808
479,dac12,5227,200.825,7586,260.439,9694,432.115,1293436
480,dac19,1058,38.71,2572,72.235,3751,79.898,511685
481,tran4,51573,9.349,69739,46.66,80534,22.788,116835
482,Cheb4,1092,7.94,2812,21.785,2120,15.323,68121
483,sat_d,2120,15.323,2120,15.323,2120,15.323,521147
484,HV15R,2120,15.323,2120,15.323,2120,15.323,2017169
485,gupta2,18160,32.256,29284,177.841,33339,158.853,62064
486,ASIC,33339,158.853,33339,158.853,33339,158.853,682862
487,ASIC320k,146003,103.029,197271,474.507,226376,179.465,321821
488,wiki-Talk,11050,208.832,10709,359.035,11592,285.977,147602
489,com-Youtube,101927,594.029,102990,957.862,133839,797.832,
490,Freescal,731,206.693,1558,339.557,1608,456.582,3428755
491,roadNet-CA,235,86.137,382,123.203,629,180.016,1965206
492,delaunay23,629,180.016,629,180.016,629,180.016,8388608
493,coPapersDBLP,177536,132.674,228140,257.062,236128,328.255,540486
494,dc1,51598,8.257,69797,35.584,79646,14.977,116835
495,channel,79646,14.977,79646,14.977,79646,14.977,4802000
496,as-Skitter,79646,14.977,79646,14.977,79646,14.977,1696415
497,ASIC_100k,45289,13.253,61381,24.824,70295,23.157,99340
498,dc2,51511,6.803,69787,41.762,79603,18.459,116835
499,tran5,51722,8.957,69874,32.756,80532,19.234,116835
